t,x,y,yaw,speed
0.0,-5.0,7.475,0.0,1.5
1.0,-3.5,7.475,0.0,1.5
2.0,-2.0,7.475,0.0,1.5
3.0,-0.5,7.475,0.0,1.5
4.0,1.0,7.475,0.0,1.5
5.0,2.5,7.475,0.0,1.5
6.0,4.0,7.475,0.0,1.5
7.0,5.5,7.475,0.0,1.5
8.0,7.0,7.475,0.0,1.5
9.0,8.5,7.475,0.0,1.5
10.0,10.0,7.475,0.0,1.5
11.0,11.5,7.475,0.0,1.5
12.0,13.0,7.475,0.0,1.5
13.0,14.5,7.475,0.0,1.5
14.0,16.0,7.475,0.0,1.5
15.0,17.5,7.475,0.0,1.5
16.0,19.0,7.475,0.0,1.5
17.0,20.5,7.475,0.0,1.5
18.0,22.0,7.475,0.0,1.5
19.0,23.5,7.475,0.0,1.5
20.0,25.0,7.475,0.0,1.5
21.0,26.5,7.475,0.0,1.5
22.0,28.0,7.475,0.0,1.5
23.0,29.5,7.475,0.0,1.5
24.0,31.0,7.475,0.0,1.5
25.0,32.5,7.475,0.0,1.5
26.0,34.0,7.475,0.0,1.5
27.0,35.5,7.475,0.0,1.5
28.0,37.0,7.475,0.0,1.5
29.0,38.5,7.475,0.0,1.5
30.0,40.0,7.475,0.0,1.5
