t,x,y,yaw,speed
0.0,-5.0,7.475,0.0,2.0
1.0,-3.0,7.475,0.0,2.0
2.0,-1.0,7.475,0.0,2.0
3.0,1.0,7.475,0.0,2.0
4.0,3.0,7.475,0.0,2.0
5.0,5.0,7.475,0.0,2.0
6.0,7.0,7.475,0.0,2.0
7.0,9.0,7.475,0.0,2.0
8.0,11.0,7.475,0.0,2.0
9.0,13.0,7.475,0.0,2.0
10.0,15.0,7.475,0.0,2.0
11.0,17.0,7.475,0.0,2.0
12.0,19.0,7.475,0.0,2.0
13.0,21.0,7.475,0.0,2.0
14.0,23.0,7.475,0.0,2.0
15.0,25.0,7.475,0.0,2.0
16.0,27.0,7.475,0.0,2.0
17.0,29.0,7.475,0.0,2.0
18.0,31.0,7.475,0.0,2.0
19.0,33.0,7.475,0.0,2.0
20.0,35.0,7.475,0.0,2.0
21.0,37.0,7.475,0.0,2.0
22.0,39.0,7.475,0.0,2.0
23.0,41.0,7.475,0.0,2.0
24.0,43.0,7.475,0.0,2.0
25.0,45.0,7.475,0.0,2.0
26.0,47.0,7.475,0.0,2.0
27.0,49.0,7.475,0.0,2.0
28.0,51.0,7.475,0.0,2.0
29.0,53.0,7.475,0.0,2.0
30.0,55.0,7.475,0.0,2.0
