t,x,y,yaw,speed
0.0,20.000,7.475,3.14159,2.00
1.0,18.000,7.475,3.14159,2.00
2.0,16.000,7.475,3.14159,2.00
3.0,14.000,7.475,3.14159,2.00
4.0,12.000,7.475,3.14159,2.00
5.0,10.000,7.475,3.14159,2.00
6.0,8.000,7.475,3.14159,2.00
7.0,6.000,7.475,3.14159,2.00
8.0,4.000,7.475,3.14159,2.00
9.0,2.000,7.475,3.14159,2.00
10.0,0.000,7.475,3.14159,2.00
11.0,-2.000,7.475,3.14159,2.00
12.0,-4.000,7.475,3.14159,2.00
13.0,-6.000,7.475,3.14159,2.00
14.0,-8.000,7.475,3.14159,2.00
15.0,-10.000,7.475,3.14159,2.00
