t,x,y,yaw,speed,yaw_rate,a_lat,collision,timer_state,elapsed_time
6.2712,1.4739,0.0252,2.9370,0.1407,0.0000,0.0000,0,1,0.0001
6.2752,1.4739,0.0252,2.9370,0.1407,0.0000,0.0000,0,1,0.0040
6.2826,1.4720,0.0256,2.9369,0.2358,-0.0229,-0.0054,0,1,0.0123
6.2845,1.4720,0.0256,2.9369,0.2358,-0.0229,-0.0054,0,1,0.0136
6.2871,1.4720,0.0256,2.9369,0.2358,-0.0229,-0.0054,0,1,0.0161
6.2911,1.4692,0.0262,2.9367,0.3309,0.0000,0.0000,0,1,0.0200
6.2951,1.4692,0.0262,2.9367,0.3309,0.0000,0.0000,0,1,0.0239
6.2999,1.4655,0.0270,2.9369,0.4260,0.0413,0.0176,0,1,0.0288
6.3032,1.4655,0.0270,2.9369,0.4260,0.0413,0.0176,0,1,0.0319
6.3072,1.4655,0.0270,2.9369,0.4260,0.0413,0.0176,0,1,0.0359
6.3111,1.4609,0.0279,2.9371,0.5211,0.0084,0.0044,0,1,0.0433
6.3181,1.4609,0.0279,2.9371,0.5211,0.0084,0.0044,0,1,0.0471
6.3206,1.4553,0.0291,2.9372,0.6162,0.0270,0.0167,0,1,0.0494
6.3231,1.4553,0.0291,2.9372,0.6162,0.0270,0.0167,0,1,0.0518
6.3271,1.4553,0.0291,2.9372,0.6162,0.0270,0.0167,0,1,0.0558
6.3313,1.4488,0.0304,2.9375,0.7113,0.0223,0.0158,0,1,0.0606
6.3351,1.4488,0.0304,2.9375,0.7113,0.0223,0.0158,0,1,0.0639
6.3397,1.4414,0.0319,2.9377,0.8064,0.0349,0.0281,0,1,0.0684
6.3431,1.4414,0.0319,2.9377,0.8064,0.0349,0.0281,0,1,0.0718
6.3477,1.4414,0.0319,2.9377,0.8064,0.0349,0.0281,0,1,0.0773
6.3512,1.4330,0.0335,2.9381,0.9015,0.0327,0.0295,0,1,0.0800
6.3551,1.4330,0.0335,2.9381,0.9015,0.0327,0.0295,0,1,0.0841
6.3597,1.4237,0.0354,2.9384,0.9966,0.0430,0.0428,0,1,0.0885
6.3632,1.4237,0.0354,2.9384,0.9966,0.0430,0.0428,0,1,0.0921
6.3672,1.4237,0.0354,2.9384,0.9966,0.0430,0.0428,0,1,0.0960
6.3712,1.4135,0.0374,2.9389,1.0917,0.0420,0.0459,0,1,0.1000
6.3751,1.4135,0.0374,2.9389,1.0917,0.0420,0.0459,0,1,0.1039
6.3814,1.4023,0.0397,2.9393,1.1868,0.0505,0.0600,0,1,0.1116
6.3839,1.4023,0.0397,2.9393,1.1868,0.0505,0.0600,0,1,0.1128
6.3872,1.4023,0.0397,2.9393,1.1868,0.0505,0.0600,0,1,0.1160
6.3911,1.3902,0.0420,2.9399,1.2819,0.0502,0.0644,0,1,0.1198
6.3951,1.3902,0.0420,2.9399,1.2819,0.0502,0.0644,0,1,0.1241
6.3997,1.3771,0.0446,2.9404,1.3770,0.0575,0.0792,0,1,0.1286
6.4032,1.3771,0.0446,2.9404,1.3770,0.0575,0.0792,0,1,0.1320
6.4071,1.3771,0.0446,2.9404,1.3770,0.0575,0.0792,0,1,0.1393
6.4115,1.3632,0.0474,2.9410,1.4721,0.0575,0.0847,0,1,0.1422
6.4153,1.3632,0.0474,2.9410,1.4721,0.0575,0.0847,0,1,0.1443
6.4198,1.3482,0.0503,2.9416,1.5672,0.0640,0.1003,0,1,0.1486
6.4231,1.3482,0.0503,2.9416,1.5672,0.0640,0.1003,0,1,0.1520
6.4271,1.3482,0.0503,2.9416,1.5672,0.0640,0.1003,0,1,0.1560
6.4312,1.3324,0.0534,2.9423,1.6623,0.0642,0.1068,0,1,0.1599
6.4350,1.3324,0.0534,2.9423,1.6623,0.0642,0.1068,0,1,0.1638
6.4400,1.3156,0.0567,2.9429,1.7574,0.0700,0.1231,0,1,0.1710
6.4433,1.3156,0.0567,2.9429,1.7574,0.0700,0.1231,0,1,0.1724
6.4472,1.3156,0.0567,2.9429,1.7574,0.0700,0.1231,0,1,0.1762
6.4512,1.2979,0.0601,2.9436,1.8525,0.0703,0.1303,0,1,0.1801
6.4552,1.2979,0.0601,2.9436,1.8525,0.0703,0.1303,0,1,0.1840
