t,x,y,yaw,speed,yaw_rate,a_lat,collision,timer_state,elapsed_time
9.9159,0.4732,0.1652,3.0376,3.8373,-0.0067,-0.0259,0,1,0.0000
9.9200,0.4732,0.1652,3.0376,3.8373,-0.0067,-0.0259,0,1,0.0040
9.9240,0.4349,0.1694,3.0368,3.8736,-0.1234,-0.4781,0,1,0.0073
9.9280,0.4349,0.1694,3.0368,3.8736,-0.1234,-0.4781,0,1,0.0115
9.9323,0.3962,0.1738,3.0354,3.9081,-0.1360,-0.5316,0,1,0.0157
9.9359,0.3962,0.1738,3.0354,3.9081,-0.1360,-0.5316,0,1,0.0195
9.9433,0.3572,0.1782,3.0341,3.9410,-0.1476,-0.5817,0,1,0.0290
9.9478,0.3572,0.1782,3.0341,3.9410,-0.1476,-0.5817,0,1,0.0318
9.9524,0.3179,0.1826,3.0325,3.9724,-0.1520,-0.6037,0,1,0.0361
9.9559,0.3179,0.1826,3.0325,3.9724,-0.1520,-0.6037,0,1,0.0392
9.9599,0.3179,0.1826,3.0325,3.9724,-0.1520,-0.6037,0,1,0.0432
9.9639,0.2783,0.1871,3.0310,4.0022,-0.1578,-0.6316,0,1,0.0472
9.9679,0.2783,0.1871,3.0310,4.0022,-0.1578,-0.6316,0,1,0.0515
9.9747,0.2384,0.1917,3.0294,4.0306,-0.1582,-0.6378,0,1,0.0581
9.9768,0.2384,0.1917,3.0294,4.0306,-0.1582,-0.6378,0,1,0.0605
9.9799,0.2384,0.1917,3.0294,4.0306,-0.1582,-0.6378,0,1,0.0635
9.9839,0.1982,0.1963,3.0281,4.0577,-0.0792,-0.3214,0,1,0.0673
9.9878,0.1982,0.1963,3.0281,4.0577,-0.0792,-0.3214,0,1,0.0711
9.9924,0.1577,0.2009,3.0277,4.0835,-0.0212,-0.0866,0,1,0.0760
9.9959,0.1577,0.2009,3.0277,4.0835,-0.0212,-0.0866,0,1,0.0795
9.9999,0.1577,0.2009,3.0277,4.0835,-0.0212,-0.0866,0,1,0.0835
10.0062,0.1170,0.2055,3.0274,4.1081,-0.0563,-0.2311,0,1,0.0914
10.0081,0.1170,0.2055,3.0274,4.1081,-0.0563,-0.2311,0,1,0.0916
10.0129,0.0761,0.2102,3.0266,4.1314,-0.0802,-0.3312,0,1,0.0968
10.0160,0.0761,0.2102,3.0266,4.1314,-0.0802,-0.3312,0,1,0.0997
10.0199,0.0761,0.2102,3.0266,4.1314,-0.0802,-0.3312,0,1,0.1033
10.0239,0.0349,0.2149,3.0258,4.1537,-0.1022,-0.4245,0,1,0.1072
10.0279,0.0349,0.2149,3.0258,4.1537,-0.1022,-0.4245,0,1,0.1114
10.0324,-0.0064,0.2198,3.0246,4.1749,-0.1158,-0.4835,0,1,0.1159
10.0383,-0.0064,0.2198,3.0246,4.1749,-0.1158,-0.4835,0,1,0.1219
10.0400,-0.0064,0.2198,3.0246,4.1749,-0.1158,-0.4835,0,1,0.1236
10.0439,-0.0480,0.2247,3.0235,4.1952,-0.1298,-0.5445,0,1,0.1275
10.0479,-0.0480,0.2247,3.0235,4.1952,-0.1298,-0.5445,0,1,0.1313
10.0524,-0.0897,0.2296,3.0221,4.2144,-0.1371,-0.5779,0,1,0.1358
10.0559,-0.0897,0.2296,3.0221,4.2144,-0.1371,-0.5779,0,1,0.1395
10.0598,-0.0897,0.2296,3.0221,4.2144,-0.1371,-0.5779,0,1,0.1431
10.0638,-0.1317,0.2346,3.0210,4.2327,-0.0602,-0.2548,0,1,0.1471
10.0702,-0.1317,0.2346,3.0210,4.2327,-0.0602,-0.2548,0,1,0.1548
10.0737,-0.1738,0.2396,3.0208,4.2502,-0.0039,-0.0165,0,1,0.1573
10.0762,-0.1738,0.2396,3.0208,4.2502,-0.0039,-0.0165,0,1,0.1596
10.0798,-0.1738,0.2396,3.0208,4.2502,-0.0039,-0.0165,0,1,0.1632
10.0839,-0.2161,0.2446,3.0206,4.2668,-0.0437,-0.1863,0,1,0.1671
10.0880,-0.2161,0.2446,3.0206,4.2668,-0.0437,-0.1863,0,1,0.1715
10.0925,-0.2585,0.2497,3.0199,4.2827,-0.0715,-0.3063,0,1,0.1759
10.0960,-0.2585,0.2497,3.0199,4.2827,-0.0715,-0.3063,0,1,0.1794
10.1032,-0.3011,0.2549,3.0192,4.2978,-0.0969,-0.4164,0,1,0.1875
10.1063,-0.3011,0.2549,3.0192,4.2978,-0.0969,-0.4164,0,1,0.1902
10.1091,-0.3011,0.2549,3.0192,4.2978,-0.0969,-0.4164,0,1,0.1926
10.1125,-0.3438,0.2601,3.0180,4.3121,-0.1132,-0.4883,0,1,0.1960
10.1159,-0.3438,0.2601,3.0180,4.3121,-0.1132,-0.4883,0,1,0.1995
10.1198,-0.3438,0.2601,3.0180,4.3121,-0.1132,-0.4883,0,1,0.2032
10.1239,-0.3867,0.2654,3.0169,4.3258,-0.1295,-0.5601,0,1,0.2073
10.1278,-0.3867,0.2654,3.0169,4.3258,-0.1295,-0.5601,0,1,0.2112
10.1347,-0.4297,0.2707,3.0155,4.3389,-0.1386,-0.6014,0,1,0.2191
10.1376,-0.4297,0.2707,3.0155,4.3389,-0.1386,-0.6014,0,1,0.2213
10.1398,-0.4297,0.2707,3.0155,4.3389,-0.1386,-0.6014,0,1,0.2233
10.1438,-0.4728,0.2762,3.0141,4.3513,-0.1492,-0.6491,0,1,0.2272
10.1480,-0.4728,0.2762,3.0141,4.3513,-0.1492,-0.6491,0,1,0.2314
10.1527,-0.5160,0.2816,3.0125,4.3631,-0.1538,-0.6711,0,1,0.2365
10.1559,-0.5160,0.2816,3.0125,4.3631,-0.1538,-0.6711,0,1,0.2395
10.1599,-0.5160,0.2816,3.0125,4.3631,-0.1538,-0.6711,0,1,0.2433
10.1640,-0.5594,0.2872,3.0110,4.3744,-0.1609,-0.7039,0,1,0.2490
10.1689,-0.5594,0.2872,3.0110,4.3744,-0.1609,-0.7039,0,1,0.2531
10.1726,-0.6028,0.2928,3.0093,4.3851,-0.1629,-0.7142,0,1,0.2561
10.1759,-0.6028,0.2928,3.0093,4.3851,-0.1629,-0.7142,0,1,0.2595
10.1799,-0.6028,0.2928,3.0093,4.3851,-0.1629,-0.7142,0,1,0.2634
10.1840,-0.6463,0.2985,3.0078,4.3953,-0.1679,-0.7379,0,1,0.2677
10.1878,-0.6463,0.2985,3.0078,4.3953,-0.1679,-0.7379,0,1,0.2712
10.1925,-0.6900,0.3043,3.0060,4.4051,-0.1683,-0.7412,0,1,0.2761
10.1991,-0.6900,0.3043,3.0060,4.4051,-0.1683,-0.7412,0,1,0.2837
10.2008,-0.6900,0.3043,3.0060,4.4051,-0.1683,-0.7412,0,1,0.2844
10.2039,-0.7337,0.3101,3.0044,4.4143,-0.1721,-0.7596,0,1,0.2873
10.2079,-0.7337,0.3101,3.0044,4.4143,-0.1721,-0.7596,0,1,0.2913
10.2124,-0.7775,0.3160,3.0026,4.4232,-0.1715,-0.7586,0,1,0.2957
10.2159,-0.7775,0.3160,3.0026,4.4232,-0.1715,-0.7586,0,1,0.2992
10.2198,-0.7775,0.3160,3.0026,4.4232,-0.1715,-0.7586,0,1,0.3031
10.2238,-0.8213,0.3220,3.0012,4.4316,-0.0843,-0.3735,0,1,0.3073
10.2298,-0.8213,0.3220,3.0012,4.4316,-0.0843,-0.3735,0,1,0.3147
