t,x,y,yaw,speed,yaw_rate,a_lat,collision,timer_state,elapsed_time
59.1291,0.5173,0.1593,3.0388,3.6558,0.1500,0.5485,0,1,0.0001
59.1321,0.5173,0.1593,3.0388,3.6558,0.1500,0.5485,0,1,0.0023
59.1360,0.4808,0.1632,3.0396,3.6888,-0.0103,-0.0381,0,1,0.0061
59.1400,0.4808,0.1632,3.0396,3.6888,-0.0103,-0.0381,0,1,0.0102
59.1447,0.4440,0.1673,3.0388,3.7202,-0.1270,-0.4726,0,1,0.0149
59.1479,0.4440,0.1673,3.0388,3.7202,-0.1270,-0.4726,0,1,0.0179
59.1519,0.4440,0.1673,3.0388,3.7202,-0.1270,-0.4726,0,1,0.0219
59.1560,0.4069,0.1714,3.0374,3.7502,-0.1373,-0.5150,0,1,0.0262
59.1611,0.4069,0.1714,3.0374,3.7502,-0.1373,-0.5150,0,1,0.0314
59.1647,0.3695,0.1755,3.0360,3.7787,-0.1475,-0.5572,0,1,0.0349
59.1680,0.3695,0.1755,3.0360,3.7787,-0.1475,-0.5572,0,1,0.0382
59.1721,0.3695,0.1755,3.0360,3.7787,-0.1475,-0.5572,0,1,0.0424
59.1760,0.3318,0.1797,3.0345,3.8059,-0.1506,-0.5730,0,1,0.0462
59.1799,0.3318,0.1797,3.0345,3.8059,-0.1506,-0.5730,0,1,0.0500
59.1846,0.2938,0.1839,3.0333,3.8317,-0.0734,-0.2814,0,1,0.0547
59.1882,0.2938,0.1839,3.0333,3.8317,-0.0734,-0.2814,0,1,0.0585
59.1924,0.2938,0.1839,3.0333,3.8317,-0.0734,-0.2814,0,1,0.0628
59.1962,0.2556,0.1881,3.0329,3.8564,-0.0178,-0.0687,0,1,0.0665
59.2000,0.2556,0.1881,3.0329,3.8564,-0.0178,-0.0687,0,1,0.0706
59.2047,0.2171,0.1923,3.0329,3.8799,0.0284,0.1103,0,1,0.0749
59.2079,0.2171,0.1923,3.0329,3.8799,0.0284,0.1103,0,1,0.0782
59.2119,0.2171,0.1923,3.0329,3.8799,0.0284,0.1103,0,1,0.0821
59.2159,0.1785,0.1965,3.0334,3.9022,0.0600,0.2343,0,1,0.0860
59.2200,0.1785,0.1965,3.0334,3.9022,0.0600,0.2343,0,1,0.0902
59.2249,0.1396,0.2006,3.0338,3.9235,0.0034,0.0132,0,1,0.0963
59.2281,0.1396,0.2006,3.0338,3.9235,0.0034,0.0132,0,1,0.0982
59.2320,0.1396,0.2006,3.0338,3.9235,0.0034,0.0132,0,1,0.1022
59.2361,0.1004,0.2049,3.0336,3.9438,-0.0364,-0.1435,0,1,0.1064
59.2399,0.1004,0.2049,3.0336,3.9438,-0.0364,-0.1435,0,1,0.1099
59.2445,0.0611,0.2092,3.0331,3.9631,-0.0704,-0.2791,0,1,0.1146
59.2480,0.0611,0.2092,3.0331,3.9631,-0.0704,-0.2791,0,1,0.1180
59.2520,0.0611,0.2092,3.0331,3.9631,-0.0704,-0.2791,0,1,0.1222
59.2560,0.0217,0.2136,3.0322,3.9815,-0.0926,-0.3688,0,1,0.1264
59.2600,0.0217,0.2136,3.0322,3.9815,-0.0926,-0.3688,0,1,0.1304
59.2644,-0.0180,0.2180,3.0313,3.9990,-0.1131,-0.4523,0,1,0.1346
59.2681,-0.0180,0.2180,3.0313,3.9990,-0.1131,-0.4523,0,1,0.1382
59.2719,-0.0180,0.2180,3.0313,3.9990,-0.1131,-0.4523,0,1,0.1419
59.2759,-0.0578,0.2225,3.0300,4.0157,-0.1249,-0.5015,0,1,0.1460
59.2799,-0.0578,0.2225,3.0300,4.0157,-0.1249,-0.5015,0,1,0.1500
59.2846,-0.0978,0.2270,3.0287,4.0316,-0.1374,-0.5539,0,1,0.1547
59.2880,-0.0978,0.2270,3.0287,4.0316,-0.1374,-0.5539,0,1,0.1588
59.2921,-0.0978,0.2270,3.0287,4.0316,-0.1374,-0.5539,0,1,0.1623
59.2960,-0.1379,0.2316,3.0273,4.0467,-0.1431,-0.5791,0,1,0.1662
59.3001,-0.1379,0.2316,3.0273,4.0467,-0.1431,-0.5791,0,1,0.1704
59.3048,-0.1782,0.2362,3.0259,4.0612,-0.1510,-0.6133,0,1,0.1751
59.3080,-0.1782,0.2362,3.0259,4.0612,-0.1510,-0.6133,0,1,0.1782
59.3121,-0.1782,0.2362,3.0259,4.0612,-0.1510,-0.6133,0,1,0.1822
59.3159,-0.2186,0.2410,3.0243,4.0749,-0.1533,-0.6246,0,1,0.1862
59.3221,-0.2186,0.2410,3.0243,4.0749,-0.1533,-0.6246,0,1,0.1925
59.3250,-0.2591,0.2457,3.0228,4.0880,-0.1586,-0.6484,0,1,0.1956
59.3281,-0.2591,0.2457,3.0228,4.0880,-0.1586,-0.6484,0,1,0.1982
59.3322,-0.2591,0.2457,3.0228,4.0880,-0.1586,-0.6484,0,1,0.2025
59.3362,-0.2998,0.2505,3.0211,4.1004,-0.1589,-0.6517,0,1,0.2063
59.3400,-0.2998,0.2505,3.0211,4.1004,-0.1589,-0.6517,0,1,0.2102
59.3444,-0.3406,0.2554,3.0196,4.1123,-0.1629,-0.6698,0,1,0.2145
59.3481,-0.3406,0.2554,3.0196,4.1123,-0.1629,-0.6698,0,1,0.2182
59.3537,-0.3406,0.2554,3.0196,4.1123,-0.1629,-0.6698,0,1,0.2252
59.3564,-0.3814,0.2604,3.0179,4.1236,-0.1622,-0.6688,0,1,0.2267
59.3600,-0.3814,0.2604,3.0179,4.1236,-0.1622,-0.6688,0,1,0.2305
59.3645,-0.4224,0.2654,3.0163,4.1344,-0.1654,-0.6837,0,1,0.2350
59.3681,-0.4224,0.2654,3.0163,4.1344,-0.1654,-0.6837,0,1,0.2384
59.3720,-0.4224,0.2654,3.0163,4.1344,-0.1654,-0.6837,0,1,0.2424
59.3762,-0.4635,0.2705,3.0146,4.1446,-0.1641,-0.6803,0,1,0.2467
59.3800,-0.4635,0.2705,3.0146,4.1446,-0.1641,-0.6803,0,1,0.2500
59.3858,-0.5047,0.2757,3.0130,4.1544,-0.1669,-0.6936,0,1,0.2568
59.3884,-0.5047,0.2757,3.0130,4.1544,-0.1669,-0.6936,0,1,0.2589
