t,x,y,yaw,speed,yaw_rate,a_lat,collision,timer_state,elapsed_time
13.7438,0.4986,0.1615,3.0423,3.8120,0.1873,0.7141,0,1,0.0001
13.7478,0.4605,0.1655,3.0434,3.8494,0.0185,0.0714,0,1,0.0038
13.7518,0.4605,0.1655,3.0434,3.8494,0.0185,0.0714,0,1,0.0078
13.7585,0.4220,0.1696,3.0428,3.8851,-0.1063,-0.4128,0,1,0.0150
13.7610,0.4220,0.1696,3.0428,3.8851,-0.1063,-0.4128,0,1,0.0176
13.7638,0.4220,0.1696,3.0428,3.8851,-0.1063,-0.4128,0,1,0.0198
13.7678,0.3832,0.1738,3.0416,3.9191,-0.1246,-0.4885,0,1,0.0236
13.7719,0.3832,0.1738,3.0416,3.9191,-0.1246,-0.4885,0,1,0.0277
13.7763,0.3441,0.1780,3.0403,3.9515,-0.1405,-0.5550,0,1,0.0323
13.7799,0.3441,0.1780,3.0403,3.9515,-0.1405,-0.5550,0,1,0.0357
13.7838,0.3441,0.1780,3.0403,3.9515,-0.1405,-0.5550,0,1,0.0397
13.7921,0.3046,0.1822,3.0388,3.9823,-0.1479,-0.5888,0,1,0.0488
13.7964,0.2649,0.1865,3.0374,4.0117,-0.1559,-0.6252,0,1,0.0524
13.7997,0.2649,0.1865,3.0374,4.0117,-0.1559,-0.6252,0,1,0.0557
13.8039,0.2649,0.1865,3.0374,4.0117,-0.1559,-0.6252,0,1,0.0600
13.8078,0.2249,0.1908,3.0357,4.0397,-0.1577,-0.6372,0,1,0.0642
13.8118,0.2249,0.1908,3.0357,4.0397,-0.1577,-0.6372,0,1,0.0677
13.8162,0.1846,0.1952,3.0342,4.0663,-0.1620,-0.6586,0,1,0.0723
13.8221,0.1846,0.1952,3.0342,4.0663,-0.1620,-0.6586,0,1,0.0810
13.8238,0.1846,0.1952,3.0342,4.0663,-0.1620,-0.6586,0,1,0.0810
13.8278,0.1441,0.1997,3.0325,4.0917,-0.1613,-0.6600,0,1,0.0838
13.8318,0.1441,0.1997,3.0325,4.0917,-0.1613,-0.6600,0,1,0.0877
13.8363,0.1033,0.2042,3.0310,4.1159,-0.1639,-0.6744,0,1,0.0921
13.8397,0.1033,0.2042,3.0310,4.1159,-0.1639,-0.6744,0,1,0.0957
13.8437,0.1033,0.2042,3.0310,4.1159,-0.1639,-0.6744,0,1,0.0997
13.8480,0.0622,0.2088,3.0293,4.1389,-0.1622,-0.6712,0,1,0.1045
13.8546,0.0622,0.2088,3.0293,4.1389,-0.1622,-0.6712,0,1,0.1118
13.8583,0.0210,0.2135,3.0277,4.1608,-0.1642,-0.6830,0,1,0.1147
13.8603,0.0210,0.2135,3.0277,4.1608,-0.1642,-0.6830,0,1,0.1162
13.8638,0.0210,0.2135,3.0277,4.1608,-0.1642,-0.6830,0,1,0.1199
13.8677,-0.0204,0.2182,3.0260,4.1817,-0.1622,-0.6781,0,1,0.1236
13.8717,-0.0204,0.2182,3.0260,4.1817,-0.1622,-0.6781,0,1,0.1277
13.8763,-0.0621,0.2230,3.0244,4.2016,-0.1641,-0.6894,0,1,0.1323
13.8798,-0.0621,0.2230,3.0244,4.2016,-0.1641,-0.6894,0,1,0.1360
13.8876,-0.1039,0.2279,3.0227,4.2205,-0.1621,-0.6843,0,1,0.1452
13.8904,-0.1039,0.2279,3.0227,4.2205,-0.1621,-0.6843,0,1,0.1470
13.8922,-0.1039,0.2279,3.0227,4.2205,-0.1621,-0.6843,0,1,0.1489
13.8963,-0.1459,0.2329,3.0212,4.2386,-0.1642,-0.6958,0,1,0.1527
13.8997,-0.1459,0.2329,3.0212,4.2386,-0.1642,-0.6958,0,1,0.1562
13.9037,-0.1459,0.2329,3.0212,4.2386,-0.1642,-0.6958,0,1,0.1599
13.9077,-0.1881,0.2379,3.0195,4.2558,-0.1624,-0.6910,0,1,0.1637
13.9118,-0.1881,0.2379,3.0195,4.2558,-0.1624,-0.6910,0,1,0.1681
13.9183,-0.2304,0.2430,3.0179,4.2721,-0.1646,-0.7032,0,1,0.1752
13.9218,-0.2304,0.2430,3.0179,4.2721,-0.1646,-0.7032,0,1,0.1782
13.9242,-0.2304,0.2430,3.0179,4.2721,-0.1646,-0.7032,0,1,0.1802
13.9278,-0.2729,0.2482,3.0162,4.2877,-0.1630,-0.6987,0,1,0.1842
13.9318,-0.2729,0.2482,3.0162,4.2877,-0.1630,-0.6987,0,1,0.1878
13.9364,-0.3155,0.2534,3.0146,4.3026,-0.1653,-0.7114,0,1,0.1926
13.9399,-0.3155,0.2534,3.0146,4.3026,-0.1653,-0.7114,0,1,0.1958
13.9439,-0.3155,0.2534,3.0146,4.3026,-0.1653,-0.7114,0,1,0.1999
13.9500,-0.3583,0.2588,3.0129,4.3167,-0.1639,-0.7073,0,1,0.2070
13.9519,-0.3583,0.2588,3.0129,4.3167,-0.1639,-0.7073,0,1,0.2083
13.9563,-0.4012,0.2642,3.0113,4.3302,-0.1664,-0.7204,0,1,0.2125
13.9598,-0.4012,0.2642,3.0113,4.3302,-0.1664,-0.7204,0,1,0.2157
13.9638,-0.4012,0.2642,3.0113,4.3302,-0.1664,-0.7204,0,1,0.2198
13.9678,-0.4442,0.2697,3.0096,4.3430,-0.1650,-0.7165,0,1,0.2238
13.9718,-0.4442,0.2697,3.0096,4.3430,-0.1650,-0.7165,0,1,0.2277
13.9763,-0.4873,0.2753,3.0080,4.3552,-0.1676,-0.7299,0,1,0.2325
13.9803,-0.4873,0.2753,3.0080,4.3552,-0.1676,-0.7299,0,1,0.2371
13.9842,-0.4873,0.2753,3.0080,4.3552,-0.1676,-0.7299,0,1,0.2408
