t,x,y,yaw,speed,yaw_rate,a_lat,collision,timer_state,elapsed_time
8.6838,0.9298,0.1111,3.0010,3.0027,0.3246,0.9748,0,1,0.0001
8.6878,0.9298,0.1111,3.0010,3.0027,0.3246,0.9748,0,1,0.0037
8.6927,0.8998,0.1151,3.0042,3.0549,0.3330,1.0174,0,1,0.0088
8.6958,0.8998,0.1151,3.0042,3.0549,0.3330,1.0174,0,1,0.0120
8.6998,0.8998,0.1151,3.0042,3.0549,0.3330,1.0174,0,1,0.0166
8.7039,0.8693,0.1190,3.0076,3.1046,0.3369,1.0461,0,1,0.0214
8.7078,0.8693,0.1190,3.0076,3.1046,0.3369,1.0461,0,1,0.0241
8.7124,0.8382,0.1230,3.0107,3.1519,0.2726,0.8591,0,1,0.0284
8.7158,0.8382,0.1230,3.0107,3.1519,0.2726,0.8591,0,1,0.0319
8.7198,0.8382,0.1230,3.0107,3.1519,0.2726,0.8591,0,1,0.0357
8.7238,0.8067,0.1270,3.0132,3.1970,0.2304,0.7367,0,1,0.0399
8.7278,0.8067,0.1270,3.0132,3.1970,0.2304,0.7367,0,1,0.0439
8.7326,0.7748,0.1310,3.0154,3.2400,0.1968,0.6377,0,1,0.0506
8.7361,0.7748,0.1310,3.0154,3.2400,0.1968,0.6377,0,1,0.0523
8.7399,0.7748,0.1310,3.0154,3.2400,0.1968,0.6377,0,1,0.0560
8.7438,0.7425,0.1350,3.0169,3.2809,0.1017,0.3335,0,1,0.0597
8.7478,0.7425,0.1350,3.0169,3.2809,0.1017,0.3335,0,1,0.0636
8.7522,0.7097,0.1392,3.0175,3.3198,0.0361,0.1199,0,1,0.0681
8.7558,0.7097,0.1392,3.0175,3.3198,0.0361,0.1199,0,1,0.0719
8.7598,0.7097,0.1392,3.0175,3.3198,0.0361,0.1199,0,1,0.0758
8.7638,0.6766,0.1433,3.0179,3.3569,0.0616,0.2067,0,1,0.0823
8.7679,0.6766,0.1433,3.0179,3.3569,0.0616,0.2067,0,1,0.0845
8.7724,0.6431,0.1475,3.0187,3.3922,0.0773,0.2623,0,1,0.0885
8.7758,0.6431,0.1475,3.0187,3.3922,0.0773,0.2623,0,1,0.0917
8.7798,0.6431,0.1475,3.0187,3.3922,0.0773,0.2623,0,1,0.0957
8.7839,0.6093,0.1517,3.0195,3.4259,0.0934,0.3200,0,1,0.1004
8.7878,0.6093,0.1517,3.0195,3.4259,0.0934,0.3200,0,1,0.1041
8.7926,0.5751,0.1558,3.0205,3.4579,0.1020,0.3527,0,1,0.1087
8.7960,0.5751,0.1558,3.0205,3.4579,0.1020,0.3527,0,1,0.1154
