t,x,y,yaw,speed,yaw_rate,a_lat,collision
0.0000,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0036,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0076,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0116,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0155,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0198,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0237,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0277,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0316,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0356,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0396,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0436,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0476,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0516,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0556,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0599,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0637,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0675,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0715,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0757,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0796,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0836,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0877,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0917,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0957,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.0997,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1036,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1077,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1117,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1156,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
0.1197,-75.7539,52.8974,-1.4876,0.0000,0.0000,0.0000,0
