t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
9.6256e-05,-9.99918,7.475,0,0.118063,0,0,NONE,0,0,0,0,0,0,0
0.00867842,-9.99752,7.475,8.7945e-05,0.213163,0.0206649,0.00440498,NONE,0,0,0,0,0,0,0
0.0166983,-9.99492,7.475,0.000474956,0.308263,0.0598298,0.0184433,NONE,0,0,0,0,0,0,0
0.0329138,-9.99136,7.475,0.00134666,0.403363,0.117632,0.0474486,NONE,0,0,0,0,0,0,0
0.0395397,-9.98685,7.47501,0.00243382,0.498463,0.0967452,0.0482239,NONE,0,0,0,0,0,0,0
0.0479212,-9.98141,7.47507,0.00354303,0.589506,0.0628197,0.0370326,NONE,0,0,0,0,0,0,0
0.059859,-9.97508,7.47526,0.00460302,0.676594,0.10684,0.0722871,NONE,0,0,0,0,0,0,0
0.0680401,-9.96791,7.47552,0.00587431,0.759548,0.152141,0.115558,NONE,0,0,0,0,0,0,0
0.0754227,-9.95992,7.47585,0.00755576,0.838751,0.168956,0.141712,NONE,0,0,0,0,0,0,0
0.0812442,-9.95992,7.47585,0.00755576,0.838751,0.168956,0.141712,NONE,0,0,0,0,0,0,0
0.0916013,-9.95117,7.47623,0.00932547,0.913682,0.197052,0.180043,NONE,0,0,0,0,0,0,0
0.101879,-9.94168,7.47667,0.0114178,0.98578,0.208002,0.205045,NONE,0,0,0,0,0,0,0
0.110572,-9.93149,7.47714,0.013369,1.05445,0.176014,0.185598,NONE,0,0,0,0,0,0,0
0.123511,-9.92063,7.4776,0.015046,1.11963,0.174626,0.195517,NONE,0,0,0,0,0,0,0
0.131005,-9.90913,7.47809,0.0168225,1.18341,0.168449,0.199344,NONE,0,0,0,0,0,0,0
0.137281,-9.89699,7.4786,0.0184801,1.2448,0.176554,0.219774,NONE,0,0,0,0,0,0,0
0.143791,-9.88427,7.47914,0.0203059,1.30335,0.175499,0.228737,NONE,0,0,0,0,0,0,0
0.15825,-9.87097,7.47971,0.0220441,1.35915,0.185566,0.252213,NONE,0,0,0,0,0,0,0
0.165341,-9.85711,7.48033,0.0239689,1.41368,0.186008,0.262956,NONE,0,0,0,0,0,0,0
0.168725,-9.85711,7.48033,0.0239689,1.41368,0.186008,0.262956,NONE,0,0,0,0,0,0,0
0.174848,-9.84273,7.48098,0.0258133,1.46647,0.196325,0.287904,NONE,0,0,0,0,0,0,0
0.178176,-9.84273,7.48098,0.0258133,1.46647,0.196325,0.287904,NONE,0,0,0,0,0,0,0
0.193424,-9.82783,7.48169,0.0278504,1.51667,0.197402,0.299393,NONE,0,0,0,0,0,0,0
0.200502,-9.81244,7.48243,0.0298072,1.56449,0.207652,0.324869,NONE,0,0,0,0,0,0,0
0.207868,-9.79659,7.48323,0.0319602,1.60898,0.208834,0.33601,NONE,0,0,0,0,0,0,0
0.219868,-9.78031,7.48407,0.0340275,1.6525,0.218593,0.361225,NONE,0,0,0,0,0,0,0
0.227198,-9.76359,7.48497,0.0362878,1.69559,0.219369,0.371959,NONE,0,0,0,0,0,0,0
0.231355,-9.76359,7.48497,0.0362878,1.69559,0.219369,0.371959,NONE,0,0,0,0,0,0,0
0.238379,-9.74645,7.48592,0.0384574,1.73741,0.228614,0.397196,NONE,0,0,0,0,0,0,0
0.249575,-9.72891,7.48693,0.0408195,1.77724,0.229468,0.407819,NONE,0,0,0,0,0,0,0
0.256418,-9.71098,7.48799,0.0430877,1.81582,0.238425,0.432935,NONE,0,0,0,0,0,0,0
0.260177,-9.71098,7.48799,0.0430877,1.81582,0.238425,0.432935,NONE,0,0,0,0,0,0,0
0.266523,-9.69266,7.48913,0.0455464,1.85415,0.238944,0.443037,NONE,0,0,0,0,0,0,0
0.270676,-9.69266,7.48913,0.0455464,1.85415,0.238944,0.443037,NONE,0,0,0,0,0,0,0
0.279539,-9.67398,7.49031,0.0479076,1.88965,0.247719,0.468102,NONE,0,0,0,0,0,0,0
