t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
9.5297e-05,-9.99918,7.475,0,0.118015,0,0,NONE,0,0,0,0,0,0,0
0.00920978,-9.99753,7.475,8.7922e-05,0.213115,0.0206603,0.00440302,NONE,0,0,0,0,0,0,0
0.0196769,-9.99492,7.475,0.000474864,0.308215,0.0598206,0.0184376,NONE,0,0,0,0,0,0,0
0.0281302,-9.99136,7.475,0.00134645,0.403315,0.117619,0.0474374,NONE,0,0,0,0,0,0,0
0.037451,-9.98685,7.47501,0.0024335,0.498415,0.0967359,0.0482147,NONE,0,0,0,0,0,0,0
0.0519252,-9.98142,7.47507,0.00354276,0.589097,0.0630237,0.0371271,NONE,0,0,0,0,0,0,0
0.0589934,-9.97509,7.47526,0.00460323,0.67624,0.106863,0.0722651,NONE,0,0,0,0,0,0,0
0.0692094,-9.96792,7.47552,0.00587437,0.759276,0.152108,0.115492,NONE,0,0,0,0,0,0,0
0.08213,-9.95994,7.47585,0.00755623,0.837497,0.168879,0.141436,NONE,0,0,0,0,0,0,0
0.0909875,-9.9512,7.47622,0.00924245,0.912875,0.171133,0.156223,NONE,0,0,0,0,0,0,0
0.0976634,-9.94172,7.47661,0.0109038,0.984848,0.152404,0.150094,NONE,0,0,0,0,0,0,0
0.104972,-9.93153,7.477,0.0123829,1.05328,0.157706,0.166109,NONE,0,0,0,0,0,0,0
0.109389,-9.93153,7.477,0.0123829,1.05328,0.157706,0.166109,NONE,0,0,0,0,0,0,0
0.118283,-9.92067,7.47742,0.014007,1.12075,0.15469,0.173369,NONE,0,0,0,0,0,0,0
0.125671,-9.90915,7.47786,0.0155405,1.18502,0.165195,0.195759,NONE,0,0,0,0,0,0,0
0.13007,-9.90915,7.47786,0.0155405,1.18502,0.165195,0.195759,NONE,0,0,0,0,0,0,0
0.142223,-9.89701,7.47834,0.0172591,1.24606,0.165421,0.206124,NONE,0,0,0,0,0,0,0
0.150802,-9.88426,7.47884,0.0189036,1.30419,0.176742,0.230505,NONE,0,0,0,0,0,0,0
0.160159,-9.87096,7.4794,0.0207439,1.35954,0.17785,0.241795,NONE,0,0,0,0,0,0,0
0.168917,-9.85711,7.47998,0.0225108,1.41271,0.18897,0.266959,NONE,0,0,0,0,0,0,0
0.184786,-9.84273,7.48061,0.0244745,1.46509,0.190221,0.278692,NONE,0,0,0,0,0,0,0
0.197578,-9.82785,7.48128,0.0263623,1.51498,0.200917,0.304387,NONE,0,0,0,0,0,0,0
0.21477,-9.81248,7.48201,0.0284485,1.56146,0.202331,0.315932,NONE,0,0,0,0,0,0,0
