t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
8.2281e-05,-9.99918,7.475,0,0.118091,0,0,NONE,0,0,0,0,0,0,0
0.0063218,-9.99918,7.475,0,0.118091,0,0,NONE,0,0,0,0,0,0,0
0.013756,-9.99752,7.475,8.79587e-05,0.213191,0.0206676,0.00440615,NONE,0,0,0,0,0,0,0
0.01899,-9.99492,7.475,0.000475011,0.308291,0.0598353,0.0184467,NONE,0,0,0,0,0,0,0
0.0222637,-9.99492,7.475,0.000475011,0.308291,0.0598353,0.0184467,NONE,0,0,0,0,0,0,0
0.0290878,-9.99136,7.475,0.00134678,0.403391,0.117641,0.0474552,NONE,0,0,0,0,0,0,0
0.03293,-9.99136,7.475,0.00134678,0.403391,0.117641,0.0474552,NONE,0,0,0,0,0,0,0
0.0392197,-9.98685,7.47501,0.00243401,0.498491,0.0967506,0.0482293,NONE,0,0,0,0,0,0,0
0.0433506,-9.98685,7.47501,0.00243401,0.498491,0.0967506,0.0482293,NONE,0,0,0,0,0,0,0
0.0491518,-9.98141,7.47507,0.00354324,0.589596,0.0627907,0.0370212,NONE,0,0,0,0,0,0,0
0.0533268,-9.98141,7.47507,0.00354324,0.589596,0.0627907,0.0370212,NONE,0,0,0,0,0,0,0
0.0588507,-9.97508,7.47526,0.00460279,0.676912,0.10683,0.0723147,NONE,0,0,0,0,0,0,0
0.0623879,-9.97508,7.47526,0.00460279,0.676912,0.10683,0.0723147,NONE,0,0,0,0,0,0,0
0.0686739,-9.97508,7.47526,0.00460279,0.676912,0.10683,0.0723147,NONE,0,0,0,0,0,0,0
0.0760343,-9.9679,7.47552,0.00587412,0.760083,0.152142,0.115641,NONE,0,0,0,0,0,0,0
0.0791739,-9.95991,7.47585,0.00755595,0.839298,0.169019,0.141857,NONE,0,0,0,0,0,0,0
0.0833079,-9.95991,7.47585,0.00755595,0.839298,0.169019,0.141857,NONE,0,0,0,0,0,0,0
0.0880034,-9.95115,7.47621,0.00916226,0.914752,0.14565,0.133233,NONE,0,0,0,0,0,0,0
0.092862,-9.95115,7.47621,0.00916226,0.914752,0.14565,0.133233,NONE,0,0,0,0,0,0,0
0.0965984,-9.95115,7.47621,0.00916226,0.914752,0.14565,0.133233,NONE,0,0,0,0,0,0,0
0.107227,-9.94164,7.47657,0.0105692,0.986849,0.150382,0.148405,NONE,0,0,0,0,0,0,0
0.112276,-9.93144,7.47695,0.0121165,1.05552,0.146652,0.154794,NONE,0,0,0,0,0,0,0
0.115666,-9.93144,7.47695,0.0121165,1.05552,0.146652,0.154794,NONE,0,0,0,0,0,0,0
0.120572,-9.92056,7.47735,0.0135716,1.12248,0.157535,0.17683,NONE,0,0,0,0,0,0,0
0.125485,-9.92056,7.47735,0.0135716,1.12248,0.157535,0.17683,NONE,0,0,0,0,0,0,0
0.134437,-9.90903,7.47779,0.015213,1.18538,0.157669,0.186897,NONE,0,0,0,0,0,0,0
0.135256,-9.90903,7.47779,0.015213,1.18538,0.157669,0.186897,NONE,0,0,0,0,0,0,0
0.141791,-9.89688,7.47825,0.0167825,1.24528,0.16944,0.211,NONE,0,0,0,0,0,0,0
0.145723,-9.89688,7.47825,0.0167825,1.24528,0.16944,0.211,NONE,0,0,0,0,0,0,0
0.149812,-9.88415,7.47875,0.0185489,1.30353,0.17056,0.222329,NONE,0,0,0,0,0,0,0
