t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
9.8821e-05,-75.7538,52.8964,-1.48757,0.128532,0,0,NONE,0,0,0,0,0,0,0
0.0142275,-75.7537,52.8947,-1.48766,0.223632,-0.0216798,-0.00484828,NONE,0,0,0,0,0,0,0
0.0183218,-75.7534,52.892,-1.48807,0.318732,-0.0618617,-0.0197173,NONE,0,0,0,0,0,0,0
0.0346226,-75.7531,52.8883,-1.48896,0.413832,-0.120685,-0.0499434,NONE,0,0,0,0,0,0,0
0.051354,-75.7528,52.8837,-1.49054,0.508932,-0.144799,-0.0736929,NONE,0,0,0,0,0,0,0
0.0542084,-75.7525,52.8782,-1.4919,0.604032,-0.217791,-0.131553,NONE,0,0,0,0,0,0,0
0.0582306,-75.7523,52.8716,-1.49422,0.699132,-0.287433,-0.200953,NONE,0,0,0,0,0,0,0
0.0615534,-75.7523,52.8716,-1.49422,0.699132,-0.287433,-0.200953,NONE,0,0,0,0,0,0,0
0.0683337,-75.7523,52.8716,-1.49422,0.699132,-0.287433,-0.200953,NONE,0,0,0,0,0,0,0
0.0722151,-75.7523,52.8642,-1.49735,0.794232,-0.333247,-0.264675,NONE,0,0,0,0,0,0,0
0.075012,-75.7523,52.8642,-1.49735,0.794232,-0.333247,-0.264675,NONE,0,0,0,0,0,0,0
0.0891237,-75.7522,52.8558,-1.50077,0.889332,-0.346661,-0.308296,NONE,0,0,0,0,0,0,0
0.0941054,-75.7522,52.8558,-1.50077,0.889332,-0.346661,-0.308296,NONE,0,0,0,0,0,0,0
0.107519,-75.7522,52.8464,-1.50435,0.984432,-0.382148,-0.376198,NONE,0,0,0,0,0,0,0
0.116425,-75.7522,52.8361,-1.50836,1.07953,-0.40866,-0.441162,NONE,0,0,0,0,0,0,0
0.124614,-75.7522,52.8361,-1.50836,1.07953,-0.40866,-0.441162,NONE,0,0,0,0,0,0,0
