t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
9.1233e-05,44.4992,29.3507,2.41499,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.000774002,44.4992,29.3507,2.41499,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.00314328,44.4992,29.3507,2.41499,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.011099,44.4979,29.3519,2.41509,0.22824,0.0221265,0.00505015,NONE,0,0,0,0,0,0,0
0.0156961,44.4958,29.3537,2.4155,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0181776,44.4958,29.3537,2.4155,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0270131,44.4958,29.3537,2.4155,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0331644,44.493,29.3562,2.41603,0.41844,0.0405653,0.0169741,NONE,0,0,0,0,0,0,0
0.0376232,44.4895,29.3593,2.41671,0.51354,0.0689105,0.0353883,NONE,0,0,0,0,0,0,0
0.0410153,44.4895,29.3593,2.41671,0.51354,0.0689105,0.0353883,NONE,0,0,0,0,0,0,0
0.0476723,44.4853,29.3629,2.4173,0.60864,0.0732155,0.0445619,NONE,0,0,0,0,0,0,0
0.0503046,44.4853,29.3629,2.4173,0.60864,0.0732155,0.0445619,NONE,0,0,0,0,0,0,0
0.0626864,44.4803,29.3672,2.41787,0.70374,0.0464249,0.0326711,NONE,0,0,0,0,0,0,0
0.0682072,44.4746,29.3721,2.41826,0.79884,0.0485469,0.0387812,NONE,0,0,0,0,0,0,0
0.0714742,44.4746,29.3721,2.41826,0.79884,0.0485469,0.0387812,NONE,0,0,0,0,0,0,0
0.07683,44.4682,29.3777,2.41876,0.89394,0.0413552,0.0369691,NONE,0,0,0,0,0,0,0
0.0799181,44.4682,29.3777,2.41876,0.89394,0.0413552,0.0369691,NONE,0,0,0,0,0,0,0
0.0827503,44.4682,29.3777,2.41876,0.89394,0.0413552,0.0369691,NONE,0,0,0,0,0,0,0
0.089672,44.4611,29.3838,2.41916,0.98904,0.0489804,0.0484436,NONE,0,0,0,0,0,0,0
0.0906912,44.4611,29.3838,2.41916,0.98904,0.0489804,0.0484436,NONE,0,0,0,0,0,0,0
0.097964,44.4533,29.3906,2.41969,1.08414,0.0463341,0.0502326,NONE,0,0,0,0,0,0,0
0.101595,44.4533,29.3906,2.41969,1.08414,0.0463341,0.0502326,NONE,0,0,0,0,0,0,0
0.104618,44.4533,29.3906,2.41969,1.08414,0.0463341,0.0502326,NONE,0,0,0,0,0,0,0
0.107399,44.4447,29.398,2.42013,1.17924,0.0537325,0.0633636,NONE,0,0,0,0,0,0,0
0.110099,44.4447,29.398,2.42013,1.17924,0.0537325,0.0633636,NONE,0,0,0,0,0,0,0
0.115322,44.4355,29.4061,2.42072,1.27434,0.0525812,0.0670064,NONE,0,0,0,0,0,0,0
0.124506,44.4355,29.4061,2.42072,1.27434,0.0525812,0.0670064,NONE,0,0,0,0,0,0,0
0.130518,44.4255,29.4147,2.42123,1.36944,0.0593504,0.0812768,NONE,0,0,0,0,0,0,0
0.138903,44.4255,29.4147,2.42123,1.36944,0.0593504,0.0812768,NONE,0,0,0,0,0,0,0
0.144589,44.4148,29.424,2.42187,1.46454,0.0589171,0.0862864,NONE,0,0,0,0,0,0,0
0.14831,44.4033,29.4339,2.42244,1.55964,0.0650907,0.101518,NONE,0,0,0,0,0,0,0
0.162898,44.3911,29.4444,2.42314,1.65474,0.065029,0.107606,NONE,0,0,0,0,0,0,0
0.165241,44.3911,29.4444,2.42314,1.65474,0.065029,0.107606,NONE,0,0,0,0,0,0,0
0.167736,44.3783,29.4555,2.42377,1.74984,0.0706602,0.123644,NONE,0,0,0,0,0,0,0
0.170508,44.3783,29.4555,2.42377,1.74984,0.0706602,0.123644,NONE,0,0,0,0,0,0,0
0.176313,44.3646,29.4672,2.42452,1.84494,0.0707786,0.130582,NONE,0,0,0,0,0,0,0
0.180364,44.3646,29.4672,2.42452,1.84494,0.0707786,0.130582,NONE,0,0,0,0,0,0,0
0.1858,44.3646,29.4672,2.42452,1.84494,0.0707786,0.130582,NONE,0,0,0,0,0,0,0
0.186407,44.3503,29.4796,2.42521,1.94004,0.0759103,0.147269,NONE,0,0,0,0,0,0,0
