t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
8.9802e-05,0.0010461,0,0,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.00542732,0.002853,5.96777e-08,9.5252e-05,0.22824,0.0221265,0.00505015,NONE,0,0,0,0,0,0,0
0.0195636,0.0056109,8.2471e-07,0.000504199,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0248221,0.0093198,4.26732e-06,0.00141251,0.41844,0.122029,0.051062,NONE,0,0,0,0,0,0,0
0.0284385,0.0093198,4.26732e-06,0.00141251,0.41844,0.122029,0.051062,NONE,0,0,0,0,0,0,0
0.0341505,0.0139797,1.43884e-05,0.00300763,0.51354,0.14652,0.0752438,NONE,0,0,0,0,0,0,0
0.0376983,0.0139797,1.43884e-05,0.00300763,0.51354,0.14652,0.0752438,NONE,0,0,0,0,0,0,0
0.0438202,0.0195865,0.000208168,0.00437681,0.60864,0.218041,0.132708,NONE,0,0,0,0,0,0,0
0.0507193,0.0195865,0.000208168,0.00437681,0.60864,0.218041,0.132708,NONE,0,0,0,0,0,0,0
0.0552107,0.0261377,0.000578477,0.00671558,0.70374,0.288026,0.202696,NONE,0,0,0,0,0,0,0
0.0591857,0.0261377,0.000578477,0.00671558,0.70374,0.288026,0.202696,NONE,0,0,0,0,0,0,0
0.0642784,0.0336293,0.00114286,0.00998777,0.79884,0.379167,0.302894,NONE,0,0,0,0,0,0,0
0.0687049,0.0336293,0.00114286,0.00998777,0.79884,0.379167,0.302894,NONE,0,0,0,0,0,0,0
0.0792329,0.042057,0.00192384,0.0142967,0.89394,0.487905,0.436158,NONE,0,0,0,0,0,0,0
0.0843739,0.0514157,0.00294939,0.0197694,0.98904,0.609993,0.603307,NONE,0,0,0,0,0,0,0
0.0875702,0.0514157,0.00294939,0.0197694,0.98904,0.609993,0.603307,NONE,0,0,0,0,0,0,0
0.0939097,0.0617013,0.00423663,0.0263719,1.08414,0.697114,0.755769,NONE,0,0,0,0,0,0,0
0.0984461,0.0617013,0.00423663,0.0263719,1.08414,0.697114,0.755769,NONE,0,0,0,0,0,0,0
0.104634,0.0729148,0.00576265,0.0337219,1.17924,0.782067,0.922244,NONE,0,0,0,0,0,0,0
0.118339,0.0850528,0.0075426,0.0419438,1.27434,0.850957,1.08441,NONE,0,0,0,0,0,0,0
0.125472,0.0981181,0.00955226,0.0506004,1.36944,0.873958,1.19683,NONE,0,0,0,0,0,0,0
0.130941,0.0981181,0.00955226,0.0506004,1.36944,0.873958,1.19683,NONE,0,0,0,0,0,0,0
0.146493,0.112113,0.0117716,0.059492,1.46454,0.915749,1.34115,NONE,0,0,0,0,0,0,0
0.150076,0.127032,0.0142327,0.0688922,1.55964,0.954449,1.4886,NONE,0,0,0,0,0,0,0
0.155904,0.142877,0.0169234,0.0784454,1.65474,0.950137,1.57223,NONE,0,0,0,0,0,0,0
