t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
0.000132706,-9.99922,7.475,0,0.115709,0,0,NONE,999.9,0,0
0.0144578,-9.99758,7.475,8.68042e-05,0.210809,0.0204367,0.00430823,NONE,999.9,0,0
0.0241705,-9.99501,7.475,0.00046871,0.30383,0.0589694,0.0179166,NONE,999.9,0,0
0.0364437,-9.99153,7.475,0.00132122,0.392427,0.114443,0.0449107,NONE,999.9,0,0
0.0540337,-9.98718,7.47501,0.00236969,0.476812,0.092543,0.0441256,NONE,999.9,0,0
0.0570437,-9.98718,7.47501,0.00236969,0.476812,0.092543,0.0441256,NONE,999.9,0,0
0.0730076,-9.98201,7.47507,0.00345186,0.557184,0.0622833,0.0347033,NONE,999.9,0,0
0.0871655,-9.97606,7.47526,0.00451738,0.633735,0.101562,0.0643631,NONE,999.9,0,0
0.103689,-9.96936,7.47551,0.00574266,0.706646,0.14701,0.103884,NONE,999.9,0,0
0.113945,-9.96196,7.47582,0.00736339,0.776089,0.160033,0.1242,NONE,999.9,0,0
0.127971,-9.95376,7.47618,0.00903547,0.864048,0.18672,0.161335,NONE,999.9,0,0
0.141616,-9.94471,7.47661,0.011024,0.947824,0.198661,0.188295,NONE,999.9,0,0
0.151803,-9.93485,7.47706,0.0129048,1.02762,0.171529,0.176266,NONE,999.9,0,0
0.163928,-9.9242,7.47751,0.0145516,1.10361,0.171959,0.189776,NONE,999.9,0,0
0.178828,-9.91281,7.478,0.0163057,1.176,0.167198,0.196624,NONE,999.9,0,0
0.192572,-9.90072,7.4785,0.0179564,1.24494,0.175757,0.218807,NONE,999.9,0,0
0.200061,-9.88795,7.47904,0.0197759,1.31061,0.175596,0.230137,NONE,999.9,0,0
0.207463,-9.87455,7.4796,0.0215191,1.37315,0.18592,0.255295,NONE,999.9,0,0
0.214514,-9.86053,7.48022,0.0234498,1.43272,0.187192,0.268193,NONE,999.9,0,0
0.223594,-9.86053,7.48022,0.0234498,1.43272,0.187192,0.268193,NONE,999.9,0,0
0.229575,-9.84593,7.48087,0.0253093,1.48945,0.197802,0.294616,NONE,999.9,0,0
0.23539,-9.83079,7.48158,0.0273626,1.54349,0.199478,0.307892,NONE,999.9,0,0
0.243934,-9.81511,7.48233,0.0293424,1.59496,0.209866,0.334728,NONE,999.9,0,0
0.247867,-9.81511,7.48233,0.0293424,1.59496,0.209866,0.334728,NONE,999.9,0,0
0.255521,-9.79894,7.48313,0.031518,1.64398,0.211522,0.347738,NONE,999.9,0,0
0.262432,-9.79894,7.48313,0.031518,1.64398,0.211522,0.347738,NONE,999.9,0,0
0.267935,-9.78229,7.48398,0.0336148,1.69067,0.221505,0.374492,NONE,999.9,0,0
0.275258,-9.76518,7.4849,0.0359073,1.73514,0.22296,0.386866,NONE,999.9,0,0
0.278605,-9.76518,7.4849,0.0359073,1.73514,0.22296,0.386866,NONE,999.9,0,0
0.286234,-9.74764,7.48585,0.0381148,1.7775,0.232483,0.413238,NONE,999.9,0,0
0.289944,-9.74764,7.48585,0.0381148,1.7775,0.232483,0.413238,NONE,999.9,0,0
0.298786,-9.7297,7.48688,0.040517,1.81784,0.233663,0.42476,NONE,999.9,0,0
0.30692,-9.71136,7.48796,0.0428279,1.85626,0.242728,0.450567,NONE,999.9,0,0
0.319098,-9.69255,7.48911,0.0453097,1.91246,0.241117,0.461126,NONE,999.9,0,0
0.326815,-9.67319,7.49032,0.0476916,1.96599,0.248538,0.488624,NONE,999.9,0,0
0.334322,-9.65332,7.49162,0.0502517,2.01698,0.250182,0.504612,NONE,999.9,0,0
0.352175,-9.63295,7.49296,0.0524969,2.06554,0.190444,0.393368,NONE,999.9,0,0
0.362078,-9.61211,7.49432,0.0541647,2.11179,0.159672,0.337194,NONE,999.9,0,0
0.371422,-9.59082,7.4957,0.0557004,2.15584,0.135408,0.291919,NONE,999.9,0,0
0.382126,-9.56909,7.4971,0.0569307,2.1978,0.125653,0.276161,NONE,999.9,0,0
0.392525,-9.54696,7.49855,0.0581976,2.23776,0.114279,0.255728,NONE,999.9,0,0
0.399293,-9.52444,7.50001,0.0592585,2.27582,0.112528,0.256093,NONE,999.9,0,0
0.407212,-9.50155,7.50153,0.0604232,2.31207,0.106317,0.245812,NONE,999.9,0,0
0.417937,-9.47831,7.50307,0.061421,2.3466,0.10788,0.253152,NONE,999.9,0,0
0.424168,-9.45474,7.50465,0.0625524,2.37949,0.103901,0.247231,NONE,999.9,0,0
0.42755,-9.45474,7.50465,0.0625524,2.37949,0.103901,0.247231,NONE,999.9,0,0
0.435047,-9.43084,7.50627,0.0635327,2.41081,0.106918,0.25776,NONE,999.9,0,0
0.43857,-9.43084,7.50627,0.0635327,2.41081,0.106918,0.25776,NONE,999.9,0,0
0.451758,-9.40664,7.50794,0.064661,2.44064,0.103952,0.253711,NONE,999.9,0,0
0.458261,-9.38215,7.50963,0.0656443,2.46906,0.107622,0.265725,NONE,999.9,0,0
0.465715,-9.35738,7.51138,0.0667831,2.49612,0.105124,0.262401,NONE,999.9,0,0
0.478069,-9.33227,7.51316,0.0677741,2.5386,0.107088,0.271854,NONE,999.9,0,0
0.478689,-9.33227,7.51316,0.0677741,2.5386,0.107088,0.271854,NONE,999.9,0,0
0.492082,-9.30675,7.51501,0.0689011,2.57905,0.104375,0.269188,NONE,999.9,0,0
0.499635,-9.28084,7.51689,0.0698913,2.61758,0.107831,0.282256,NONE,999.9,0,0
0.508413,-9.25455,7.51884,0.071032,2.65428,0.106034,0.281445,NONE,999.9,0,0
0.519716,-9.22791,7.52083,0.0720403,2.68923,0.110014,0.295853,NONE,999.9,0,0
0.526938,-9.20093,7.52289,0.0732058,2.72252,0.108527,0.295467,NONE,999.9,0,0
0.535528,-9.17362,7.52498,0.0742387,2.75423,0.112653,0.310271,NONE,999.9,0,0
0.542676,-9.17362,7.52498,0.0742387,2.75423,0.112653,0.310271,NONE,999.9,0,0
0.551707,-9.14601,7.52713,0.0754321,2.78443,0.111235,0.309727,NONE,999.9,0,0
0.559594,-9.11811,7.52933,0.076491,2.8132,0.11536,0.32453,NONE,999.9,0,0
0.566766,-9.08993,7.53158,0.0777124,2.84059,0.113918,0.323596,NONE,999.9,0,0
0.577497,-9.06149,7.53388,0.0787969,2.86669,0.117986,0.338229,NONE,999.9,0,0
0.585073,-9.03279,7.53623,0.0800452,2.89154,0.116485,0.33682,NONE,999.9,0,0
0.593668,-9.00386,7.53863,0.081154,2.91521,0.120476,0.351214,NONE,999.9,0,0
0.598618,-9.00386,7.53863,0.081154,2.91521,0.120476,0.351214,NONE,999.9,0,0
0.61832,-8.9747,7.54109,0.0824277,2.93776,0.118904,0.34931,NONE,999.9,0,0
0.622319,-8.94532,7.54358,0.0835595,2.95923,0.122815,0.363439,NONE,999.9,0,0
0.630851,-8.91573,7.54614,0.084857,2.97969,0.121169,0.361046,NONE,999.9,0,0
0.647096,-8.88595,7.54874,0.0860103,2.99917,0.125002,0.374902,NONE,999.9,0,0
0.655099,-8.85599,7.5514,0.08733,3.01772,0.123284,0.372037,NONE,999.9,0,0
0.659238,-8.85599,7.5514,0.08733,3.01772,0.123284,0.372037,NONE,999.9,0,0
0.668077,-8.82584,7.55409,0.0885034,3.03539,0.127042,0.385622,NONE,999.9,0,0
0.681627,-8.79553,7.55685,0.0898438,3.05222,0.125255,0.382307,NONE,999.9,0,0
0.68853,-8.76505,7.55965,0.091036,3.06826,0.128942,0.395628,NONE,999.9,0,0
0.698436,-8.73443,7.56251,0.0923956,3.08352,0.12709,0.391886,NONE,999.9,0,0
0.707882,-8.70366,7.56541,0.0936052,3.09807,0.13071,0.40495,NONE,999.9,0,0
0.717857,-8.67275,7.56837,0.0949827,3.11192,0.128796,0.400804,NONE,999.9,0,0
0.725285,-8.64171,7.57137,0.0962085,3.12511,0.132354,0.41362,NONE,999.9,0,0
0.729968,-8.64171,7.57137,0.0962085,3.12511,0.132354,0.41362,NONE,999.9,0,0
0.74021,-8.61054,7.57443,0.0976026,3.13768,0.130381,0.409094,NONE,999.9,0,0
0.747529,-8.57919,7.57754,0.0988341,3.16301,0.131167,0.414883,NONE,999.9,0,0
0.753898,-8.5476,7.58072,0.100205,3.18715,0.127915,0.407682,NONE,999.9,0,0
0.757566,-8.5476,7.58072,0.100205,3.18715,0.127915,0.407682,NONE,999.9,0,0
0.766197,-8.51585,7.58395,0.10143,3.19541,0.133406,0.426289,NONE,999.9,0,0
0.768787,-8.51585,7.58395,0.10143,3.19541,0.133406,0.426289,NONE,999.9,0,0
0.777362,-8.48403,7.58723,0.102843,3.20329,0.132671,0.424983,NONE,999.9,0,0
0.784032,-8.45213,7.59055,0.10411,3.21079,0.136986,0.439834,NONE,999.9,0,0
0.788449,-8.45213,7.59055,0.10411,3.21079,0.136986,0.439834,NONE,999.9,0,0
0.798492,-8.42017,7.59394,0.105555,3.21794,0.135411,0.435745,NONE,999.9,0,0
0.798546,-8.42017,7.59394,0.105555,3.21794,0.135411,0.435745,NONE,999.9,0,0
0.804224,-8.38813,7.59733,0.106544,3.22474,0.0506743,0.163411,NONE,999.9,0,0
0.808959,-8.38813,7.59733,0.106544,3.22474,0.0506743,0.163411,NONE,999.9,0,0
0.812895,-8.35596,7.60069,0.106686,3.24429,-0.00352379,-0.0114322,NONE,999.9,0,0
0.815491,-8.35596,7.60069,0.106686,3.24429,-0.00352379,-0.0114322,NONE,999.9,0,0
0.82294,-8.3236,7.60407,0.106502,3.26291,-0.046628,-0.152143,NONE,999.9,0,0
