t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
0.000450828,-9.99917,7.475,0,0.118557,0,0,NONE,999.9,0,0
0.00775281,-9.99751,7.475,8.81845e-05,0.213657,0.0207128,0.00442543,NONE,999.9,0,0
0.0115568,-9.99751,7.475,8.81845e-05,0.213657,0.0207128,0.00442543,NONE,999.9,0,0
0.0224852,-9.9949,7.475,0.000475915,0.308757,0.0599257,0.0185025,NONE,999.9,0,0
0.0225387,-9.9949,7.475,0.000475915,0.308757,0.0599257,0.0185025,NONE,999.9,0,0
0.0305787,-9.99134,7.475,0.00134882,0.403857,0.117777,0.0475649,NONE,999.9,0,0
0.0328448,-9.99134,7.475,0.00134882,0.403857,0.117777,0.0475649,NONE,999.9,0,0
0.0385696,-9.98682,7.47501,0.00289428,0.498957,0.194481,0.0970376,NONE,999.9,0,0
0.0470909,-9.98137,7.4751,0.00464666,0.592517,0.0954997,0.0565852,NONE,999.9,0,0
0.0508917,-9.98137,7.4751,0.00464666,0.592517,0.0954997,0.0565852,NONE,999.9,0,0
0.0586749,-9.975,7.47536,0.00602438,0.681627,0.169867,0.115786,NONE,999.9,0,0
0.063102,-9.975,7.47536,0.00602438,0.681627,0.169867,0.115786,NONE,999.9,0,0
0.0694859,-9.96777,7.47573,0.00799759,0.766501,0.205476,0.157498,NONE,999.9,0,0
0.0730784,-9.96777,7.47573,0.00799759,0.766501,0.205476,0.157498,NONE,999.9,0,0
0.0874519,-9.95964,7.47618,0.0102037,0.861601,0.246584,0.212457,NONE,999.9,0,0
0.0953167,-9.95057,7.47672,0.0128491,0.956701,0.271145,0.259405,NONE,999.9,0,0
0.104,-9.94054,7.47733,0.0155272,1.0518,0.258856,0.272265,NONE,999.9,0,0
0.10969,-9.92958,7.47798,0.0181071,1.1439,0.26938,0.308144,NONE,999.9,0,0
0.121517,-9.91773,7.47869,0.0208818,1.23163,0.274906,0.338582,NONE,999.9,0,0
0.128691,-9.90501,7.47944,0.0236549,1.31518,0.291053,0.382788,NONE,999.9,0,0
0.131868,-9.90501,7.47944,0.0236549,1.31518,0.291053,0.382788,NONE,999.9,0,0
0.138824,-9.89149,7.48028,0.0266654,1.39476,0.299501,0.417732,NONE,999.9,0,0
0.147011,-9.87719,7.48117,0.0296867,1.47056,0.31633,0.46518,NONE,999.9,0,0
0.15367,-9.87719,7.48117,0.0296867,1.47056,0.31633,0.46518,NONE,999.9,0,0
0.159699,-9.86216,7.48215,0.0329552,1.54275,0.32527,0.50181,NONE,999.9,0,0
0.16748,-9.84642,7.48321,0.0362305,1.61151,0.341703,0.550657,NONE,999.9,0,0
0.17111,-9.84642,7.48321,0.0362305,1.61151,0.341703,0.550657,NONE,999.9,0,0
0.184564,-9.83002,7.48436,0.0397536,1.677,0.350365,0.58756,NONE,999.9,0,0
0.188713,-9.81298,7.48559,0.0432741,1.73937,0.36605,0.636698,NONE,999.9,0,0
0.191731,-9.81298,7.48559,0.0432741,1.73937,0.36605,0.636698,NONE,999.9,0,0
0.198028,-9.79534,7.48692,0.04704,1.79878,0.374135,0.672986,NONE,999.9,0,0
0.201453,-9.79534,7.48692,0.04704,1.79878,0.374135,0.672986,NONE,999.9,0,0
0.211668,-9.77713,7.48834,0.0507921,1.85537,0.38897,0.721682,NONE,999.9,0,0
0.211737,-9.77713,7.48834,0.0507921,1.85537,0.38897,0.721682,NONE,999.9,0,0
0.218886,-9.75837,7.48987,0.0547856,1.90926,0.396374,0.75678,NONE,999.9,0,0
0.222401,-9.75837,7.48987,0.0547856,1.90926,0.396374,0.75678,NONE,999.9,0,0
0.23015,-9.73897,7.49151,0.0587265,1.98291,0.404084,0.801261,NONE,999.9,0,0
0.236277,-9.71887,7.49328,0.0628541,2.05305,0.409764,0.841266,NONE,999.9,0,0
0.25029,-9.69809,7.49515,0.0667459,2.11986,0.360805,0.764857,NONE,999.9,0,0
0.257137,-9.67666,7.49709,0.0701601,2.18349,0.336796,0.735391,NONE,999.9,0,0
0.261849,-9.67666,7.49709,0.0701601,2.18349,0.336796,0.735391,NONE,999.9,0,0
0.269721,-9.65462,7.49911,0.0734924,2.2441,0.318549,0.714857,NONE,999.9,0,0
0.277086,-9.65462,7.49911,0.0734924,2.2441,0.318549,0.714857,NONE,999.9,0,0
0.281009,-9.63198,7.50122,0.0765818,2.30183,0.31288,0.720195,NONE,999.9,0,0
0.28616,-9.6088,7.50342,0.0797387,2.35681,0.306053,0.721306,NONE,999.9,0,0
0.288719,-9.6088,7.50342,0.0797387,2.35681,0.306053,0.721306,NONE,999.9,0,0
0.291266,-9.6088,7.50342,0.0797387,2.35681,0.306053,0.721306,NONE,999.9,0,0
0.297664,-9.58508,7.50571,0.0827402,2.40917,0.30763,0.741133,NONE,999.9,0,0
0.302438,-9.58508,7.50571,0.0827402,2.40917,0.30763,0.741133,NONE,999.9,0,0
0.310011,-9.56085,7.50811,0.0858721,2.45905,0.305569,0.751407,NONE,999.9,0,0
0.317923,-9.53615,7.51061,0.0888838,2.50655,0.310274,0.777718,NONE,999.9,0,0
0.321251,-9.53615,7.51061,0.0888838,2.50655,0.310274,0.777718,NONE,999.9,0,0
0.328151,-9.51099,7.51321,0.0920551,2.5518,0.310331,0.791902,NONE,999.9,0,0
0.333086,-9.51099,7.51321,0.0920551,2.5518,0.310331,0.791902,NONE,999.9,0,0
0.341759,-9.4854,7.51592,0.0951203,2.59489,0.316428,0.821096,NONE,999.9,0,0
0.349891,-9.4594,7.51874,0.0983597,2.63594,0.317424,0.83671,NONE,999.9,0,0
0.357467,-9.43301,7.52167,0.101497,2.67503,0.324107,0.866995,NONE,999.9,0,0
0.361003,-9.43301,7.52167,0.101497,2.67503,0.324107,0.866995,NONE,999.9,0,0
0.366537,-9.40625,7.52472,0.104817,2.71226,0.325474,0.882772,NONE,999.9,0,0
0.376916,-9.37913,7.52787,0.108035,2.74773,0.332345,0.913192,NONE,999.9,0,0
0.380753,-9.37913,7.52787,0.108035,2.74773,0.332345,0.913192,NONE,999.9,0,0
0.38704,-9.35158,7.53116,0.111395,2.80051,0.327062,0.915941,NONE,999.9,0,0
0.39176,-9.35158,7.53116,0.111395,2.80051,0.327062,0.915941,NONE,999.9,0,0
0.399004,-9.32353,7.53458,0.114612,2.85078,0.329703,0.93991,NONE,999.9,0,0
0.410668,-9.29501,7.53816,0.117975,2.89866,0.329622,0.955464,NONE,999.9,0,0
0.416694,-9.26603,7.54184,0.120986,2.94427,0.262853,0.773909,NONE,999.9,0,0
0.422047,-9.26603,7.54184,0.120986,2.94427,0.262853,0.773909,NONE,999.9,0,0
0.428281,-9.23661,7.54559,0.12332,2.98771,0.220587,0.65905,NONE,999.9,0,0
0.435914,-9.23661,7.54559,0.12332,2.98771,0.220587,0.65905,NONE,999.9,0,0
0.443037,-9.20677,7.54943,0.12542,3.02908,0.187402,0.567656,NONE,999.9,0,0
0.448771,-9.17653,7.55335,0.127124,3.06848,0.168615,0.517392,NONE,999.9,0,0
0.454977,-9.17653,7.55335,0.127124,3.06848,0.168615,0.517392,NONE,999.9,0,0
0.468689,-9.14592,7.55735,0.128793,3.10601,0.151892,0.471777,NONE,999.9,0,0
0.473844,-9.11495,7.56143,0.130201,3.14176,0.144674,0.454529,NONE,999.9,0,0
0.480578,-9.08364,7.5656,0.131675,3.1758,0.13608,0.432162,NONE,999.9,0,0
0.487306,-9.052,7.56984,0.132954,3.20823,0.134576,0.43175,NONE,999.9,0,0
0.490987,-9.052,7.56984,0.132954,3.20823,0.134576,0.43175,NONE,999.9,0,0
0.501758,-9.02006,7.57417,0.134349,3.23911,0.129982,0.421025,NONE,999.9,0,0
0.510445,-8.98782,7.57857,0.135581,3.26853,0.131273,0.429069,NONE,999.9,0,0
0.517327,-8.95523,7.58307,0.136935,3.31177,0.12592,0.417019,NONE,999.9,0,0
0.527069,-8.92222,7.58765,0.138127,3.35294,0.126509,0.424179,NONE,999.9,0,0
0.544455,-8.88882,7.59234,0.139449,3.39217,0.123973,0.420535,NONE,999.9,0,0
0.551316,-8.85505,7.5971,0.14063,3.42952,0.126485,0.433782,NONE,999.9,0,0
0.559313,-8.82092,7.60197,0.14196,3.4651,0.125222,0.433907,NONE,999.9,0,0
0.567541,-8.78645,7.60692,0.143157,3.49899,0.128579,0.449896,NONE,999.9,0,0
