t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
0.000135088,-9.99917,7.475,0,0.118557,0,0,NONE,999.9,0,0
0.00515595,-9.99917,7.475,0,0.118557,0,0,NONE,999.9,0,0
0.00992122,-9.99751,7.475,0,0.213657,0,0,NONE,999.9,0,0
0.0134895,-9.99751,7.475,0,0.213657,0,0,NONE,999.9,0,0
0.0196342,-9.99751,7.475,0,0.213657,0,0,NONE,999.9,0,0
0.0246466,-9.9949,7.475,0,0.308757,0,0,NONE,999.9,0,0
0.0267035,-9.9949,7.475,0,0.308757,0,0,NONE,999.9,0,0
0.0318861,-9.99134,7.475,0,0.403857,0,0,NONE,999.9,0,0
0.0359971,-9.99134,7.475,0,0.403857,0,0,NONE,999.9,0,0
0.0427181,-9.98682,7.475,0,0.498957,0,0,NONE,999.9,0,0
0.0510712,-9.98682,7.475,0,0.498957,0,0,NONE,999.9,0,0
0.0550459,-9.98136,7.475,0,0.592517,0,0,NONE,999.9,0,0
0.0609121,-9.97499,7.475,0,0.681627,0,0,NONE,999.9,0,0
0.0659625,-9.97499,7.475,0,0.681627,0,0,NONE,999.9,0,0
0.0719711,-9.9677,7.475,0,0.776727,0,0,NONE,999.9,0,0
0.0764604,-9.9677,7.475,0,0.776727,0,0,NONE,999.9,0,0
0.087636,-9.95946,7.475,0,0.871827,0,0,NONE,999.9,0,0
0.0905566,-9.95027,7.475,0,0.966927,0,0,NONE,999.9,0,0
0.0939856,-9.95027,7.475,0,0.966927,0,0,NONE,999.9,0,0
0.0975064,-9.95027,7.475,0,0.966927,0,0,NONE,999.9,0,0
0.103173,-9.94012,7.475,0,1.06203,0,0,NONE,999.9,0,0
0.107157,-9.94012,7.475,0,1.06203,0,0,NONE,999.9,0,0
0.116087,-9.92904,7.475,0,1.15364,0,0,NONE,999.9,0,0
0.122969,-9.91707,7.475,0,1.24091,0,0,NONE,999.9,0,0
0.127127,-9.91707,7.475,0,1.24091,0,0,NONE,999.9,0,0
0.131653,-9.90425,7.475,0,1.32402,0,0,NONE,999.9,0,0
0.135513,-9.90425,7.475,0,1.32402,0,0,NONE,999.9,0,0
0.14883,-9.89061,7.475,0,1.40318,0,0,NONE,999.9,0,0
0.15858,-9.89061,7.475,0,1.40318,0,0,NONE,999.9,0,0
0.164052,-9.8762,7.475,0,1.47857,0,0,NONE,999.9,0,0
0.180924,-9.86106,7.475,0,1.55038,0,0,NONE,999.9,0,0
0.187578,-9.86106,7.475,0,1.55038,0,0,NONE,999.9,0,0
0.200683,-9.84521,7.475,0,1.61878,0,0,NONE,999.9,0,0
0.207017,-9.8287,7.475,0,1.68392,0,0,NONE,999.9,0,0
0.217984,-9.81155,7.475,0,1.74597,0,0,NONE,999.9,0,0
0.224857,-9.79379,7.475,0,1.80506,0,0,NONE,999.9,0,0
0.231262,-9.77546,7.475,0,1.86135,0,0,NONE,999.9,0,0
0.235607,-9.77546,7.475,0,1.86135,0,0,NONE,999.9,0,0
0.250921,-9.75658,7.475,0,1.91496,0,0,NONE,999.9,0,0
0.254888,-9.75658,7.475,0,1.91496,0,0,NONE,999.9,0,0
0.261062,-9.73706,7.475,0,1.98833,0,0,NONE,999.9,0,0
0.267046,-9.73706,7.475,0,1.98833,0,0,NONE,999.9,0,0
0.278721,-9.71683,7.475,0,2.05822,0,0,NONE,999.9,0,0
0.285879,-9.69591,7.475,0,2.12479,0,0,NONE,999.9,0,0
0.290613,-9.67435,7.475,0,2.18818,0,0,NONE,999.9,0,0
0.297533,-9.67435,7.475,0,2.18818,0,0,NONE,999.9,0,0
0.304152,-9.65217,7.475,0,2.24857,0,0,NONE,999.9,0,0
0.313548,-9.62939,7.475,0,2.30608,0,0,NONE,999.9,0,0
0.319539,-9.60606,7.475,0,2.36086,0,0,NONE,999.9,0,0
0.32288,-9.60606,7.475,0,2.36086,0,0,NONE,999.9,0,0
0.325937,-9.60606,7.475,0,2.36086,0,0,NONE,999.9,0,0
0.331331,-9.58219,7.475,0,2.41303,0,0,NONE,999.9,0,0
0.339368,-9.58219,7.475,0,2.41303,0,0,NONE,999.9,0,0
0.341529,-9.55781,7.475,0,2.46272,0,0,NONE,999.9,0,0
0.346548,-9.55781,7.475,0,2.46272,0,0,NONE,999.9,0,0
0.351683,-9.53295,7.475,0,2.51005,0,0,NONE,999.9,0,0
0.355523,-9.53295,7.475,0,2.51005,0,0,NONE,999.9,0,0
0.360371,-9.50762,7.475,0,2.55513,0,0,NONE,999.9,0,0
0.364233,-9.50762,7.475,0,2.55513,0,0,NONE,999.9,0,0
0.371691,-9.48185,7.475,0,2.59807,0,0,NONE,999.9,0,0
0.376382,-9.48185,7.475,0,2.59807,0,0,NONE,999.9,0,0
0.381099,-9.45567,7.475,0,2.63896,0,0,NONE,999.9,0,0
0.384578,-9.45567,7.475,0,2.63896,0,0,NONE,999.9,0,0
0.389278,-9.42908,7.475,0,2.67791,0,0,NONE,999.9,0,0
0.392356,-9.42908,7.475,0,2.67791,0,0,NONE,999.9,0,0
0.396218,-9.42908,7.475,0,2.67791,0,0,NONE,999.9,0,0
0.402249,-9.40202,7.475,0,2.73401,0,0,NONE,999.9,0,0
0.405878,-9.40202,7.475,0,2.73401,0,0,NONE,999.9,0,0
0.410874,-9.37442,7.475,0,2.78745,0,0,NONE,999.9,0,0
0.41482,-9.37442,7.475,0,2.78745,0,0,NONE,999.9,0,0
0.421112,-9.34629,7.475,0,2.83834,0,0,NONE,999.9,0,0
