t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
8.4355e-05,2.33482,7.47905,0.0140848,0.1902,-4.61026e-05,-8.76871e-06,NONE,999.9,0,0
0.0135762,2.3372,7.47908,0.0139619,0.2853,-0.0277042,-0.00790402,NONE,999.9,0,0
0.0247996,2.34053,7.47912,0.0138083,0.3804,-4.61028e-05,-1.75375e-05,NONE,999.9,0,0
0.0349037,2.34481,7.47918,0.0135932,0.4755,-0.046143,-0.021941,NONE,999.9,0,0
0.0493914,2.35003,7.47924,0.0132878,0.570175,-0.0152385,-0.00868863,NONE,999.9,0,0
0.0580528,2.35619,7.4793,0.0131354,0.660348,-0.0308622,-0.0203798,NONE,999.9,0,0
0.0651359,2.36326,7.47934,0.0127977,0.755448,-0.0262539,-0.0198335,NONE,999.9,0,0
0.0763555,2.37129,7.47939,0.0125349,0.850548,-0.0379479,-0.0322765,NONE,999.9,0,0
0.0836551,2.38028,7.47944,0.0121104,0.945648,-0.0358894,-0.0339387,NONE,999.9,0,0
0.0898278,2.39021,7.47949,0.0117579,1.04075,-0.0454292,-0.0472804,NONE,999.9,0,0
0.0974643,2.40108,7.47954,0.011254,1.13338,-0.0444566,-0.0503861,NONE,999.9,0,0
0.101821,2.40108,7.47954,0.011254,1.13338,-0.0444566,-0.0503861,NONE,999.9,0,0
0.112562,2.41285,7.47959,0.0108226,1.2216,-0.0527939,-0.0644931,NONE,999.9,0,0
0.119639,2.42549,7.47963,0.0102419,1.30563,-0.0520311,-0.0679334,NONE,999.9,0,0
0.128262,2.43894,7.47968,0.00974091,1.38566,-0.0595629,-0.0825342,NONE,999.9,0,0
0.132231,2.43894,7.47968,0.00974091,1.38566,-0.0595629,-0.0825342,NONE,999.9,0,0
0.14673,2.45318,7.47972,0.00909062,1.46189,-0.058755,-0.0858936,NONE,999.9,0,0
0.155982,2.46816,7.47976,0.00852758,1.5345,-0.065681,-0.100787,NONE,999.9,0,0
0.166845,2.48385,7.47978,0.00781451,1.60365,-0.064764,-0.103859,NONE,999.9,0,0
0.178444,2.50022,7.47981,0.00719588,1.66951,-0.0712219,-0.118906,NONE,999.9,0,0
