t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
8.2942e-05,-75.7538,52.8958,-1.48763,0.138448,-0.0134217,-0.0018582,FRENET,0.701454,0.0184794,0.701454,0.510359,0.0184794,0.114862,0
0.00342688,-75.7538,52.8958,-1.48763,0.138448,-0.0134217,-0.0018582,FRENET,0.701454,0.0184794,0.701454,0.510359,0.0184794,0.114862,0
0.00750472,-75.7538,52.8958,-1.48763,0.138448,-0.0134217,-0.0018582,FRENET,0.701454,0.0184794,0.701454,0.510359,0.0184794,0.114862,0
0.0113459,-75.7536,52.8941,-1.4877,0.196745,-1.35024e-10,-2.65652e-11,FRENET,0.701454,0.0184794,0.701454,0.510359,0.0184794,0.114862,0
0.0153347,-75.7536,52.8941,-1.4877,0.196745,-1.35024e-10,-2.65652e-11,FRENET,0.701454,0.0184794,0.701454,0.510359,0.0184794,0.114862,0
0.0200962,-75.7534,52.8919,-1.48782,0.25227,-0.0244561,-0.00616955,FRENET,0.693187,0.0184794,0.693187,0.40369,0.0184794,0.150902,0
0.0235894,-75.7534,52.8919,-1.48782,0.25227,-0.0244561,-0.00616955,FRENET,0.693187,0.0184794,0.693187,0.40369,0.0184794,0.150902,0
0.0273656,-75.7534,52.8919,-1.48782,0.25227,-0.0244561,-0.00616955,FRENET,0.693187,0.0184794,0.693187,0.40369,0.0184794,0.150902,0
0.0312406,-75.7532,52.8891,-1.48795,0.305155,-2.57512e-10,-7.85812e-11,FRENET,0.693187,0.0184794,0.693187,0.40369,0.0184794,0.150902,0
0.0352987,-75.7532,52.8891,-1.48795,0.305155,-2.57512e-10,-7.85812e-11,FRENET,0.693187,0.0184794,0.693187,0.40369,0.0184794,0.150902,0
0.0399358,-75.7529,52.8858,-1.48811,0.355526,-0.0344661,-0.0122536,FRENET,0.693187,0.0184794,0.693187,0.40369,0.0184794,0.150902,0
0.0434188,-75.7529,52.8858,-1.48811,0.355526,-0.0344661,-0.0122536,FRENET,0.693187,0.0184794,0.693187,0.40369,0.0184794,0.150902,0
0.0472529,-75.7529,52.8858,-1.48811,0.355526,-0.0344661,-0.0122536,FRENET,0.693187,0.0184794,0.693187,0.40369,0.0184794,0.150902,0
0.0515581,-75.7526,52.8821,-1.48829,0.403501,-3.68628e-10,-1.48742e-10,FRENET,0.693187,0.0184794,0.693187,0.40369,0.0184794,0.150902,0
0.0552547,-75.7526,52.8821,-1.48829,0.403501,-3.68628e-10,-1.48742e-10,FRENET,0.693187,0.0184794,0.693187,0.40369,0.0184794,0.150902,0
0.0601026,-75.7523,52.8778,-1.4885,0.449195,-0.0435468,-0.019561,FRENET,0.693187,0.0184794,0.693187,0.40369,0.0184794,0.150902,0
0.0633281,-75.7523,52.8778,-1.4885,0.449195,-0.0435468,-0.019561,FRENET,0.693187,0.0184794,0.693187,0.40369,0.0184794,0.150902,0
0.0673124,-75.7523,52.8778,-1.4885,0.449195,-0.0435468,-0.019561,FRENET,0.693187,0.0184794,0.693187,0.40369,0.0184794,0.150902,0
0.0713614,-75.7519,52.8731,-1.48873,0.492717,-4.69429e-10,-2.31296e-10,FRENET,0.709301,0.0184794,0.709301,0.282467,0.0184794,0.188621,0
0.0756246,-75.7519,52.8731,-1.48873,0.492717,-4.69429e-10,-2.31296e-10,FRENET,0.709301,0.0184794,0.709301,0.282467,0.0184794,0.188621,0
0.0802963,-75.7515,52.868,-1.48889,0.534169,-0.0161622,-0.00863333,FRENET,0.709301,0.0184794,0.709301,0.282467,0.0184794,0.188621,0
