t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
5.9778e-05,-75.7538,52.8964,-1.48757,0.131397,0,0,FGM,0.511524,0.114711,0.526037,0.511524,0.129399,0.114711,0
0.00381122,-75.7538,52.8964,-1.48757,0.131397,0,0,FGM,0.511524,0.114711,0.526037,0.511524,0.129399,0.114711,0
0.00862561,-75.7537,52.8946,-1.48767,0.226497,-0.0219576,-0.00497333,FGM,0.511524,0.114711,0.526037,0.511524,0.129399,0.114711,0
0.0118913,-75.7537,52.8946,-1.48767,0.226497,-0.0219576,-0.00497333,FGM,0.511524,0.114711,0.526037,0.511524,0.129399,0.114711,0
0.016163,-75.7537,52.8946,-1.48767,0.226497,-0.0219576,-0.00497333,FGM,0.511524,0.114711,0.526037,0.511524,0.129399,0.114711,0
0.0201131,-75.7534,52.8919,-1.48779,0.321597,-2.14898e-10,-6.91108e-11,FGM,0.511524,0.114711,0.526037,0.511524,0.129399,0.114711,0
0.0240532,-75.7534,52.8919,-1.48779,0.321597,-2.14898e-10,-6.91108e-11,FGM,0.381037,0.158998,0.530643,0.381037,0.129399,0.158998,0
0.0287337,-75.7531,52.8882,-1.48798,0.416697,-0.0403963,-0.016833,FGM,0.381037,0.158998,0.530643,0.381037,0.129399,0.158998,0
0.0323542,-75.7531,52.8882,-1.48798,0.416697,-0.0403963,-0.016833,FGM,0.381037,0.158998,0.530643,0.381037,0.129399,0.158998,0
0.035878,-75.7531,52.8882,-1.48798,0.416697,-0.0403963,-0.016833,FGM,0.381037,0.158998,0.530643,0.381037,0.129399,0.158998,0
0.0398496,-75.7527,52.8836,-1.48819,0.511797,-0.00826541,-0.00423022,FGM,0.381037,0.158998,0.530643,0.381037,0.129399,0.158998,0
0.0440225,-75.7527,52.8836,-1.48819,0.511797,-0.00826541,-0.00423022,FGM,0.381037,0.158998,0.530643,0.381037,0.129399,0.158998,0
0.0506268,-75.7523,52.878,-1.48827,0.606897,-0.027215,-0.0165167,FGM,0.381037,0.158998,0.530643,0.381037,0.129399,0.158998,0
0.0529508,-75.7523,52.878,-1.48827,0.606897,-0.027215,-0.0165167,FGM,0.381037,0.158998,0.530643,0.381037,0.129399,0.158998,0
0.0560194,-75.7523,52.878,-1.48827,0.606897,-0.027215,-0.0165167,FGM,0.381037,0.158998,0.530643,0.381037,0.129399,0.158998,0
0.0600038,-75.7518,52.8715,-1.48856,0.701997,-0.0221431,-0.0155444,FGM,0.381037,0.158998,0.530643,0.381037,0.129399,0.158998,0
0.0641687,-75.7518,52.8715,-1.48856,0.701997,-0.0221431,-0.0155444,FGM,0.381037,0.158998,0.530643,0.381037,0.129399,0.158998,0
0.068945,-75.7512,52.864,-1.48878,0.797097,-0.034753,-0.0277015,FGM,0.381037,0.158998,0.530643,0.381037,0.129399,0.158998,0
0.0720413,-75.7512,52.864,-1.48878,0.797097,-0.034753,-0.0277015,FGM,0.148943,0.231178,0.700207,0.148943,0.0184794,0.231178,0
0.0758587,-75.7512,52.864,-1.48878,0.797097,-0.034753,-0.0277015,FGM,0.148943,0.231178,0.700207,0.148943,0.0184794,0.231178,0
0.0797827,-75.7506,52.8556,-1.48917,0.892197,-0.0324372,-0.0289404,FGM,0.148943,0.231178,0.700207,0.148943,0.0184794,0.231178,0
0.0838557,-75.7506,52.8556,-1.48917,0.892197,-0.0324372,-0.0289404,FGM,0.148943,0.231178,0.700207,0.148943,0.0184794,0.231178,0
0.0882588,-75.7499,52.8462,-1.48949,0.987297,-0.0427291,-0.0421863,FGM,0.148943,0.231178,0.700207,0.148943,0.0184794,0.231178,0
0.0919014,-75.7499,52.8462,-1.48949,0.987297,-0.0427291,-0.0421863,FGM,0.148943,0.231178,0.700207,0.148943,0.0184794,0.231178,0
0.0958595,-75.7499,52.8462,-1.48949,0.987297,-0.0427291,-0.0421863,FGM,0.148943,0.231178,0.700207,0.148943,0.0184794,0.231178,0
0.0997487,-75.7491,52.8359,-1.48997,1.0824,-0.0417209,-0.0451586,FGM,0.148943,0.231178,0.700207,0.148943,0.0184794,0.231178,0
0.103868,-75.7491,52.8359,-1.48997,1.0824,-0.0417209,-0.0451586,FGM,0.148943,0.231178,0.700207,0.148943,0.0184794,0.231178,0
0.108321,-75.7483,52.8246,-1.49022,1.1775,-0.0029371,-0.00345843,FGM,0.148943,0.231178,0.700207,0.148943,0.0184794,0.231178,0
0.112009,-75.7483,52.8246,-1.49022,1.1775,-0.0029371,-0.00345843,FGM,0.148943,0.231178,0.700207,0.148943,0.0184794,0.231178,0
0.116007,-75.7483,52.8246,-1.49022,1.1775,-0.0029371,-0.00345843,FGM,0.148943,0.231178,0.700207,0.148943,0.0184794,0.231178,0
0.120075,-75.7473,52.8124,-1.49011,1.2726,0.012099,0.0153972,FGM,0.148943,0.231178,0.700207,0.148943,0.0184794,0.231178,0
0.123735,-75.7473,52.8124,-1.49011,1.2726,0.012099,0.0153972,FGM,0,0.313245,0.696676,0,0.0184794,0.313245,0
0.128657,-75.7462,52.7992,-1.48996,1.3677,0.0288246,0.0394234,FGM,0,0.313245,0.696676,0,0.0184794,0.313245,0
0.132109,-75.7462,52.7992,-1.48996,1.3677,0.0288246,0.0394234,FGM,0,0.313245,0.696676,0,0.0184794,0.313245,0
0.135763,-75.7462,52.7992,-1.48996,1.3677,0.0288246,0.0394234,FGM,0,0.313245,0.696676,0,0.0184794,0.313245,0
0.139803,-75.745,52.7851,-1.48958,1.4628,0.0351982,0.0514879,FGM,0,0.313245,0.696676,0,0.0184794,0.313245,0
0.14387,-75.745,52.7851,-1.48958,1.4628,0.0351982,0.0514879,FGM,0,0.313245,0.696676,0,0.0184794,0.313245,0
0.148686,-75.7438,52.7701,-1.48922,1.5579,0.0463369,0.0721881,FGM,0,0.313245,0.696676,0,0.0184794,0.313245,0
0.151829,-75.7438,52.7701,-1.48922,1.5579,0.0463369,0.0721881,FGM,0,0.313245,0.696676,0,0.0184794,0.313245,0
0.156047,-75.7438,52.7701,-1.48922,1.5579,0.0463369,0.0721881,FGM,0,0.313245,0.696676,0,0.0184794,0.313245,0
0.159777,-75.7424,52.7541,-1.48869,1.653,0.0500172,0.0826783,FGM,0,0.313245,0.696676,0,0.0184794,0.313245,0
0.164345,-75.7424,52.7541,-1.48869,1.653,0.0500172,0.0826783,FGM,0,0.313245,0.696676,0,0.0184794,0.313245,0
0.168421,-75.7409,52.7371,-1.4882,1.7481,0.0585449,0.102342,FGM,0,0.313245,0.696676,0,0.0184794,0.313245,0
0.172077,-75.7409,52.7371,-1.4882,1.7481,0.0585449,0.102342,FGM,0.129389,0.269889,0.698003,0.129389,0.0184794,0.269889,0
0.175906,-75.7409,52.7371,-1.4882,1.7481,0.0585449,0.102342,FGM,0.129389,0.269889,0.698003,0.129389,0.0184794,0.269889,0
0.180021,-75.7394,52.7193,-1.48755,1.83659,0.0612847,0.112555,FGM,0.129389,0.269889,0.698003,0.129389,0.0184794,0.269889,0
0.183778,-75.7394,52.7193,-1.48755,1.83659,0.0612847,0.112555,FGM,0.129389,0.269889,0.698003,0.129389,0.0184794,0.269889,0
0.188488,-75.7377,52.7006,-1.48695,1.92088,0.0689848,0.132512,FGM,0.129389,0.269889,0.698003,0.129389,0.0184794,0.269889,0
0.191997,-75.7377,52.7006,-1.48695,1.92088,0.0689848,0.132512,FGM,0.129389,0.269889,0.698003,0.129389,0.0184794,0.269889,0
0.196355,-75.7377,52.7006,-1.48695,1.92088,0.0689848,0.132512,FGM,0.129389,0.269889,0.698003,0.129389,0.0184794,0.269889,0
0.200089,-75.7359,52.681,-1.486,2.00116,0.127319,0.254787,FGM,0.129389,0.269889,0.698003,0.129389,0.0184794,0.269889,0
0.204003,-75.7359,52.681,-1.486,2.00116,0.127319,0.254787,FGM,0.129389,0.269889,0.698003,0.129389,0.0184794,0.269889,0
