t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
7.1556e-05,-9.99874,7.475,0,0.147405,0,0,NONE,999.9,0,0

--- Experiment Summary ---
Scenario,Mux_Spielberg_WS1.0_WT1.0_WC1.0_WCL1.0_WD1.0_Opp_bumper_slow_1.csv
Mode,MUX_RACING
Finish Reason,COLLISION DETECTED
Duration (s),0.00
Total Dist (m),0.00
Max Speed (m/s),0.15
Max Lat Acc (m/s^2),0.00
Collision,YES
FRENET Usage (%),0.00
FGM Usage (%),0.00
Min Dist (m),999.90
Unsafe Time (s),0.00
Unsafe Ratio,0.00
Track Error RMS (m),0.00
Lat Acc RMS (m/s^2),0.00
