t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
9.3716e-05,-75.7538,52.8961,-1.48762,0.124307,-0.0120509,-0.00149801,NONE,999.9,0,0
0.000188481,-75.7539,52.8974,-1.48757,0,0,0,NONE,999.9,0,0
0.00226981,-75.7539,52.8974,-1.48757,0,0,0,NONE,999.9,0,0
0.00232661,-75.7539,52.8972,-1.48757,0.0360674,0,0,NONE,999.9,0,0
0.00579222,-75.7539,52.8974,-1.48757,0,0,0,NONE,999.9,0,0

--- Experiment Summary ---
Scenario,Mux_Spielberg_WS1.0_WT1.0_WC1.0_WCL1.0_WD1.0_Opp_bumper_slow_1.csv
Mode,MUX_RACING
Finish Reason,COLLISION DETECTED
Duration (s),0.01
Total Dist (m),0.00
Max Speed (m/s),0.12
Max Lat Acc (m/s^2),0.00
Collision,YES
FRENET Usage (%),0.00
FGM Usage (%),0.00
Min Dist (m),999.90
Unsafe Time (s),0.00
Unsafe Ratio,0.00
Track Error RMS (m),0.00
Lat Acc RMS (m/s^2),0.00
