t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
7.6802e-05,-75.7538,52.8964,-1.48757,0.130923,0,0,FGM,0.53415,0.110121,0
0.00309521,-75.7538,52.8964,-1.48757,0.130923,0,0,FGM,0.53415,0.110121,0
0.00701007,-75.7538,52.8964,-1.48757,0.130923,0,0,FGM,0.53415,0.110121,0
0.0110704,-75.7537,52.8946,-1.48767,0.226023,-0.0219116,-0.00495253,FGM,0.53415,0.110121,0
0.0158185,-75.7537,52.8946,-1.48767,0.226023,-0.0219116,-0.00495253,FGM,0.53415,0.110121,0
0.0198137,-75.7534,52.8919,-1.48779,0.321123,-2.14898e-10,-6.90089e-11,FGM,0.53415,0.110121,0
0.0229695,-75.7534,52.8919,-1.48779,0.321123,-2.14898e-10,-6.90089e-11,FGM,0.53415,0.110121,0
0.0269092,-75.7534,52.8919,-1.48779,0.321123,-2.14898e-10,-6.90089e-11,FGM,0.53415,0.110121,0
0.0310749,-75.7531,52.8882,-1.48798,0.416223,-0.0403504,-0.0167948,FGM,0.332064,0.171209,0
0.0351711,-75.7531,52.8882,-1.48798,0.416223,-0.0403504,-0.0167948,FGM,0.332064,0.171209,0
0.0396979,-75.7528,52.8836,-1.48819,0.511323,-0.00825776,-0.00422238,FGM,0.332064,0.171209,0
0.0430966,-75.7528,52.8836,-1.48819,0.511323,-0.00825776,-0.00422238,FGM,0.332064,0.171209,0
0.0472547,-75.7528,52.8836,-1.48819,0.511323,-0.00825776,-0.00422238,FGM,0.332064,0.171209,0
0.0511722,-75.7523,52.878,-1.48827,0.606423,-0.0272249,-0.0165098,FGM,0.332064,0.171209,0
0.0551366,-75.7523,52.878,-1.48827,0.606423,-0.0272249,-0.0165098,FGM,0.332064,0.171209,0
0.0597516,-75.7518,52.8715,-1.48856,0.701523,-0.0221377,-0.0155301,FGM,0.332064,0.171209,0
0.0631542,-75.7518,52.8715,-1.48856,0.701523,-0.0221377,-0.0155301,FGM,0.332064,0.171209,0
0.0671454,-75.7518,52.8715,-1.48856,0.701523,-0.0221377,-0.0155301,FGM,0.332064,0.171209,0
0.0711098,-75.7512,52.864,-1.48878,0.796623,-0.0347467,-0.0276801,FGM,0.332064,0.171209,0
0.0750672,-75.7512,52.864,-1.48878,0.796623,-0.0347467,-0.0276801,FGM,0.332064,0.171209,0
0.0800384,-75.7506,52.8556,-1.48917,0.891723,-0.0324219,-0.0289114,FGM,0.0939398,0.25301,0
