t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
0.000100045,-75.7538,52.8964,-1.48757,0.131597,0,0,FGM,0.509262,0.116284,0
0.00273714,-75.7538,52.8964,-1.48757,0.131597,0,0,FGM,0.509262,0.116284,0
0.00672873,-75.7538,52.8964,-1.48757,0.131597,0,0,FGM,0.509262,0.116284,0
0.0108761,-75.7537,52.8946,-1.48767,0.226697,-0.0219769,-0.0049821,FGM,0.509262,0.116284,0
0.0149192,-75.7537,52.8946,-1.48767,0.226697,-0.0219769,-0.0049821,FGM,0.509262,0.116284,0
0.0194859,-75.7534,52.8919,-1.48779,0.321797,-2.14898e-10,-6.91537e-11,FGM,0.509262,0.116284,0
0.0229468,-75.7534,52.8919,-1.48779,0.321797,-2.14898e-10,-6.91537e-11,FGM,0.509262,0.116284,0
0.0271512,-75.7534,52.8919,-1.48779,0.321797,-2.14898e-10,-6.91537e-11,FGM,0.509262,0.116284,0
0.0308489,-75.7531,52.8882,-1.48798,0.416897,-0.0404157,-0.0168492,FGM,0.354786,0.166941,0
0.0350779,-75.7531,52.8882,-1.48798,0.416897,-0.0404157,-0.0168492,FGM,0.354786,0.166941,0
0.0394883,-75.7527,52.8836,-1.48819,0.511997,-0.00826864,-0.00423352,FGM,0.354786,0.166941,0
0.042689,-75.7527,52.8836,-1.48819,0.511997,-0.00826864,-0.00423352,FGM,0.354786,0.166941,0
0.0470268,-75.7527,52.8836,-1.48819,0.511997,-0.00826864,-0.00423352,FGM,0.354786,0.166941,0
0.0509034,-75.7523,52.878,-1.48827,0.607097,-0.0272109,-0.0165196,FGM,0.354786,0.166941,0
0.0549815,-75.7523,52.878,-1.48827,0.607097,-0.0272109,-0.0165196,FGM,0.354786,0.166941,0
0.0598746,-75.7518,52.8714,-1.48856,0.702197,-0.0221454,-0.0155504,FGM,0.354786,0.166941,0
0.0631072,-75.7518,52.8714,-1.48856,0.702197,-0.0221454,-0.0155504,FGM,0.354786,0.166941,0
0.0671327,-75.7518,52.8714,-1.48856,0.702197,-0.0221454,-0.0155504,FGM,0.354786,0.166941,0
0.0709612,-75.7512,52.864,-1.48878,0.797297,-0.0347557,-0.0277106,FGM,0.354786,0.166941,0
0.0747532,-75.7512,52.864,-1.48878,0.797297,-0.0347557,-0.0277106,FGM,0.354786,0.166941,0
0.0795792,-75.7506,52.8555,-1.48917,0.892397,-0.0324436,-0.0289526,FGM,0.354786,0.166941,0
0.0835235,-75.7506,52.8555,-1.48917,0.892397,-0.0324436,-0.0289526,FGM,0.0860491,0.254132,0
0.0868837,-75.7506,52.8555,-1.48917,0.892397,-0.0324436,-0.0289526,FGM,0.0860491,0.254132,0
0.0910016,-75.7499,52.8462,-1.48949,0.987497,-0.0427343,-0.0422,FGM,0.0860491,0.254132,0
0.0950389,-75.7499,52.8462,-1.48949,0.987497,-0.0427343,-0.0422,FGM,0.0860491,0.254132,0
0.0997577,-75.7491,52.8359,-1.48997,1.0826,-0.0417278,-0.0451744,FGM,0.0860491,0.254132,0
0.102839,-75.7491,52.8359,-1.48997,1.0826,-0.0417278,-0.0451744,FGM,0.0860491,0.254132,0
