t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
6.4238e-05,-75.7538,52.8958,-1.48763,0.138448,-0.0134217,-0.0018582,FRENET,0.521426,0.129399,0
0.00310867,-75.7538,52.8958,-1.48763,0.138448,-0.0134217,-0.0018582,FRENET,0.521426,0.129399,0
0.00742727,-75.7538,52.8958,-1.48763,0.138448,-0.0134217,-0.0018582,FRENET,0.521426,0.129399,0
0.0109364,-75.7536,52.8941,-1.48788,0.196745,-0.0381856,-0.00751283,FRENET,0.521426,0.129399,0
0.015051,-75.7536,52.8941,-1.48788,0.196745,-0.0381856,-0.00751283,FRENET,0.526613,0.129399,0
0.0195741,-75.7534,52.8919,-1.4882,0.25227,-0.0244561,-0.00616955,FRENET,0.526613,0.129399,0
0.0232742,-75.7534,52.8919,-1.4882,0.25227,-0.0244561,-0.00616955,FRENET,0.526613,0.129399,0
0.0270363,-75.7534,52.8919,-1.4882,0.25227,-0.0244561,-0.00616955,FRENET,0.526613,0.129399,0
0.0312259,-75.7532,52.8891,-1.48861,0.305155,-0.0592267,-0.0180734,FRENET,0.526613,0.129399,0
0.035194,-75.7532,52.8891,-1.48861,0.305155,-0.0592267,-0.0180734,FRENET,0.526613,0.129399,0
0.0404537,-75.7529,52.8858,-1.48909,0.355526,-0.0344661,-0.0122536,FRENET,0.526613,0.129399,0
0.042867,-75.7529,52.8858,-1.48909,0.355526,-0.0344661,-0.0122536,FRENET,0.526613,0.129399,0
0.0467837,-75.7529,52.8858,-1.48909,0.355526,-0.0344661,-0.0122536,FRENET,0.526613,0.129399,0
0.0508169,-75.7526,52.8821,-1.48964,0.403501,-0.0783144,-0.0315999,FRENET,0.526613,0.129399,0
0.0553139,-75.7526,52.8821,-1.48964,0.403501,-0.0783144,-0.0315999,FRENET,0.526613,0.129399,0
0.0601663,-75.7523,52.8778,-1.49026,0.449195,-0.0435468,-0.019561,FRENET,0.526613,0.129399,0
0.0628955,-75.7523,52.8778,-1.49026,0.449195,-0.0435468,-0.019561,FRENET,0.528395,0.129399,0
0.0671451,-75.7523,52.8778,-1.49026,0.449195,-0.0435468,-0.019561,FRENET,0.528395,0.129399,0
0.0712927,-75.7519,52.8731,-1.49095,0.492717,-0.0956299,-0.0471185,FRENET,0.528395,0.129399,0
0.0753325,-75.7519,52.8731,-1.49095,0.492717,-0.0956299,-0.0471185,FRENET,0.528395,0.129399,0
0.0795697,-75.7515,52.868,-1.49173,0.534169,-0.0563511,-0.030101,FRENET,0.528395,0.129399,0
0.0830684,-75.7515,52.868,-1.49173,0.534169,-0.0563511,-0.030101,FRENET,0.528395,0.129399,0
0.0869366,-75.7515,52.868,-1.49173,0.534169,-0.0563511,-0.030101,FRENET,0.528395,0.129399,0
0.091206,-75.7512,52.8625,-1.49232,0.57365,-0.0852451,-0.0489008,FRENET,0.528395,0.129399,0
0.0953826,-75.7512,52.8625,-1.49232,0.57365,-0.0852451,-0.0489008,FRENET,0.528395,0.129399,0
0.100313,-75.7509,52.8565,-1.49321,0.623141,-0.0765832,-0.0477221,FRENET,0.528395,0.129399,0
0.103206,-75.7509,52.8565,-1.49321,0.623141,-0.0765832,-0.0477221,FRENET,0.528395,0.129399,0
0.107273,-75.7509,52.8565,-1.49321,0.623141,-0.0765832,-0.0477221,FRENET,0.528395,0.129399,0
0.11095,-75.7505,52.85,-1.49399,0.670278,-0.0980636,-0.0657299,FRENET,0.528395,0.129399,0
0.114912,-75.7505,52.85,-1.49399,0.670278,-0.0980636,-0.0657299,FRENET,0.518021,0.129399,0
0.119778,-75.7501,52.8431,-1.49502,0.715175,-0.0913271,-0.0653148,FRENET,0.518021,0.129399,0
0.123396,-75.7501,52.8431,-1.49502,0.715175,-0.0913271,-0.0653148,FRENET,0.518021,0.129399,0
0.127088,-75.7501,52.8431,-1.49502,0.715175,-0.0913271,-0.0653148,FRENET,0.518021,0.129399,0
0.13128,-75.7497,52.8358,-1.49576,0.757936,-0.0508645,-0.038552,FRENET,0.518021,0.129399,0
0.135013,-75.7497,52.8358,-1.49576,0.757936,-0.0508645,-0.038552,FRENET,0.518021,0.129399,0
0.140182,-75.7492,52.828,-1.496,0.798665,0.00745411,0.00595333,FRENET,0.518021,0.129399,0
0.143199,-75.7492,52.828,-1.496,0.798665,0.00745411,0.00595333,FRENET,0.518021,0.129399,0
0.146997,-75.7492,52.828,-1.496,0.798665,0.00745411,0.00595333,FRENET,0.518021,0.129399,0
0.15095,-75.7486,52.8198,-1.49558,0.837456,0.0773955,0.0648154,FRENET,0.518021,0.129399,0
0.155234,-75.7486,52.8198,-1.49558,0.837456,0.0773955,0.0648154,FRENET,0.518021,0.129399,0
0.160023,-75.7478,52.8113,-1.49462,0.874403,0.093966,0.0821642,FRENET,0.518021,0.129399,0
0.163489,-75.7478,52.8113,-1.49462,0.874403,0.093966,0.0821642,FRENET,0.519818,0.129399,0
0.167147,-75.7478,52.8113,-1.49462,0.874403,0.093966,0.0821642,FRENET,0.519818,0.129399,0
0.171108,-75.747,52.8024,-1.49363,0.909593,0.118734,0.107999,FRENET,0.519818,0.129399,0
0.175306,-75.747,52.8024,-1.49363,0.909593,0.118734,0.107999,FRENET,0.519818,0.129399,0
0.179705,-75.7461,52.7932,-1.49236,0.94311,0.119123,0.112346,FRENET,0.519818,0.129399,0
0.183028,-75.7461,52.7932,-1.49236,0.94311,0.119123,0.112346,FRENET,0.519818,0.129399,0
0.186854,-75.7461,52.7932,-1.49236,0.94311,0.119123,0.112346,FRENET,0.519818,0.129399,0
0.191415,-75.7452,52.7837,-1.49116,0.975034,0.135469,0.132087,FRENET,0.519818,0.129399,0
0.195174,-75.7452,52.7837,-1.49116,0.975034,0.135469,0.132087,FRENET,0.519818,0.129399,0
0.199918,-75.7442,52.7738,-1.48974,1.00544,0.13257,0.133291,FRENET,0.519818,0.129399,0
0.203448,-75.7442,52.7738,-1.48974,1.00544,0.13257,0.133291,FRENET,0.519818,0.129399,0
0.207461,-75.7442,52.7738,-1.48974,1.00544,0.13257,0.133291,FRENET,0.519818,0.129399,0
0.210913,-75.7431,52.7637,-1.48843,1.0344,0.146106,0.151132,FRENET,0.519818,0.129399,0
0.214919,-75.7431,52.7637,-1.48843,1.0344,0.146106,0.151132,FRENET,0.522064,0.129399,0
0.219882,-75.742,52.7532,-1.4869,1.06198,0.142285,0.151104,FRENET,0.522064,0.129399,0
0.22367,-75.742,52.7532,-1.4869,1.06198,0.142285,0.151104,FRENET,0.522064,0.129399,0
0.227221,-75.742,52.7532,-1.4869,1.06198,0.142285,0.151104,FRENET,0.522064,0.129399,0
0.231116,-75.7409,52.7425,-1.4855,1.08825,0.154442,0.168072,FRENET,0.522064,0.129399,0
0.23497,-75.7409,52.7425,-1.4855,1.08825,0.154442,0.168072,FRENET,0.522064,0.129399,0
0.240136,-75.7397,52.7316,-1.4839,1.11327,0.150305,0.167331,FRENET,0.522064,0.129399,0
