t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
8.6384e-05,-75.7538,52.8958,-1.48763,0.138448,-0.0134217,-0.0018582,FRENET,0.708779,0.0184794,0
0.00314693,-75.7538,52.8958,-1.48763,0.138448,-0.0134217,-0.0018582,FRENET,0.708779,0.0184794,0
0.00776919,-75.7538,52.8958,-1.48763,0.138448,-0.0134217,-0.0018582,FRENET,0.708779,0.0184794,0
0.011198,-75.7536,52.8941,-1.4877,0.196745,-1.35024e-10,-2.65652e-11,FRENET,0.708779,0.0184794,0
0.0152861,-75.7536,52.8941,-1.4877,0.196745,-1.35024e-10,-2.65652e-11,FRENET,0.708779,0.0184794,0
0.0202267,-75.7534,52.8919,-1.48782,0.25227,-0.0244561,-0.00616955,FRENET,0.708779,0.0184794,0
0.0238531,-75.7534,52.8919,-1.48782,0.25227,-0.0244561,-0.00616955,FRENET,0.691928,0.0184794,0
0.0271732,-75.7534,52.8919,-1.48782,0.25227,-0.0244561,-0.00616955,FRENET,0.691928,0.0184794,0
0.0312512,-75.7532,52.8891,-1.48795,0.305155,-2.57512e-10,-7.85812e-11,FRENET,0.691928,0.0184794,0
0.0355101,-75.7532,52.8891,-1.48795,0.305155,-2.57512e-10,-7.85812e-11,FRENET,0.691928,0.0184794,0
0.0397893,-75.7529,52.8858,-1.48811,0.355526,-0.0344661,-0.0122536,FRENET,0.691928,0.0184794,0
0.0434194,-75.7529,52.8858,-1.48811,0.355526,-0.0344661,-0.0122536,FRENET,0.691928,0.0184794,0
0.0472393,-75.7529,52.8858,-1.48811,0.355526,-0.0344661,-0.0122536,FRENET,0.691928,0.0184794,0
0.0513891,-75.7526,52.8821,-1.48829,0.403501,-3.68628e-10,-1.48742e-10,FRENET,0.691928,0.0184794,0
0.0556684,-75.7526,52.8821,-1.48829,0.403501,-3.68628e-10,-1.48742e-10,FRENET,0.691928,0.0184794,0
0.0604596,-75.7523,52.8778,-1.4885,0.449195,-0.0435468,-0.019561,FRENET,0.691928,0.0184794,0
0.0633136,-75.7523,52.8778,-1.4885,0.449195,-0.0435468,-0.019561,FRENET,0.691928,0.0184794,0
0.0671525,-75.7523,52.8778,-1.4885,0.449195,-0.0435468,-0.019561,FRENET,0.691928,0.0184794,0
0.0711942,-75.7519,52.8731,-1.48873,0.492717,-4.69429e-10,-2.31296e-10,FRENET,0.691928,0.0184794,0
0.0765601,-75.7519,52.8731,-1.48873,0.492717,-4.69429e-10,-2.31296e-10,FRENET,0.704337,0.0184794,0
0.0799914,-75.7515,52.868,-1.48889,0.534169,-0.0161622,-0.00863333,FRENET,0.704337,0.0184794,0
0.0832333,-75.7515,52.868,-1.48889,0.534169,-0.0161622,-0.00863333,FRENET,0.704337,0.0184794,0
0.0873868,-75.7515,52.868,-1.48889,0.534169,-0.0161622,-0.00863333,FRENET,0.704337,0.0184794,0
0.0917417,-75.7511,52.8624,-1.48918,0.585537,-0.0111331,-0.00651887,FRENET,0.704337,0.0184794,0
0.0964186,-75.7511,52.8624,-1.48918,0.585537,-0.0111331,-0.00651887,FRENET,0.704337,0.0184794,0
0.100227,-75.7506,52.8563,-1.48934,0.634463,-0.0336002,-0.0213181,FRENET,0.704337,0.0184794,0
0.103294,-75.7506,52.8563,-1.48934,0.634463,-0.0336002,-0.0213181,FRENET,0.704337,0.0184794,0
0.107757,-75.7506,52.8563,-1.48934,0.634463,-0.0336002,-0.0213181,FRENET,0.704337,0.0184794,0
0.113416,-75.7501,52.8498,-1.48971,0.681062,-0.0233256,-0.0158862,FRENET,0.704337,0.0184794,0
0.115285,-75.7501,52.8498,-1.48971,0.681062,-0.0233256,-0.0158862,FRENET,0.704337,0.0184794,0
0.120433,-75.7496,52.8428,-1.48977,0.725446,0.0191226,0.0138724,FRENET,0.704337,0.0184794,0
0.123209,-75.7496,52.8428,-1.48977,0.725446,0.0191226,0.0138724,FRENET,0.703561,0.0184794,0
0.127547,-75.7496,52.8428,-1.48977,0.725446,0.0191226,0.0138724,FRENET,0.703561,0.0184794,0
0.131246,-75.7489,52.8353,-1.48929,0.767719,0.0790706,0.060704,FRENET,0.703561,0.0184794,0
0.135159,-75.7489,52.8353,-1.48929,0.767719,0.0790706,0.060704,FRENET,0.703561,0.0184794,0
0.13996,-75.7482,52.8275,-1.48834,0.807982,0.0900358,0.0727473,FRENET,0.703561,0.0184794,0
0.143298,-75.7482,52.8275,-1.48834,0.807982,0.0900358,0.0727473,FRENET,0.703561,0.0184794,0
0.147242,-75.7482,52.8275,-1.48834,0.807982,0.0900358,0.0727473,FRENET,0.703561,0.0184794,0
0.151299,-75.7473,52.8192,-1.4874,0.846331,0.113663,0.0961962,FRENET,0.703561,0.0184794,0
0.155389,-75.7473,52.8192,-1.4874,0.846331,0.113663,0.0961962,FRENET,0.703561,0.0184794,0
0.160192,-75.7464,52.8106,-1.48619,0.882856,0.11233,0.0991715,FRENET,0.703561,0.0184794,0
0.163328,-75.7464,52.8106,-1.48619,0.882856,0.11233,0.0991715,FRENET,0.703561,0.0184794,0
0.167184,-75.7464,52.8106,-1.48619,0.882856,0.11233,0.0991715,FRENET,0.703561,0.0184794,0
0.171953,-75.7455,52.8017,-1.48506,0.917644,0.128928,0.11831,FRENET,0.527475,0.129399,0
0.17577,-75.7455,52.8017,-1.48506,0.917644,0.128928,0.11831,FRENET,0.527475,0.129399,0
0.180281,-75.7445,52.7924,-1.48371,0.950778,0.125365,0.119194,FRENET,0.527475,0.129399,0
0.183313,-75.7445,52.7924,-1.48371,0.950778,0.125365,0.119194,FRENET,0.527475,0.129399,0
0.18733,-75.7445,52.7924,-1.48371,0.950778,0.125365,0.119194,FRENET,0.527475,0.129399,0
0.192334,-75.7434,52.7828,-1.48246,0.982337,0.139447,0.136984,FRENET,0.527475,0.129399,0
0.195277,-75.7434,52.7828,-1.48246,0.982337,0.139447,0.136984,FRENET,0.527475,0.129399,0
0.200259,-75.7423,52.7729,-1.48101,1.01239,0.13536,0.137037,FRENET,0.527475,0.129399,0
0.203267,-75.7423,52.7729,-1.48101,1.01239,0.13536,0.137037,FRENET,0.527475,0.129399,0
0.207452,-75.7423,52.7729,-1.48101,1.01239,0.13536,0.137037,FRENET,0.527475,0.129399,0
0.211352,-75.7412,52.7627,-1.47967,1.04102,0.148094,0.154169,FRENET,0.527475,0.129399,0
0.215453,-75.7412,52.7627,-1.47967,1.04102,0.148094,0.154169,FRENET,0.527475,0.129399,0
0.220038,-75.74,52.7522,-1.47813,1.06829,0.143863,0.153688,FRENET,0.527475,0.129399,0
0.223375,-75.74,52.7522,-1.47813,1.06829,0.143863,0.153688,FRENET,0.510973,0.129399,0
0.227372,-75.74,52.7522,-1.47813,1.06829,0.143863,0.153688,FRENET,0.510973,0.129399,0
0.231072,-75.7387,52.7415,-1.47671,1.09426,0.155685,0.170361,FRENET,0.510973,0.129399,0
0.235193,-75.7387,52.7415,-1.47671,1.09426,0.155685,0.170361,FRENET,0.510973,0.129399,0
0.240186,-75.7374,52.7305,-1.47509,1.119,0.151396,0.169411,FRENET,0.510973,0.129399,0
0.243362,-75.7374,52.7305,-1.47509,1.119,0.151396,0.169411,FRENET,0.510973,0.129399,0
0.247449,-75.7374,52.7305,-1.47509,1.119,0.151396,0.169411,FRENET,0.510973,0.129399,0
0.251356,-75.7361,52.7192,-1.47361,1.14256,0.162518,0.185686,FRENET,0.510973,0.129399,0
0.255651,-75.7361,52.7192,-1.47361,1.14256,0.162518,0.185686,FRENET,0.510973,0.129399,0
