t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.00119495,-75.7538,52.8964,-1.48757,0.131383,0,0,FGM,0.522104,0.112169,0.701631,0.522104,0.0184794,0.112169,0
0.0054824,-75.7538,52.8964,-1.48757,0.131383,0,0,FGM,0.522104,0.112169,0.701631,0.522104,0.0184794,0.112169,0
0.0149411,-75.7537,52.8946,-1.48767,0.226483,-0.0219562,-0.0049727,FGM,0.522104,0.112169,0.701631,0.522104,0.0184794,0.112169,0
0.0184236,-75.7534,52.8919,-1.48779,0.321583,-2.14898e-10,-6.91077e-11,FGM,0.522104,0.112169,0.701631,0.522104,0.0184794,0.112169,0
0.0285207,-75.7534,52.8919,-1.48779,0.321583,-2.14898e-10,-6.91077e-11,FGM,0.450743,0.13962,0.6986,0.450743,0.0184794,0.13962,0
0.0317812,-75.7531,52.8882,-1.48798,0.416683,-0.0403949,-0.0168319,FGM,0.450743,0.13962,0.6986,0.450743,0.0184794,0.13962,0
0.0407646,-75.7528,52.8836,-1.48819,0.511783,-0.00826518,-0.00422998,FGM,0.450743,0.13962,0.6986,0.450743,0.0184794,0.13962,0
0.0469657,-75.7528,52.8836,-1.48819,0.511783,-0.00826518,-0.00422998,FGM,0.450743,0.13962,0.6986,0.450743,0.0184794,0.13962,0
0.0543418,-75.7523,52.878,-1.48827,0.606883,-0.0272153,-0.0165165,FGM,0.450743,0.13962,0.6986,0.450743,0.0184794,0.13962,0
0.0543826,-75.7523,52.878,-1.48827,0.606883,-0.0272153,-0.0165165,FGM,0.450743,0.13962,0.6986,0.450743,0.0184794,0.13962,0
0.0567881,-75.7518,52.8715,-1.48856,0.701983,-0.0221429,-0.0155439,FGM,0.450743,0.13962,0.6986,0.450743,0.0184794,0.13962,0
0.0596375,-75.7518,52.8715,-1.48856,0.701983,-0.0221429,-0.0155439,FGM,0.450743,0.13962,0.6986,0.450743,0.0184794,0.13962,0
0.0780001,-75.7518,52.8715,-1.48856,0.701983,-0.0221429,-0.0155439,FGM,0.450743,0.13962,0.6986,0.450743,0.0184794,0.13962,0
0.0782043,-75.7512,52.864,-1.48878,0.797083,-0.0347528,-0.0277009,FGM,0.136713,0.237897,0.69618,0.136713,0.0184794,0.237897,0
0.078248,-75.7512,52.864,-1.48878,0.797083,-0.0347528,-0.0277009,FGM,0.136713,0.237897,0.69618,0.136713,0.0184794,0.237897,0
0.0782753,-75.7506,52.8556,-1.48917,0.892183,-0.0324367,-0.0289395,FGM,0.136713,0.237897,0.69618,0.136713,0.0184794,0.237897,0
0.0811725,-75.7506,52.8556,-1.48917,0.892183,-0.0324367,-0.0289395,FGM,0.136713,0.237897,0.69618,0.136713,0.0184794,0.237897,0
0.0866,-75.7506,52.8556,-1.48917,0.892183,-0.0324367,-0.0289395,FGM,0.136713,0.237897,0.69618,0.136713,0.0184794,0.237897,0
0.0933826,-75.7499,52.8462,-1.48949,0.987283,-0.0427287,-0.0421853,FGM,0.136713,0.237897,0.69618,0.136713,0.0184794,0.237897,0
0.0971027,-75.7491,52.8359,-1.48997,1.08238,-0.0417204,-0.0451575,FGM,0.136713,0.237897,0.69618,0.136713,0.0184794,0.237897,0
0.1076,-75.7491,52.8359,-1.48997,1.08238,-0.0417204,-0.0451575,FGM,0.136713,0.237897,0.69618,0.136713,0.0184794,0.237897,0
0.107675,-75.7483,52.8246,-1.49037,1.17748,-0.0502454,-0.0591631,FGM,0.136713,0.237897,0.69618,0.136713,0.0184794,0.237897,0
0.108952,-75.7483,52.8246,-1.49037,1.17748,-0.0502454,-0.0591631,FGM,0.136713,0.237897,0.69618,0.136713,0.0184794,0.237897,0
0.114939,-75.7483,52.8246,-1.49037,1.17748,-0.0502454,-0.0591631,FGM,0.136713,0.237897,0.69618,0.136713,0.0184794,0.237897,0
0.122228,-75.7474,52.8124,-1.49093,1.27258,-0.0498799,-0.0634763,FGM,0.136713,0.237897,0.69618,0.136713,0.0184794,0.237897,0
0.122294,-75.7474,52.8124,-1.49093,1.27258,-0.0498799,-0.0634763,FGM,0.136713,0.237897,0.69618,0.136713,0.0184794,0.237897,0
0.128875,-75.7464,52.7992,-1.49141,1.36768,-0.0572362,-0.0782809,FGM,0,0.318451,0.698493,0,0.0184794,0.318451,0
0.137108,-75.7464,52.7992,-1.49141,1.36768,-0.0572362,-0.0782809,FGM,0,0.318451,0.698493,0,0.0184794,0.318451,0
0.141815,-75.7454,52.7851,-1.49204,1.46278,-0.0572328,-0.0837192,FGM,0,0.318451,0.698493,0,0.0184794,0.318451,0
0.14446,-75.7454,52.7851,-1.49204,1.46278,-0.0572328,-0.0837192,FGM,0,0.318451,0.698493,0,0.0184794,0.318451,0
0.147803,-75.7443,52.77,-1.49259,1.55788,-0.0637423,-0.0993031,FGM,0,0.318451,0.698493,0,0.0184794,0.318451,0
0.152607,-75.7443,52.77,-1.49259,1.55788,-0.0637423,-0.0993031,FGM,0,0.318451,0.698493,0,0.0184794,0.318451,0
0.158458,-75.7432,52.754,-1.49328,1.65298,-0.0639334,-0.105681,FGM,0,0.318451,0.698493,0,0.0184794,0.318451,0
0.162921,-75.7432,52.754,-1.49328,1.65298,-0.0639334,-0.105681,FGM,0,0.318451,0.698493,0,0.0184794,0.318451,0
0.163327,-75.7432,52.754,-1.49328,1.65298,-0.0639334,-0.105681,FGM,0,0.318451,0.698493,0,0.0184794,0.318451,0
0.169553,-75.7419,52.7371,-1.49373,1.74808,-0.0195561,-0.0341857,FGM,0,0.318451,0.698493,0,0.0184794,0.318451,0
0.173331,-75.7419,52.7371,-1.49373,1.74808,-0.0195561,-0.0341857,FGM,0,0.318451,0.698493,0,0.0184794,0.318451,0
0.177002,-75.7406,52.7192,-1.49374,1.84057,0.00438547,0.00807175,FGM,0.239413,0.228777,0.709198,0.239413,0.0184794,0.228777,0
0.180023,-75.7406,52.7192,-1.49374,1.84057,0.00438547,0.00807175,FGM,0.239413,0.228777,0.709198,0.239413,0.0184794,0.228777,0
