t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
8.7188e-05,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.67856,0.0522951,1.24581,1.67856,0.0217868,0.0522951,0
0.00343625,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.67856,0.0522951,1.24581,1.67856,0.0217868,0.0522951,0
0.0077102,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.67856,0.0522951,1.24581,1.67856,0.0217868,0.0522951,0
0.0114855,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.67856,0.0522951,1.24581,1.67856,0.0217868,0.0522951,0
0.0155126,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.67856,0.0522951,1.24581,1.67856,0.0217868,0.0522951,0
0.0200712,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.67856,0.0522951,1.24581,1.67856,0.0217868,0.0522951,0
0.0235344,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.67856,0.0522951,1.24581,1.67856,0.0217868,0.0522951,0
0.0275462,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.67856,0.0522951,1.24581,1.67856,0.0217868,0.0522951,0
0.0315529,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.67856,0.0522951,1.24581,1.67856,0.0217868,0.0522951,0
0.0355693,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.62188,0.0705813,1.24697,1.62188,0.0217868,0.0705813,0
0.0399989,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.62188,0.0705813,1.24697,1.62188,0.0217868,0.0705813,0
0.0436812,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.62188,0.0705813,1.24697,1.62188,0.0217868,0.0705813,0
0.0474737,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.62188,0.0705813,1.24697,1.62188,0.0217868,0.0705813,0
0.0514941,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.62188,0.0705813,1.24697,1.62188,0.0217868,0.0705813,0
0.0554203,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.62188,0.0705813,1.24697,1.62188,0.0217868,0.0705813,0
0.0599169,44.4801,29.3674,2.41802,0.707544,0.090806,0.0642492,FGM,1.62188,0.0705813,1.24697,1.62188,0.0217868,0.0705813,0
0.0634246,44.4801,29.3674,2.41802,0.707544,0.090806,0.0642492,FGM,1.62188,0.0705813,1.24697,1.62188,0.0217868,0.0705813,0
0.0674321,44.4801,29.3674,2.41802,0.707544,0.090806,0.0642492,FGM,1.62188,0.0705813,1.24697,1.62188,0.0217868,0.0705813,0
0.0715008,44.4743,29.3723,2.41898,0.802644,0.0936975,0.0752058,FGM,1.62188,0.0705813,1.24697,1.62188,0.0217868,0.0705813,0
0.0754201,44.4743,29.3723,2.41898,0.802644,0.0936975,0.0752058,FGM,1.62188,0.0705813,1.24697,1.62188,0.0217868,0.0705813,0
0.0799832,44.4679,29.3778,2.41981,0.897744,0.0675798,0.0606694,FGM,1.62188,0.0705813,1.24697,1.62188,0.0217868,0.0705813,0
0.0836822,44.4679,29.3778,2.41981,0.897744,0.0675798,0.0606694,FGM,1.52198,0.0790972,1.24585,1.52198,0.0217868,0.0790972,0
0.0874762,44.4679,29.3778,2.41981,0.897744,0.0675798,0.0606694,FGM,1.52198,0.0790972,1.24585,1.52198,0.0217868,0.0790972,0
0.0916141,44.4607,29.3839,2.42042,0.992844,0.0664566,0.0659811,FGM,1.52198,0.0790972,1.24585,1.52198,0.0217868,0.0790972,0
0.0955393,44.4607,29.3839,2.42042,0.992844,0.0664566,0.0659811,FGM,1.52198,0.0790972,1.24585,1.52198,0.0217868,0.0790972,0
0.100087,44.4528,29.3907,2.4211,1.08794,0.0589559,0.0641407,FGM,1.52198,0.0790972,1.24585,1.52198,0.0217868,0.0790972,0
0.10358,44.4528,29.3907,2.4211,1.08794,0.0589559,0.0641407,FGM,1.52198,0.0790972,1.24585,1.52198,0.0217868,0.0790972,0
0.107395,44.4528,29.3907,2.4211,1.08794,0.0589559,0.0641407,FGM,1.52198,0.0790972,1.24585,1.52198,0.0217868,0.0790972,0
0.111524,44.4442,29.3981,2.42166,1.18304,0.0631954,0.0747629,FGM,1.52198,0.0790972,1.24585,1.52198,0.0217868,0.0790972,0
0.115471,44.4442,29.3981,2.42166,1.18304,0.0631954,0.0747629,FGM,1.52198,0.0790972,1.24585,1.52198,0.0217868,0.0790972,0
0.119928,44.4348,29.4061,2.42232,1.27814,0.0598798,0.076535,FGM,1.52198,0.0790972,1.24585,1.52198,0.0217868,0.0790972,0
0.123453,44.4348,29.4061,2.42232,1.27814,0.0598798,0.076535,FGM,1.52198,0.0790972,1.24585,1.52198,0.0217868,0.0790972,0
0.127461,44.4348,29.4061,2.42232,1.27814,0.0598798,0.076535,FGM,1.52198,0.0790972,1.24585,1.52198,0.0217868,0.0790972,0
0.131471,44.4248,29.4148,2.4229,1.37324,0.0650537,0.0893345,FGM,1.52198,0.0790972,1.24585,1.52198,0.0217868,0.0790972,0
0.135407,44.4248,29.4148,2.4229,1.37324,0.0650537,0.0893345,FGM,1.40568,0.091074,1.25593,1.40568,0.0217868,0.091074,0
0.140181,44.414,29.4241,2.42359,1.46834,0.0634513,0.0931683,FGM,1.40568,0.091074,1.25593,1.40568,0.0217868,0.091074,0
0.143552,44.414,29.4241,2.42359,1.46834,0.0634513,0.0931683,FGM,1.40568,0.091074,1.25593,1.40568,0.0217868,0.091074,0
0.147413,44.414,29.4241,2.42359,1.46834,0.0634513,0.0931683,FGM,1.40568,0.091074,1.25593,1.40568,0.0217868,0.091074,0
0.151493,44.4025,29.4339,2.4242,1.56344,0.0687177,0.107436,FGM,1.40568,0.091074,1.25593,1.40568,0.0217868,0.091074,0
0.155548,44.4025,29.4339,2.4242,1.56344,0.0687177,0.107436,FGM,1.40568,0.091074,1.25593,1.40568,0.0217868,0.091074,0
0.160033,44.3903,29.4444,2.42493,1.65854,0.06797,0.112731,FGM,1.40568,0.091074,1.25593,1.40568,0.0217868,0.091074,0
0.163503,44.3903,29.4444,2.42493,1.65854,0.06797,0.112731,FGM,1.40568,0.091074,1.25593,1.40568,0.0217868,0.091074,0
0.167416,44.3903,29.4444,2.42493,1.65854,0.06797,0.112731,FGM,1.40568,0.091074,1.25593,1.40568,0.0217868,0.091074,0
0.17146,44.3774,29.4556,2.42559,1.75364,0.0730508,0.128105,FGM,1.40568,0.091074,1.25593,1.40568,0.0217868,0.091074,0
0.175464,44.3774,29.4556,2.42559,1.75364,0.0730508,0.128105,FGM,1.40568,0.091074,1.25593,1.40568,0.0217868,0.091074,0
