t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
5.6938e-05,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.67064,0.0593669,1.24338,1.67064,0.0217868,0.0593669,0
0.00386601,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.67064,0.0593669,1.24338,1.67064,0.0217868,0.0593669,0
0.0085211,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.67064,0.0593669,1.24338,1.67064,0.0217868,0.0593669,0
0.0118499,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.67064,0.0593669,1.24338,1.67064,0.0217868,0.0593669,0
0.0161077,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.67064,0.0593669,1.24338,1.67064,0.0217868,0.0593669,0
0.0199342,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.67064,0.0593669,1.24338,1.67064,0.0217868,0.0593669,0
0.0239848,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.67064,0.0593669,1.24338,1.67064,0.0217868,0.0593669,0
0.0285891,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.6451,0.0638021,1.23446,1.6451,0.0217868,0.0638021,0
0.0319483,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.6451,0.0638021,1.23446,1.6451,0.0217868,0.0638021,0
0.0358828,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.6451,0.0638021,1.23446,1.6451,0.0217868,0.0638021,0
0.0399687,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.6451,0.0638021,1.23446,1.6451,0.0217868,0.0638021,0
0.0439884,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.6451,0.0638021,1.23446,1.6451,0.0217868,0.0638021,0
0.0486141,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.6451,0.0638021,1.23446,1.6451,0.0217868,0.0638021,0
0.0519691,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.6451,0.0638021,1.23446,1.6451,0.0217868,0.0638021,0
0.0560251,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.6451,0.0638021,1.23446,1.6451,0.0217868,0.0638021,0
0.0599461,44.4801,29.3674,2.41789,0.707544,0.046543,0.0329312,FGM,1.6451,0.0638021,1.23446,1.6451,0.0217868,0.0638021,0
0.0638968,44.4801,29.3674,2.41789,0.707544,0.046543,0.0329312,FGM,1.6451,0.0638021,1.23446,1.6451,0.0217868,0.0638021,0
0.0684494,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.6451,0.0638021,1.23446,1.6451,0.0217868,0.0638021,0
0.0718526,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.6451,0.0638021,1.23446,1.6451,0.0217868,0.0638021,0
0.075799,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.6451,0.0638021,1.23446,1.6451,0.0217868,0.0638021,0
0.0798805,44.468,29.3779,2.41879,0.897744,0.0415551,0.0373059,FGM,1.51164,0.0842469,1.24006,1.51164,0.0217868,0.0842469,0
0.0839099,44.468,29.3779,2.41879,0.897744,0.0415551,0.0373059,FGM,1.51164,0.0842469,1.24006,1.51164,0.0217868,0.0842469,0
0.0884909,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.51164,0.0842469,1.24006,1.51164,0.0217868,0.0842469,0
0.0918698,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.51164,0.0842469,1.24006,1.51164,0.0217868,0.0842469,0
0.0957628,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.51164,0.0842469,1.24006,1.51164,0.0217868,0.0842469,0
0.0999505,44.453,29.3909,2.41972,1.08794,0.0465187,0.0506097,FGM,1.51164,0.0842469,1.24006,1.51164,0.0217868,0.0842469,0
0.103731,44.453,29.3909,2.41972,1.08794,0.0465187,0.0506097,FGM,1.51164,0.0842469,1.24006,1.51164,0.0217868,0.0842469,0
0.108376,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.51164,0.0842469,1.24006,1.51164,0.0217868,0.0842469,0
0.111808,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.51164,0.0842469,1.24006,1.51164,0.0217868,0.0842469,0
0.115853,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.51164,0.0842469,1.24006,1.51164,0.0217868,0.0842469,0
0.119912,44.4351,29.4064,2.42075,1.27814,0.0527457,0.0674166,FGM,1.51164,0.0842469,1.24006,1.51164,0.0217868,0.0842469,0
0.123879,44.4351,29.4064,2.42075,1.27814,0.0527457,0.0674166,FGM,1.51164,0.0842469,1.24006,1.51164,0.0217868,0.0842469,0
0.128616,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.44692,0.077904,1.24987,1.44692,0.0217868,0.077904,0
0.131969,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.44692,0.077904,1.24987,1.44692,0.0217868,0.077904,0
0.135874,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.44692,0.077904,1.24987,1.44692,0.0217868,0.077904,0
0.139809,44.4143,29.4244,2.42191,1.46834,0.0590649,0.0867276,FGM,1.44692,0.077904,1.24987,1.44692,0.0217868,0.077904,0
0.143998,44.4143,29.4244,2.42191,1.46834,0.0590649,0.0867276,FGM,1.44692,0.077904,1.24987,1.44692,0.0217868,0.077904,0
0.148464,44.4028,29.4343,2.42248,1.56344,0.0652225,0.101972,FGM,1.44692,0.077904,1.24987,1.44692,0.0217868,0.077904,0
0.151948,44.4028,29.4343,2.42248,1.56344,0.0652225,0.101972,FGM,1.44692,0.077904,1.24987,1.44692,0.0217868,0.077904,0
0.155945,44.4028,29.4343,2.42248,1.56344,0.0652225,0.101972,FGM,1.44692,0.077904,1.24987,1.44692,0.0217868,0.077904,0
0.159877,44.3906,29.4448,2.42318,1.65854,0.0651625,0.108075,FGM,1.44692,0.077904,1.24987,1.44692,0.0217868,0.077904,0
0.163956,44.3906,29.4448,2.42318,1.65854,0.0651625,0.108075,FGM,1.44692,0.077904,1.24987,1.44692,0.0217868,0.077904,0
0.168459,44.3777,29.456,2.42381,1.75364,0.0707804,0.124124,FGM,1.44692,0.077904,1.24987,1.44692,0.0217868,0.077904,0
0.171913,44.3777,29.456,2.42381,1.75364,0.0707804,0.124124,FGM,1.44692,0.077904,1.24987,1.44692,0.0217868,0.077904,0
0.175856,44.3777,29.456,2.42381,1.75364,0.0707804,0.124124,FGM,1.44692,0.077904,1.24987,1.44692,0.0217868,0.077904,0
0.179927,44.3641,29.4677,2.42457,1.84874,0.0708989,0.131074,FGM,1.40793,0.0813102,1.23632,1.40793,0.0217868,0.0813102,0
0.183789,44.3641,29.4677,2.42457,1.84874,0.0708989,0.131074,FGM,1.40793,0.0813102,1.23632,1.40793,0.0217868,0.0813102,0
0.188389,44.3497,29.4801,2.42525,1.94384,0.0760192,0.147769,FGM,1.40793,0.0813102,1.23632,1.40793,0.0217868,0.0813102,0
0.191891,44.3497,29.4801,2.42525,1.94384,0.0760192,0.147769,FGM,1.40793,0.0813102,1.23632,1.40793,0.0217868,0.0813102,0
