t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
0.000147783,44.4992,29.3507,2.41499,0.136944,0,0,NONE,999.9,0,0
0.00257262,44.4992,29.3507,2.41499,0.136944,0,0,NONE,999.9,0,0
0.00366233,44.4992,29.3507,2.41499,0.136944,0,0,NONE,999.9,0,0
0.00571262,44.4992,29.3507,2.41499,0.136944,0,0,NONE,999.9,0,0
0.00722272,44.4992,29.3507,2.41499,0.136944,0,0,NONE,999.9,0,0
0.0134949,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,NONE,999.9,0,0
0.0144338,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,NONE,999.9,0,0
0.0160412,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,NONE,999.9,0,0
0.0169459,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,NONE,999.9,0,0
0.0204866,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,NONE,999.9,0,0
0.0213742,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,NONE,999.9,0,0
0.0240445,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,NONE,999.9,0,0
0.0250065,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,NONE,999.9,0,0
0.0272043,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,NONE,999.9,0,0
0.0272769,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,NONE,999.9,0,0
0.0324971,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,NONE,999.9,0,0
0.0329251,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,NONE,999.9,0,0
0.0355392,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,NONE,999.9,0,0
0.0362487,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,NONE,999.9,0,0
0.0389603,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,NONE,999.9,0,0
0.040731,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,NONE,999.9,0,0
0.0439206,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,NONE,999.9,0,0
0.0451339,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,NONE,999.9,0,0
0.0468264,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,NONE,999.9,0,0
0.0497556,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,NONE,999.9,0,0
0.0550992,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,NONE,999.9,0,0
0.0553016,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,NONE,999.9,0,0
0.0579618,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,NONE,999.9,0,0
0.0619989,44.4801,29.3674,2.41802,0.707544,0.090806,0.0642492,NONE,999.9,0,0
0.063778,44.4801,29.3674,2.41802,0.707544,0.090806,0.0642492,NONE,999.9,0,0
0.0677635,44.4801,29.3674,2.41802,0.707544,0.090806,0.0642492,NONE,999.9,0,0
0.0678352,44.4801,29.3674,2.41802,0.707544,0.090806,0.0642492,NONE,999.9,0,0
0.0685737,44.4801,29.3674,2.41802,0.707544,0.090806,0.0642492,NONE,999.9,0,0
0.071289,44.4743,29.3723,2.41898,0.802644,0.0936975,0.0752058,NONE,999.9,0,0
0.0728001,44.4743,29.3723,2.41898,0.802644,0.0936975,0.0752058,NONE,999.9,0,0
0.0749449,44.4743,29.3723,2.41898,0.802644,0.0936975,0.0752058,NONE,999.9,0,0
0.0751266,44.4743,29.3723,2.41898,0.802644,0.0936975,0.0752058,NONE,999.9,0,0
0.0787339,44.4743,29.3723,2.41898,0.802644,0.0936975,0.0752058,NONE,999.9,0,0
