t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
8.2821e-05,44.4992,29.3507,2.41499,0.136944,0,0,FGM,27.8263,0.0820126,0
0.00226675,44.4998,29.3501,2.41499,0.041844,0,0,FGM,27.8263,0.0820126,0
0.00367224,44.4992,29.3507,2.41499,0.136944,0,0,FGM,27.8263,0.0820126,0
0.0070527,44.4992,29.3507,2.41499,0.136944,0,0,FGM,27.8263,0.0820126,0
0.00791316,44.4992,29.3507,2.41499,0.136944,0,0,FGM,27.8263,0.0820126,0
0.0107263,44.4992,29.3507,2.41499,0.136944,0,0,FGM,27.8263,0.0820126,0
0.0119593,44.4978,29.352,2.41489,0.232044,-0.0224953,-0.0052199,FGM,27.8263,0.0820126,0
0.0143684,44.4992,29.3507,2.41499,0.136944,0,0,FGM,27.8263,0.0820126,0
0.0156797,44.4978,29.352,2.41489,0.232044,-0.0224953,-0.0052199,FGM,27.8263,0.0820126,0
0.0182789,44.4978,29.352,2.41489,0.232044,-0.0224953,-0.0052199,FGM,27.8263,0.0820126,0
0.0199988,44.4957,29.3538,2.41448,0.327144,-0.0634944,-0.0207718,FGM,27.8263,0.0820126,0
0.0222139,44.4978,29.352,2.41489,0.232044,-0.0224953,-0.0052199,FGM,27.8263,0.0820126,0
0.0237676,44.4957,29.3538,2.41448,0.327144,-0.0634944,-0.0207718,FGM,27.8263,0.0820126,0
0.0278488,44.4957,29.3538,2.41448,0.327144,-0.0634944,-0.0207718,FGM,27.8263,0.0820126,0
0.0281937,44.4957,29.3538,2.41448,0.327144,-0.0634944,-0.0207718,FGM,27.8263,0.0820126,0
0.0303569,44.4957,29.3538,2.41448,0.327144,-0.0634944,-0.0207718,FGM,27.8263,0.0820126,0
0.0317059,44.4929,29.3563,2.41394,0.422244,-0.040934,-0.0172842,FGM,27.8263,0.0820126,0
0.0342712,44.4957,29.3538,2.41448,0.327144,-0.0634944,-0.0207718,FGM,27.8263,0.0820126,0
0.0358239,44.4929,29.3563,2.41394,0.422244,-0.040934,-0.0172842,FGM,27.8263,0.0820126,0
0.0383704,44.4929,29.3563,2.41394,0.422244,-0.040934,-0.0172842,FGM,27.4093,0.0457976,0
0.0402429,44.4894,29.3594,2.41325,0.517344,-0.0695871,-0.0360005,FGM,27.4093,0.0457976,0
0.042406,44.4929,29.3563,2.41394,0.422244,-0.040934,-0.0172842,FGM,27.4093,0.0457976,0
0.0437318,44.4894,29.3594,2.41325,0.517344,-0.0695871,-0.0360005,FGM,27.4093,0.0457976,0
0.0471925,44.4894,29.3594,2.41325,0.517344,-0.0695871,-0.0360005,FGM,27.4093,0.0457976,0
0.047898,44.4894,29.3594,2.41325,0.517344,-0.0695871,-0.0360005,FGM,27.4093,0.0457976,0
0.0503568,44.4894,29.3594,2.41325,0.517344,-0.0695871,-0.0360005,FGM,27.4093,0.0457976,0
0.0516367,44.4852,29.3632,2.41266,0.612444,-0.0733699,-0.044935,FGM,27.4093,0.0457976,0
0.0545452,44.4894,29.3594,2.41325,0.517344,-0.0695871,-0.0360005,FGM,27.4093,0.0457976,0
0.0555327,44.4852,29.3632,2.41266,0.612444,-0.0733699,-0.044935,FGM,27.4093,0.0457976,0
0.058549,44.4852,29.3632,2.41266,0.612444,-0.0733699,-0.044935,FGM,27.4093,0.0457976,0
0.0607373,44.4804,29.3677,2.41209,0.707544,-0.046543,-0.0329312,FGM,27.4093,0.0457976,0
0.0626403,44.4852,29.3632,2.41266,0.612444,-0.0733699,-0.044935,FGM,27.4093,0.0457976,0
0.0640575,44.4804,29.3677,2.41209,0.707544,-0.046543,-0.0329312,FGM,27.4093,0.0457976,0
0.0669748,44.4804,29.3677,2.41209,0.707544,-0.046543,-0.0329312,FGM,27.4093,0.0457976,0
0.0677665,44.4804,29.3677,2.41209,0.707544,-0.046543,-0.0329312,FGM,27.4093,0.0457976,0
0.0702533,44.4804,29.3677,2.41209,0.707544,-0.046543,-0.0329312,FGM,27.4093,0.0457976,0
0.0716299,44.4748,29.3728,2.41183,0.802644,-0.00392554,-0.00315081,FGM,27.4093,0.0457976,0
0.0743078,44.4804,29.3677,2.41209,0.707544,-0.046543,-0.0329312,FGM,27.4093,0.0457976,0
0.0757003,44.4748,29.3728,2.41183,0.802644,-0.00392554,-0.00315081,FGM,27.4093,0.0457976,0
0.0788456,44.4748,29.3728,2.41183,0.802644,-0.00392554,-0.00315081,FGM,27.4093,0.0457976,0
0.0805951,44.4685,29.3785,2.41192,0.897744,0.00775261,0.00695986,FGM,27.4093,0.0457976,0
0.0822922,44.4748,29.3728,2.41183,0.802644,-0.00392554,-0.00315081,FGM,27.4093,0.0457976,0
0.0838518,44.4685,29.3785,2.41192,0.897744,0.00775261,0.00695986,FGM,27.4093,0.0457976,0
