t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
8.3002e-05,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.66947,0.053721,0
0.00409689,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.66947,0.053721,0
0.00911289,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.66947,0.053721,0
0.0120212,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.66947,0.053721,0
0.0162481,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.66947,0.053721,0
0.0199409,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.66947,0.053721,0
0.0238699,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.66947,0.053721,0
0.028565,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.66947,0.053721,0
0.032656,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.66947,0.053721,0
0.0360877,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.62475,0.0701913,0
0.0401969,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.62475,0.0701913,0
0.0439909,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.62475,0.0701913,0
0.0490676,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.62475,0.0701913,0
0.0519947,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.62475,0.0701913,0
0.0560625,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.62475,0.0701913,0
0.060064,44.4801,29.3674,2.41802,0.707544,0.090806,0.0642492,FGM,1.62475,0.0701913,0
0.0641316,44.4801,29.3674,2.41802,0.707544,0.090806,0.0642492,FGM,1.62475,0.0701913,0
0.0690164,44.4743,29.3723,2.41898,0.802644,0.0936975,0.0752058,FGM,1.62475,0.0701913,0
0.0720773,44.4743,29.3723,2.41898,0.802644,0.0936975,0.0752058,FGM,1.62475,0.0701913,0
0.0759947,44.4743,29.3723,2.41898,0.802644,0.0936975,0.0752058,FGM,1.62475,0.0701913,0
0.080079,44.4679,29.3778,2.41981,0.897744,0.0675798,0.0606694,FGM,1.62475,0.0701913,0
0.0841201,44.4679,29.3778,2.41981,0.897744,0.0675798,0.0606694,FGM,1.62475,0.0701913,0
0.088541,44.4607,29.3839,2.42042,0.992844,0.0664566,0.0659811,FGM,1.50962,0.082317,0
0.0919117,44.4607,29.3839,2.42042,0.992844,0.0664566,0.0659811,FGM,1.50962,0.082317,0
0.095949,44.4607,29.3839,2.42042,0.992844,0.0664566,0.0659811,FGM,1.50962,0.082317,0
0.100853,44.4528,29.3907,2.4211,1.08794,0.0589559,0.0641407,FGM,1.50962,0.082317,0
0.104175,44.4528,29.3907,2.4211,1.08794,0.0589559,0.0641407,FGM,1.50962,0.082317,0
0.109764,44.4442,29.3981,2.42166,1.18304,0.0631954,0.0747629,FGM,1.50962,0.082317,0
0.11191,44.4442,29.3981,2.42166,1.18304,0.0631954,0.0747629,FGM,1.50962,0.082317,0
0.116311,44.4442,29.3981,2.42166,1.18304,0.0631954,0.0747629,FGM,1.50962,0.082317,0
0.11993,44.4348,29.4061,2.42232,1.27814,0.0598798,0.076535,FGM,1.50962,0.082317,0
0.123952,44.4348,29.4061,2.42232,1.27814,0.0598798,0.076535,FGM,1.50962,0.082317,0
0.128416,44.4248,29.4148,2.4229,1.37324,0.0650537,0.0893345,FGM,1.50962,0.082317,0
0.132342,44.4248,29.4148,2.4229,1.37324,0.0650537,0.0893345,FGM,1.50962,0.082317,0
0.136161,44.4248,29.4148,2.4229,1.37324,0.0650537,0.0893345,FGM,1.38552,0.0924587,0
0.139891,44.414,29.4241,2.42359,1.46834,0.0634513,0.0931683,FGM,1.38552,0.0924587,0
0.143955,44.414,29.4241,2.42359,1.46834,0.0634513,0.0931683,FGM,1.38552,0.0924587,0
0.14928,44.4025,29.4339,2.4242,1.56344,0.0687177,0.107436,FGM,1.38552,0.0924587,0
0.151894,44.4025,29.4339,2.4242,1.56344,0.0687177,0.107436,FGM,1.38552,0.0924587,0
0.156026,44.4025,29.4339,2.4242,1.56344,0.0687177,0.107436,FGM,1.38552,0.0924587,0
0.159829,44.3903,29.4444,2.42493,1.65854,0.06797,0.112731,FGM,1.38552,0.0924587,0
0.163988,44.3903,29.4444,2.42493,1.65854,0.06797,0.112731,FGM,1.38552,0.0924587,0
0.169043,44.3774,29.4556,2.42559,1.75364,0.0730508,0.128105,FGM,1.38552,0.0924587,0
