t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.00011219,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.69767,0.0481094,1.24388,1.69767,0.0217868,0.0481094,0
0.00311432,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.69767,0.0481094,1.24388,1.69767,0.0217868,0.0481094,0
0.00726656,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.69767,0.0481094,1.24388,1.69767,0.0217868,0.0481094,0
0.0113572,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.69767,0.0481094,1.24388,1.69767,0.0217868,0.0481094,0
0.0151833,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.69767,0.0481094,1.24388,1.69767,0.0217868,0.0481094,0
0.0200233,44.4957,29.3538,2.41522,0.327144,2.14898e-10,7.03028e-11,FGM,1.69767,0.0481094,1.24388,1.69767,0.0217868,0.0481094,0
0.0231776,44.4957,29.3538,2.41522,0.327144,2.14898e-10,7.03028e-11,FGM,1.69767,0.0481094,1.24388,1.69767,0.0217868,0.0481094,0
0.0270941,44.4957,29.3538,2.41522,0.327144,2.14898e-10,7.03028e-11,FGM,1.69767,0.0481094,1.24388,1.69767,0.0217868,0.0481094,0
0.031183,44.4929,29.3563,2.41541,0.422244,0.040934,0.0172842,FGM,1.62467,0.0683691,1.23354,1.62467,0.0217868,0.0683691,0
0.0352806,44.4929,29.3563,2.41541,0.422244,0.040934,0.0172842,FGM,1.62467,0.0683691,1.23354,1.62467,0.0217868,0.0683691,0
0.0398813,44.4894,29.3594,2.41563,0.517344,0.008355,0.00432241,FGM,1.62467,0.0683691,1.23354,1.62467,0.0217868,0.0683691,0
0.0433038,44.4894,29.3594,2.41563,0.517344,0.008355,0.00432241,FGM,1.62467,0.0683691,1.23354,1.62467,0.0217868,0.0683691,0
0.0472127,44.4894,29.3594,2.41563,0.517344,0.008355,0.00432241,FGM,1.62467,0.0683691,1.23354,1.62467,0.0217868,0.0683691,0
0.0513239,44.4852,29.3632,2.4157,0.612444,0.0271035,0.0165994,FGM,1.62467,0.0683691,1.23354,1.62467,0.0217868,0.0683691,0
0.0551571,44.4852,29.3632,2.4157,0.612444,0.0271035,0.0165994,FGM,1.62467,0.0683691,1.23354,1.62467,0.0217868,0.0683691,0
0.0600183,44.4802,29.3675,2.41599,0.707544,0.0222106,0.015715,FGM,1.62467,0.0683691,1.23354,1.62467,0.0217868,0.0683691,0
0.0631592,44.4802,29.3675,2.41599,0.707544,0.0222106,0.015715,FGM,1.62467,0.0683691,1.23354,1.62467,0.0217868,0.0683691,0
0.0672745,44.4802,29.3675,2.41599,0.707544,0.0222106,0.015715,FGM,1.62467,0.0683691,1.23354,1.62467,0.0217868,0.0683691,0
0.0715308,44.4745,29.3725,2.41621,0.802644,0.034828,0.0279545,FGM,1.62467,0.0683691,1.23354,1.62467,0.0217868,0.0683691,0
0.0753638,44.4745,29.3725,2.41621,0.802644,0.034828,0.0279545,FGM,1.62467,0.0683691,1.23354,1.62467,0.0217868,0.0683691,0
0.0799957,44.4681,29.3781,2.41661,0.897744,0.0326155,0.0292804,FGM,1.5234,0.0809337,1.2465,1.5234,0.0217868,0.0809337,0
0.0832995,44.4681,29.3781,2.41661,0.897744,0.0326155,0.0292804,FGM,1.5234,0.0809337,1.2465,1.5234,0.0217868,0.0809337,0
0.0872245,44.4681,29.3781,2.41661,0.897744,0.0326155,0.0292804,FGM,1.5234,0.0809337,1.2465,1.5234,0.0217868,0.0809337,0
0.0913216,44.461,29.3843,2.41693,0.992844,0.0428749,0.0425681,FGM,1.5234,0.0809337,1.2465,1.5234,0.0217868,0.0809337,0
0.09526,44.461,29.3843,2.41693,0.992844,0.0428749,0.0425681,FGM,1.5234,0.0809337,1.2465,1.5234,0.0217868,0.0809337,0
0.100329,44.4532,29.3912,2.41741,1.08794,0.0419122,0.0455981,FGM,1.5234,0.0809337,1.2465,1.5234,0.0217868,0.0809337,0
0.103261,44.4532,29.3912,2.41741,1.08794,0.0419122,0.0455981,FGM,1.5234,0.0809337,1.2465,1.5234,0.0217868,0.0809337,0
0.107324,44.4532,29.3912,2.41741,1.08794,0.0419122,0.0455981,FGM,1.5234,0.0809337,1.2465,1.5234,0.0217868,0.0809337,0
0.111277,44.4446,29.3986,2.41782,1.18304,0.0504107,0.0596381,FGM,1.5234,0.0809337,1.2465,1.5234,0.0217868,0.0809337,0
0.115321,44.4446,29.3986,2.41782,1.18304,0.0504107,0.0596381,FGM,1.5234,0.0809337,1.2465,1.5234,0.0217868,0.0809337,0
0.120138,44.4353,29.4067,2.41837,1.27814,0.0500696,0.0639962,FGM,1.5234,0.0809337,1.2465,1.5234,0.0217868,0.0809337,0
0.123245,44.4353,29.4067,2.41837,1.27814,0.0500696,0.0639962,FGM,1.5234,0.0809337,1.2465,1.5234,0.0217868,0.0809337,0
0.127287,44.4353,29.4067,2.41837,1.27814,0.0500696,0.0639962,FGM,1.5234,0.0809337,1.2465,1.5234,0.0217868,0.0809337,0
0.131198,44.4253,29.4154,2.41886,1.37324,0.0574054,0.0788316,FGM,1.42349,0.0831776,1.25001,1.42349,0.0217868,0.0831776,0
0.135338,44.4253,29.4154,2.41886,1.37324,0.0574054,0.0788316,FGM,1.42349,0.0831776,1.25001,1.42349,0.0217868,0.0831776,0
0.139899,44.4146,29.4247,2.41948,1.46834,0.0574156,0.0843058,FGM,1.42349,0.0831776,1.25001,1.42349,0.0217868,0.0831776,0
0.143321,44.4146,29.4247,2.41948,1.46834,0.0574156,0.0843058,FGM,1.42349,0.0831776,1.25001,1.42349,0.0217868,0.0831776,0
0.147269,44.4146,29.4247,2.41948,1.46834,0.0574156,0.0843058,FGM,1.42349,0.0831776,1.25001,1.42349,0.0217868,0.0831776,0
0.151232,44.4032,29.4347,2.42004,1.56344,0.0639078,0.0999163,FGM,1.42349,0.0831776,1.25001,1.42349,0.0217868,0.0831776,0
0.15557,44.4032,29.4347,2.42004,1.56344,0.0639078,0.0999163,FGM,1.42349,0.0831776,1.25001,1.42349,0.0217868,0.0831776,0
0.160139,44.391,29.4452,2.42073,1.65854,0.0641062,0.106323,FGM,1.42349,0.0831776,1.25001,1.42349,0.0217868,0.0831776,0
0.163238,44.391,29.4452,2.42073,1.65854,0.0641062,0.106323,FGM,1.42349,0.0831776,1.25001,1.42349,0.0217868,0.0831776,0
0.167444,44.391,29.4452,2.42073,1.65854,0.0641062,0.106323,FGM,1.42349,0.0831776,1.25001,1.42349,0.0217868,0.0831776,0
