t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
8.1528e-05,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.68389,0.0468088,1.23675,1.68389,0.0217868,0.0468088,0
0.00280569,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.68389,0.0468088,1.23675,1.68389,0.0217868,0.0468088,0
0.0073882,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.68389,0.0468088,1.23675,1.68389,0.0217868,0.0468088,0
0.0128118,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.68389,0.0468088,1.23675,1.68389,0.0217868,0.0468088,0
0.0149053,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.68389,0.0468088,1.23675,1.68389,0.0217868,0.0468088,0
0.0199343,44.4957,29.3538,2.41522,0.327144,2.14898e-10,7.03028e-11,FGM,1.68389,0.0468088,1.23675,1.68389,0.0217868,0.0468088,0
0.0228482,44.4957,29.3538,2.41522,0.327144,2.14898e-10,7.03028e-11,FGM,1.68389,0.0468088,1.23675,1.68389,0.0217868,0.0468088,0
0.0269245,44.4957,29.3538,2.41522,0.327144,2.14898e-10,7.03028e-11,FGM,1.68389,0.0468088,1.23675,1.68389,0.0217868,0.0468088,0
0.0307135,44.4929,29.3563,2.41541,0.422244,0.040934,0.0172842,FGM,1.59508,0.070563,1.24402,1.59508,0.0217868,0.070563,0
0.0349844,44.4929,29.3563,2.41541,0.422244,0.040934,0.0172842,FGM,1.59508,0.070563,1.24402,1.59508,0.0217868,0.070563,0
0.040034,44.4894,29.3594,2.41563,0.517344,0.008355,0.00432241,FGM,1.59508,0.070563,1.24402,1.59508,0.0217868,0.070563,0
0.0434466,44.4894,29.3594,2.41563,0.517344,0.008355,0.00432241,FGM,1.59508,0.070563,1.24402,1.59508,0.0217868,0.070563,0
0.0474181,44.4894,29.3594,2.41563,0.517344,0.008355,0.00432241,FGM,1.59508,0.070563,1.24402,1.59508,0.0217868,0.070563,0
0.0515188,44.4852,29.3632,2.4157,0.612444,0.0271035,0.0165994,FGM,1.59508,0.070563,1.24402,1.59508,0.0217868,0.070563,0
0.0551713,44.4852,29.3632,2.4157,0.612444,0.0271035,0.0165994,FGM,1.59508,0.070563,1.24402,1.59508,0.0217868,0.070563,0
0.0592555,44.4802,29.3675,2.41612,0.707544,0.0664735,0.047033,FGM,1.59508,0.070563,1.24402,1.59508,0.0217868,0.070563,0
0.0625799,44.4802,29.3675,2.41612,0.707544,0.0664735,0.047033,FGM,1.59508,0.070563,1.24402,1.59508,0.0217868,0.070563,0
0.0668217,44.4802,29.3675,2.41612,0.707544,0.0664735,0.047033,FGM,1.59508,0.070563,1.24402,1.59508,0.0217868,0.070563,0
0.0706011,44.4745,29.3724,2.41691,0.802644,0.0798473,0.064089,FGM,1.59508,0.070563,1.24402,1.59508,0.0217868,0.070563,0
0.0752978,44.4745,29.3724,2.41691,0.802644,0.0798473,0.064089,FGM,1.59508,0.070563,1.24402,1.59508,0.0217868,0.070563,0
0.0798507,44.468,29.378,2.41763,0.897744,0.0586402,0.0526439,FGM,1.59508,0.070563,1.24402,1.59508,0.0217868,0.070563,0
0.0829638,44.468,29.378,2.41763,0.897744,0.0586402,0.0526439,FGM,1.55654,0.0825044,1.25371,1.55654,0.0217868,0.0825044,0
0.0868095,44.468,29.378,2.41763,0.897744,0.0586402,0.0526439,FGM,1.55654,0.0825044,1.25371,1.55654,0.0217868,0.0825044,0
0.0907121,44.4609,29.3841,2.41816,0.992844,0.0601853,0.0597546,FGM,1.55654,0.0825044,1.25371,1.55654,0.0217868,0.0825044,0
0.094658,44.4609,29.3841,2.41816,0.992844,0.0601853,0.0597546,FGM,1.55654,0.0825044,1.25371,1.55654,0.0217868,0.0825044,0
0.0994888,44.453,29.3909,2.41879,1.08794,0.0543494,0.0591291,FGM,1.55654,0.0825044,1.25371,1.55654,0.0217868,0.0825044,0
0.102689,44.453,29.3909,2.41879,1.08794,0.0543494,0.0591291,FGM,1.55654,0.0825044,1.25371,1.55654,0.0217868,0.0825044,0
0.108712,44.453,29.3909,2.41879,1.08794,0.0543494,0.0591291,FGM,1.55654,0.0825044,1.25371,1.55654,0.0217868,0.0825044,0
0.11097,44.4444,29.3984,2.4193,1.18304,0.0597174,0.0706483,FGM,1.55654,0.0825044,1.25371,1.55654,0.0217868,0.0825044,0
0.114852,44.4444,29.3984,2.4193,1.18304,0.0597174,0.0706483,FGM,1.55654,0.0825044,1.25371,1.55654,0.0217868,0.0825044,0
0.119642,44.4351,29.4064,2.41994,1.27814,0.0572037,0.0731146,FGM,1.55654,0.0825044,1.25371,1.55654,0.0217868,0.0825044,0
0.122709,44.4351,29.4064,2.41994,1.27814,0.0572037,0.0731146,FGM,1.55654,0.0825044,1.25371,1.55654,0.0217868,0.0825044,0
0.126636,44.4351,29.4064,2.41994,1.27814,0.0572037,0.0731146,FGM,1.55654,0.0825044,1.25371,1.55654,0.0217868,0.0825044,0
0.130688,44.4251,29.4151,2.42049,1.37324,0.0629648,0.086466,FGM,1.43404,0.0782738,1.24877,1.43404,0.0217868,0.0782738,0
0.134828,44.4251,29.4151,2.42049,1.37324,0.0629648,0.086466,FGM,1.43404,0.0782738,1.24877,1.43404,0.0217868,0.0782738,0
0.140779,44.4143,29.4244,2.42116,1.46834,0.0618019,0.0907465,FGM,1.43404,0.0782738,1.24877,1.43404,0.0217868,0.0782738,0
0.142873,44.4143,29.4244,2.42116,1.46834,0.0618019,0.0907465,FGM,1.43404,0.0782738,1.24877,1.43404,0.0217868,0.0782738,0
0.146766,44.4143,29.4244,2.42116,1.46834,0.0618019,0.0907465,FGM,1.43404,0.0782738,1.24877,1.43404,0.0217868,0.0782738,0
0.150708,44.4029,29.4343,2.42176,1.56344,0.0674029,0.105381,FGM,1.43404,0.0782738,1.24877,1.43404,0.0217868,0.0782738,0
0.154684,44.4029,29.4343,2.42176,1.56344,0.0674029,0.105381,FGM,1.43404,0.0782738,1.24877,1.43404,0.0217868,0.0782738,0
0.159658,44.3907,29.4449,2.42248,1.65854,0.0669137,0.110979,FGM,1.43404,0.0782738,1.24877,1.43404,0.0217868,0.0782738,0
0.162641,44.3907,29.4449,2.42248,1.65854,0.0669137,0.110979,FGM,1.43404,0.0782738,1.24877,1.43404,0.0217868,0.0782738,0
0.166701,44.3907,29.4449,2.42248,1.65854,0.0669137,0.110979,FGM,1.43404,0.0782738,1.24877,1.43404,0.0217868,0.0782738,0
0.171213,44.3778,29.456,2.42313,1.75364,0.0721965,0.126607,FGM,1.43404,0.0782738,1.24877,1.43404,0.0217868,0.0782738,0
0.176211,44.3778,29.456,2.42313,1.75364,0.0721965,0.126607,FGM,1.43404,0.0782738,1.24877,1.43404,0.0217868,0.0782738,0
0.180115,44.3641,29.4678,2.4239,1.84874,0.0720503,0.133203,FGM,1.4099,0.0801068,1.24678,1.4099,0.0217868,0.0801068,0
0.183405,44.3641,29.4678,2.4239,1.84874,0.0720503,0.133203,FGM,1.4099,0.0801068,1.24678,1.4099,0.0217868,0.0801068,0
0.187021,44.3641,29.4678,2.4239,1.84874,0.0720503,0.133203,FGM,1.4099,0.0801068,1.24678,1.4099,0.0217868,0.0801068,0
0.1907,44.3498,29.4802,2.42459,1.94384,0.0769598,0.149598,FGM,1.4099,0.0801068,1.24678,1.4099,0.0217868,0.0801068,0
0.194784,44.3498,29.4802,2.42459,1.94384,0.0769598,0.149598,FGM,1.4099,0.0801068,1.24678,1.4099,0.0217868,0.0801068,0
0.199995,44.3347,29.4932,2.42541,2.03894,0.0769703,0.156938,FGM,1.4099,0.0801068,1.24678,1.4099,0.0217868,0.0801068,0
0.203346,44.3347,29.4932,2.42541,2.03894,0.0769703,0.156938,FGM,1.4099,0.0801068,1.24678,1.4099,0.0217868,0.0801068,0
0.207677,44.3347,29.4932,2.42541,2.03894,0.0769703,0.156938,FGM,1.4099,0.0801068,1.24678,1.4099,0.0217868,0.0801068,0
0.21078,44.3189,29.5068,2.42616,2.13404,0.0814894,0.173902,FGM,1.4099,0.0801068,1.24678,1.4099,0.0217868,0.0801068,0
0.215466,44.3189,29.5068,2.42616,2.13404,0.0814894,0.173902,FGM,1.4099,0.0801068,1.24678,1.4099,0.0217868,0.0801068,0
0.219824,44.3023,29.521,2.42702,2.22914,0.0815431,0.181771,FGM,1.4099,0.0801068,1.24678,1.4099,0.0217868,0.0801068,0
0.222982,44.3023,29.521,2.42702,2.22914,0.0815431,0.181771,FGM,1.4099,0.0801068,1.24678,1.4099,0.0217868,0.0801068,0
0.226647,44.3023,29.521,2.42702,2.22914,0.0815431,0.181771,FGM,1.4099,0.0801068,1.24678,1.4099,0.0217868,0.0801068,0
0.230678,44.285,29.5358,2.42781,2.32424,0.0856714,0.199121,FGM,1.26669,0.0764166,1.25079,1.26669,0.0217868,0.0764166,0
0.235542,44.285,29.5358,2.42781,2.32424,0.0856714,0.199121,FGM,1.26669,0.0764166,1.25079,1.26669,0.0217868,0.0764166,0
0.240365,44.267,29.5513,2.42871,2.41934,0.0856957,0.207327,FGM,1.26669,0.0764166,1.25079,1.26669,0.0217868,0.0764166,0
0.243269,44.267,29.5513,2.42871,2.41934,0.0856957,0.207327,FGM,1.26669,0.0764166,1.25079,1.26669,0.0217868,0.0764166,0
0.247527,44.267,29.5513,2.42871,2.41934,0.0856957,0.207327,FGM,1.26669,0.0764166,1.25079,1.26669,0.0217868,0.0764166,0
0.251095,44.2483,29.5673,2.42954,2.51352,0.0895339,0.225046,FGM,1.26669,0.0764166,1.25079,1.26669,0.0217868,0.0764166,0
0.254716,44.2483,29.5673,2.42954,2.51352,0.0895339,0.225046,FGM,1.26669,0.0764166,1.25079,1.26669,0.0217868,0.0764166,0
0.259838,44.2289,29.5839,2.43049,2.60323,0.0898583,0.233922,FGM,1.26669,0.0764166,1.25079,1.26669,0.0217868,0.0764166,0
0.26274,44.2289,29.5839,2.43049,2.60323,0.0898583,0.233922,FGM,1.26669,0.0764166,1.25079,1.26669,0.0217868,0.0764166,0
0.268097,44.2289,29.5839,2.43049,2.60323,0.0898583,0.233922,FGM,1.26669,0.0764166,1.25079,1.26669,0.0217868,0.0764166,0
0.271227,44.2087,29.6011,2.43136,2.68866,0.0941063,0.25302,FGM,1.26669,0.0764166,1.25079,1.26669,0.0217868,0.0764166,0
0.274758,44.2087,29.6011,2.43136,2.68866,0.0941063,0.25302,FGM,1.26669,0.0764166,1.25079,1.26669,0.0217868,0.0764166,0
0.279334,44.188,29.6188,2.43236,2.77004,0.0945984,0.262041,FGM,1.13161,0.091222,1.25014,1.13161,0.0217868,0.091222,0
0.282685,44.188,29.6188,2.43236,2.77004,0.0945984,0.262041,FGM,1.13161,0.091222,1.25014,1.13161,0.0217868,0.091222,0
0.286983,44.188,29.6188,2.43236,2.77004,0.0945984,0.262041,FGM,1.13161,0.091222,1.25014,1.13161,0.0217868,0.091222,0
0.29069,44.1666,29.637,2.43327,2.84754,0.0989237,0.281689,FGM,1.13161,0.091222,1.25014,1.13161,0.0217868,0.091222,0
0.294702,44.1666,29.637,2.43327,2.84754,0.0989237,0.281689,FGM,1.13161,0.091222,1.25014,1.13161,0.0217868,0.091222,0
0.300629,44.1446,29.6557,2.43432,2.92136,0.0993949,0.290369,FGM,1.13161,0.091222,1.25014,1.13161,0.0217868,0.091222,0
0.3029,44.1446,29.6557,2.43432,2.92136,0.0993949,0.290369,FGM,1.13161,0.091222,1.25014,1.13161,0.0217868,0.091222,0
0.307374,44.1446,29.6557,2.43432,2.92136,0.0993949,0.290369,FGM,1.13161,0.091222,1.25014,1.13161,0.0217868,0.091222,0
0.310695,44.1221,29.6748,2.43527,2.99167,0.10369,0.310206,FGM,1.13161,0.091222,1.25014,1.13161,0.0217868,0.091222,0
0.314688,44.1221,29.6748,2.43527,2.99167,0.10369,0.310206,FGM,1.13161,0.091222,1.25014,1.13161,0.0217868,0.091222,0
0.319736,44.099,29.6944,2.43637,3.05864,0.104078,0.318338,FGM,1.13161,0.091222,1.25014,1.13161,0.0217868,0.091222,0
0.322713,44.099,29.6944,2.43637,3.05864,0.104078,0.318338,FGM,1.13161,0.091222,1.25014,1.13161,0.0217868,0.091222,0
0.326663,44.099,29.6944,2.43637,3.05864,0.104078,0.318338,FGM,1.13161,0.091222,1.25014,1.13161,0.0217868,0.091222,0
0.333523,44.0754,29.7144,2.43737,3.12242,0.108307,0.338179,FGM,1.11667,0.110163,1.23934,1.11667,0.0217868,0.110163,0
0.335877,44.0754,29.7144,2.43737,3.12242,0.108307,0.338179,FGM,1.11667,0.110163,1.23934,1.11667,0.0217868,0.110163,0
0.339852,44.0513,29.7347,2.43852,3.18317,0.108594,0.345672,FGM,1.11667,0.110163,1.23934,1.11667,0.0217868,0.110163,0
0.342792,44.0513,29.7347,2.43852,3.18317,0.108594,0.345672,FGM,1.11667,0.110163,1.23934,1.11667,0.0217868,0.110163,0
0.346885,44.0513,29.7347,2.43852,3.18317,0.108594,0.345672,FGM,1.11667,0.110163,1.23934,1.11667,0.0217868,0.110163,0
0.351033,44.0267,29.7554,2.43957,3.24103,0.112745,0.365409,FGM,1.11667,0.110163,1.23934,1.11667,0.0217868,0.110163,0
0.354883,44.0267,29.7554,2.43957,3.24103,0.112745,0.365409,FGM,1.11667,0.110163,1.23934,1.11667,0.0217868,0.110163,0
0.35942,44.0017,29.7764,2.44076,3.29614,0.112927,0.372222,FGM,1.11667,0.110163,1.23934,1.11667,0.0217868,0.110163,0
0.364162,44.0017,29.7764,2.44076,3.29614,0.112927,0.372222,FGM,1.11667,0.110163,1.23934,1.11667,0.0217868,0.110163,0
0.367152,44.0017,29.7764,2.44076,3.29614,0.112927,0.372222,FGM,1.11667,0.110163,1.23934,1.11667,0.0217868,0.110163,0
0.370911,43.9763,29.7978,2.44184,3.34863,0.116999,0.391785,FGM,1.11667,0.110163,1.23934,1.11667,0.0217868,0.110163,0
0.374786,43.9763,29.7978,2.44184,3.34863,0.116999,0.391785,FGM,1.11667,0.110163,1.23934,1.11667,0.0217868,0.110163,0
0.379343,43.9504,29.8195,2.44308,3.39862,0.117078,0.397902,FGM,1.17417,0.105727,1.23468,1.17417,0.0217868,0.105727,0
0.382741,43.9504,29.8195,2.44308,3.39862,0.117078,0.397902,FGM,1.17417,0.105727,1.23468,1.17417,0.0217868,0.105727,0
0.386947,43.9504,29.8195,2.44308,3.39862,0.117078,0.397902,FGM,1.17417,0.105727,1.23468,1.17417,0.0217868,0.105727,0
0.390749,43.9242,29.8414,2.4442,3.44623,0.121072,0.417243,FGM,1.17417,0.105727,1.23468,1.17417,0.0217868,0.105727,0
0.396495,43.9242,29.8414,2.4442,3.44623,0.121072,0.417243,FGM,1.17417,0.105727,1.23468,1.17417,0.0217868,0.105727,0
0.399562,43.8976,29.8637,2.44548,3.49159,0.121051,0.422661,FGM,1.17417,0.105727,1.23468,1.17417,0.0217868,0.105727,0
0.402914,43.8976,29.8637,2.44548,3.49159,0.121051,0.422661,FGM,1.17417,0.105727,1.23468,1.17417,0.0217868,0.105727,0
0.40674,43.8976,29.8637,2.44548,3.49159,0.121051,0.422661,FGM,1.17417,0.105727,1.23468,1.17417,0.0217868,0.105727,0
