t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000133733,-9.99917,7.475,0,0.118872,0,0,FGM,0.417633,0.147012,0.404715,0.417633,0.381943,0.147012,0
0.00263975,-9.99917,7.475,0,0.118872,0,0,FGM,0.417633,0.147012,0.404715,0.417633,0.381943,0.147012,0
0.0059525,-9.99917,7.475,0,0.118872,0,0,FGM,0.417633,0.147012,0.404715,0.417633,0.381943,0.147012,0
0.0122382,-9.9975,7.475,8.83369e-05,0.213972,0.0207433,0.00443847,FGM,0.417633,0.147012,0.404715,0.417633,0.381943,0.147012,0
0.0145291,-9.9975,7.475,8.83369e-05,0.213972,0.0207433,0.00443847,FGM,0.417633,0.147012,0.404715,0.417633,0.381943,0.147012,0
0.0209578,-9.99489,7.475,0.000476525,0.309072,0.0599868,0.0185402,FGM,0.417633,0.147012,0.404715,0.417633,0.381943,0.147012,0
0.0246308,-9.99489,7.475,0.000476525,0.309072,0.0599868,0.0185402,FGM,0.417633,0.147012,0.404715,0.417633,0.381943,0.147012,0
0.027867,-9.99489,7.475,0.000476525,0.309072,0.0599868,0.0185402,FGM,0.417633,0.147012,0.404715,0.417633,0.381943,0.147012,0
0.0327081,-9.99132,7.475,0.00135019,0.404172,0.117868,0.047639,FGM,0.419278,0.168474,0.409559,0.419278,0.381943,0.168474,0
0.0357904,-9.99132,7.475,0.00135019,0.404172,0.117868,0.047639,FGM,0.419278,0.168474,0.409559,0.419278,0.381943,0.168474,0
0.0424469,-9.98681,7.47501,0.00243931,0.499272,0.0969021,0.0483805,FGM,0.419278,0.168474,0.409559,0.419278,0.381943,0.168474,0
0.0460032,-9.98681,7.47501,0.00243931,0.499272,0.0969021,0.0483805,FGM,0.419278,0.168474,0.409559,0.419278,0.381943,0.168474,0
0.0529894,-9.98134,7.47507,0.00354821,0.594372,0.0605891,0.0360125,FGM,0.419278,0.168474,0.409559,0.419278,0.381943,0.168474,0
0.0555947,-9.98134,7.47507,0.00354821,0.594372,0.0605891,0.0360125,FGM,0.419278,0.168474,0.409559,0.419278,0.381943,0.168474,0
0.0619479,-9.97494,7.47526,0.00459618,0.685009,0.10641,0.0728918,FGM,0.419278,0.168474,0.409559,0.419278,0.381943,0.168474,0
0.0652885,-9.97494,7.47526,0.00459618,0.685009,0.10641,0.0728918,FGM,0.419278,0.168474,0.409559,0.419278,0.381943,0.168474,0
0.0699521,-9.96767,7.47551,0.00572671,0.771337,0.105255,0.0811868,FGM,0.419278,0.168474,0.409559,0.419278,0.381943,0.168474,0
0.0740868,-9.96767,7.47551,0.00572671,0.771337,0.105255,0.0811868,FGM,0.419278,0.168474,0.409559,0.419278,0.381943,0.168474,0
0.0796237,-9.95955,7.47576,0.00679858,0.85356,0.1213,0.103537,FGM,0.419543,0.205231,0.413609,0.419543,0.381943,0.205231,0
0.0822865,-9.95955,7.47576,0.00679858,0.85356,0.1213,0.103537,FGM,0.419543,0.205231,0.413609,0.419543,0.381943,0.205231,0
0.0860454,-9.95955,7.47576,0.00679858,0.85356,0.1213,0.103537,FGM,0.419543,0.205231,0.413609,0.419543,0.381943,0.205231,0
0.0910299,-9.95062,7.47605,0.00808022,0.932567,0.122382,0.114129,FGM,0.419543,0.205231,0.413609,0.419543,0.381943,0.205231,0
0.0939089,-9.95062,7.47605,0.00808022,0.932567,0.122382,0.114129,FGM,0.419543,0.205231,0.413609,0.419543,0.381943,0.205231,0
0.0998713,-9.94092,7.47635,0.00931659,1.00782,0.137405,0.138479,FGM,0.419543,0.205231,0.413609,0.419543,0.381943,0.205231,0
0.103435,-9.94092,7.47635,0.00931659,1.00782,0.137405,0.138479,FGM,0.419543,0.205231,0.413609,0.419543,0.381943,0.205231,0
0.106347,-9.94092,7.47635,0.00931659,1.00782,0.137405,0.138479,FGM,0.419543,0.205231,0.413609,0.419543,0.381943,0.205231,0
