t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
7.9732e-05,-9.99917,7.475,0,0.118885,0,0,FGM,0.422462,0.14956,0.413162,0.422462,0.381943,0.14956,0
0.00403782,-9.99917,7.475,0,0.118885,0,0,FGM,0.422462,0.14956,0.413162,0.422462,0.381943,0.14956,0
0.00922735,-9.9975,7.475,8.83435e-05,0.213985,0.0207446,0.00443903,FGM,0.422462,0.14956,0.413162,0.422462,0.381943,0.14956,0
0.0123641,-9.9975,7.475,8.83435e-05,0.213985,0.0207446,0.00443903,FGM,0.422462,0.14956,0.413162,0.422462,0.381943,0.14956,0
0.0168699,-9.9975,7.475,8.83435e-05,0.213985,0.0207446,0.00443903,FGM,0.422462,0.14956,0.413162,0.422462,0.381943,0.14956,0
0.0245101,-9.99489,7.475,0.000476551,0.309085,0.0599894,0.0185418,FGM,0.422462,0.14956,0.413162,0.422462,0.381943,0.14956,0
0.0301415,-9.99132,7.475,0.00135025,0.404185,0.117872,0.0476422,FGM,0.420637,0.165088,0.419232,0.420637,0.381943,0.165088,0
0.0329771,-9.99132,7.475,0.00135025,0.404185,0.117872,0.0476422,FGM,0.420637,0.165088,0.419232,0.420637,0.381943,0.165088,0
0.0354299,-9.99132,7.475,0.00135025,0.404185,0.117872,0.0476422,FGM,0.420637,0.165088,0.419232,0.420637,0.381943,0.165088,0
0.0406971,-9.9868,7.47501,0.00243941,0.499285,0.0969048,0.0483831,FGM,0.420637,0.165088,0.419232,0.420637,0.381943,0.165088,0
0.0437207,-9.9868,7.47501,0.00243941,0.499285,0.0969048,0.0483831,FGM,0.420637,0.165088,0.419232,0.420637,0.381943,0.165088,0
0.04893,-9.98134,7.47507,0.00354832,0.594385,0.0605934,0.0360158,FGM,0.420637,0.165088,0.419232,0.420637,0.381943,0.165088,0
0.0514184,-9.98134,7.47507,0.00354832,0.594385,0.0605934,0.0360158,FGM,0.420637,0.165088,0.419232,0.420637,0.381943,0.165088,0
0.0552914,-9.98134,7.47507,0.00354832,0.594385,0.0605934,0.0360158,FGM,0.420637,0.165088,0.419232,0.420637,0.381943,0.165088,0
0.0592712,-9.97494,7.47526,0.00459616,0.685113,0.106408,0.0729014,FGM,0.420637,0.165088,0.419232,0.420637,0.381943,0.165088,0
0.0632924,-9.97494,7.47526,0.00459616,0.685113,0.106408,0.0729014,FGM,0.420637,0.165088,0.419232,0.420637,0.381943,0.165088,0
0.0690303,-9.96766,7.47551,0.00579765,0.771526,0.12881,0.0993803,FGM,0.420637,0.165088,0.419232,0.420637,0.381943,0.165088,0
0.0712831,-9.96766,7.47551,0.00579765,0.771526,0.12881,0.0993803,FGM,0.420637,0.165088,0.419232,0.420637,0.381943,0.165088,0
0.0752931,-9.96766,7.47551,0.00579765,0.771526,0.12881,0.0993803,FGM,0.420637,0.165088,0.419232,0.420637,0.381943,0.165088,0
0.0792994,-9.95954,7.47581,0.00717789,0.853831,0.145891,0.124566,FGM,0.427237,0.200873,0.424175,0.427237,0.381943,0.200873,0
0.0831972,-9.95954,7.47581,0.00717789,0.853831,0.145891,0.124566,FGM,0.427237,0.200873,0.424175,0.427237,0.381943,0.200873,0
0.0895838,-9.95062,7.47614,0.0087131,0.932278,0.160645,0.149766,FGM,0.427237,0.200873,0.424175,0.427237,0.381943,0.200873,0
0.093111,-9.95062,7.47614,0.0087131,0.932278,0.160645,0.149766,FGM,0.427237,0.200873,0.424175,0.427237,0.381943,0.200873,0
0.0959223,-9.95062,7.47614,0.0087131,0.932278,0.160645,0.149766,FGM,0.427237,0.200873,0.424175,0.427237,0.381943,0.200873,0
0.100413,-9.94093,7.47651,0.0103034,1.007,0.147926,0.148961,FGM,0.427237,0.200873,0.424175,0.427237,0.381943,0.200873,0
0.103203,-9.94093,7.47651,0.0103034,1.007,0.147926,0.148961,FGM,0.427237,0.200873,0.424175,0.427237,0.381943,0.200873,0
0.10877,-9.93051,7.47688,0.0117542,1.07816,0.155865,0.168048,FGM,0.427237,0.200873,0.424175,0.427237,0.381943,0.200873,0
0.112579,-9.93051,7.47688,0.0117542,1.07816,0.155865,0.168048,FGM,0.427237,0.200873,0.424175,0.427237,0.381943,0.200873,0
0.115591,-9.93051,7.47688,0.0117542,1.07816,0.155865,0.168048,FGM,0.427237,0.200873,0.424175,0.427237,0.381943,0.200873,0
0.119533,-9.9194,7.47729,0.0133698,1.14594,0.154719,0.177299,FGM,0.427237,0.200873,0.424175,0.427237,0.381943,0.200873,0
0.123596,-9.9194,7.47729,0.0133698,1.14594,0.154719,0.177299,FGM,0.427237,0.200873,0.424175,0.427237,0.381943,0.200873,0
0.128836,-9.90762,7.47773,0.0149087,1.2105,0.166077,0.201036,FGM,0.422273,0.241852,0.417329,0.422273,0.381943,0.241852,0
0.131404,-9.90762,7.47773,0.0149087,1.2105,0.166077,0.201036,FGM,0.422273,0.241852,0.417329,0.422273,0.381943,0.241852,0
0.135219,-9.90762,7.47773,0.0149087,1.2105,0.166077,0.201036,FGM,0.422273,0.241852,0.417329,0.422273,0.381943,0.241852,0
0.139206,-9.8952,7.4782,0.0166389,1.27475,0.167175,0.213106,FGM,0.422273,0.241852,0.417329,0.422273,0.381943,0.241852,0
0.143504,-9.8952,7.4782,0.0166389,1.27475,0.167175,0.213106,FGM,0.422273,0.241852,0.417329,0.422273,0.381943,0.241852,0
0.148953,-9.88216,7.4787,0.0183041,1.33594,0.178811,0.238881,FGM,0.422273,0.241852,0.417329,0.422273,0.381943,0.241852,0
0.151625,-9.88216,7.4787,0.0183041,1.33594,0.178811,0.238881,FGM,0.422273,0.241852,0.417329,0.422273,0.381943,0.241852,0
0.155209,-9.88216,7.4787,0.0183041,1.33594,0.178811,0.238881,FGM,0.422273,0.241852,0.417329,0.422273,0.381943,0.241852,0
