t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000120201,-9.99917,7.475,0,0.118847,0,0,FGM,0.421715,0.144061,0.415938,0.421715,0.0473625,0.144061,0
0.00368853,-9.99917,7.475,0,0.118847,0,0,FGM,0.421715,0.144061,0.415938,0.421715,0.0473625,0.144061,0
0.00732819,-9.99917,7.475,0,0.118847,0,0,FGM,0.421715,0.144061,0.415938,0.421715,0.0473625,0.144061,0
0.0134123,-9.9975,7.475,8.83249e-05,0.213947,0.0207409,0.00443744,FGM,0.421715,0.144061,0.415938,0.421715,0.0473625,0.144061,0
0.0168807,-9.9975,7.475,8.83249e-05,0.213947,0.0207409,0.00443744,FGM,0.421715,0.144061,0.415938,0.421715,0.0473625,0.144061,0
0.0208611,-9.99489,7.475,0.000476477,0.309047,0.0599819,0.0185372,FGM,0.421715,0.144061,0.415938,0.421715,0.0473625,0.144061,0
0.0235546,-9.99489,7.475,0.000476477,0.309047,0.0599819,0.0185372,FGM,0.421715,0.144061,0.415938,0.421715,0.0473625,0.144061,0
0.0267776,-9.99489,7.475,0.000476477,0.309047,0.0599819,0.0185372,FGM,0.417517,0.163452,0.414346,0.417517,0.0473625,0.163452,0
0.0330606,-9.99132,7.475,0.00135008,0.404147,0.117861,0.0476331,FGM,0.417517,0.163452,0.414346,0.417517,0.0473625,0.163452,0
0.0369211,-9.99132,7.475,0.00135008,0.404147,0.117861,0.0476331,FGM,0.417517,0.163452,0.414346,0.417517,0.0473625,0.163452,0
0.0422524,-9.98681,7.47501,0.00243915,0.499247,0.0968973,0.0483756,FGM,0.417517,0.163452,0.414346,0.417517,0.0473625,0.163452,0
0.0460276,-9.98681,7.47501,0.00243915,0.499247,0.0968973,0.0483756,FGM,0.417517,0.163452,0.414346,0.417517,0.0473625,0.163452,0
0.0511112,-9.98134,7.47507,0.00354801,0.594347,0.0605813,0.0360063,FGM,0.417517,0.163452,0.414346,0.417517,0.0473625,0.163452,0
0.0553357,-9.98134,7.47507,0.00354801,0.594347,0.0605813,0.0360063,FGM,0.417517,0.163452,0.414346,0.417517,0.0473625,0.163452,0
0.0607501,-9.97494,7.47526,0.00459497,0.685577,0.106365,0.0729214,FGM,0.417517,0.163452,0.414346,0.417517,0.0473625,0.163452,0
0.0642121,-9.97494,7.47526,0.00459497,0.685577,0.106365,0.0729214,FGM,0.417517,0.163452,0.414346,0.417517,0.0473625,0.163452,0
0.0679338,-9.97494,7.47526,0.00459497,0.685577,0.106365,0.0729214,FGM,0.417517,0.163452,0.414346,0.417517,0.0473625,0.163452,0
0.0731196,-9.96766,7.47551,0.00572571,0.77247,0.105373,0.0813977,FGM,0.417517,0.163452,0.414346,0.417517,0.0473625,0.163452,0
