t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000104385,-9.99917,7.475,0,0.118883,0,0,FGM,0.425869,0.142128,0.425869,0.425869,0.381943,0.142128,0
0.00444572,-9.99917,7.475,0,0.118883,0,0,FGM,0.425869,0.142128,0.425869,0.425869,0.381943,0.142128,0
0.00976681,-9.9975,7.475,8.83427e-05,0.213983,0.0207444,0.00443896,FGM,0.425869,0.142128,0.425869,0.425869,0.381943,0.142128,0
0.0123518,-9.9975,7.475,8.83427e-05,0.213983,0.0207444,0.00443896,FGM,0.425869,0.142128,0.425869,0.425869,0.381943,0.142128,0
0.0163171,-9.9975,7.475,8.83427e-05,0.213983,0.0207444,0.00443896,FGM,0.425869,0.142128,0.425869,0.425869,0.381943,0.142128,0
0.0202877,-9.99489,7.475,0.000476548,0.309083,0.0599891,0.0185416,FGM,0.425869,0.142128,0.425869,0.425869,0.381943,0.142128,0
0.0242048,-9.99489,7.475,0.000476548,0.309083,0.0599891,0.0185416,FGM,0.425869,0.142128,0.425869,0.425869,0.381943,0.142128,0
0.029916,-9.99132,7.475,0.00116873,0.404183,0.0784467,0.0317069,FGM,0.403102,0.171882,0.417424,0.403102,0.381943,0.171882,0
0.0321643,-9.99132,7.475,0.00116873,0.404183,0.0784467,0.0317069,FGM,0.403102,0.171882,0.417424,0.403102,0.381943,0.171882,0
0.0363046,-9.99132,7.475,0.00116873,0.404183,0.0784467,0.0317069,FGM,0.403102,0.171882,0.417424,0.403102,0.381943,0.171882,0
0.0402573,-9.9868,7.47501,0.00227334,0.499283,0.145606,0.0726985,FGM,0.403102,0.171882,0.417424,0.403102,0.381943,0.171882,0
0.0440888,-9.9868,7.47501,0.00227334,0.499283,0.145606,0.0726985,FGM,0.403102,0.171882,0.417424,0.403102,0.381943,0.171882,0
0.0497964,-9.98134,7.47507,0.00354673,0.594383,0.0686398,0.0407984,FGM,0.403102,0.171882,0.417424,0.403102,0.381943,0.171882,0
0.0523344,-9.98134,7.47507,0.00354673,0.594383,0.0686398,0.0407984,FGM,0.403102,0.171882,0.417424,0.403102,0.381943,0.171882,0
0.05618,-9.98134,7.47507,0.00354673,0.594383,0.0686398,0.0407984,FGM,0.403102,0.171882,0.417424,0.403102,0.381943,0.171882,0
0.0600998,-9.97494,7.47526,0.00451627,0.684981,0.123399,0.0845259,FGM,0.403102,0.171882,0.417424,0.403102,0.381943,0.171882,0
0.0642811,-9.97494,7.47526,0.00451627,0.684981,0.123399,0.0845259,FGM,0.403102,0.171882,0.417424,0.403102,0.381943,0.171882,0
0.0698723,-9.96767,7.47553,0.00594731,0.77127,0.146079,0.112666,FGM,0.403102,0.171882,0.417424,0.403102,0.381943,0.171882,0
0.0720576,-9.96767,7.47553,0.00594731,0.77127,0.146079,0.112666,FGM,0.403102,0.171882,0.417424,0.403102,0.381943,0.171882,0
0.07616,-9.96767,7.47553,0.00594731,0.77127,0.146079,0.112666,FGM,0.403102,0.171882,0.417424,0.403102,0.381943,0.171882,0
0.0803096,-9.95955,7.47583,0.00736214,0.853457,0.12971,0.110702,FGM,0.428727,0.201543,0.429218,0.428727,0.381943,0.201543,0
0.0844287,-9.95955,7.47583,0.00736214,0.853457,0.12971,0.110702,FGM,0.428727,0.201543,0.429218,0.428727,0.381943,0.201543,0
0.0894335,-9.95063,7.47614,0.00863289,0.931608,0.138388,0.128924,FGM,0.428727,0.201543,0.429218,0.428727,0.381943,0.201543,0
0.0921261,-9.95063,7.47614,0.00863289,0.931608,0.138388,0.128924,FGM,0.428727,0.201543,0.429218,0.428727,0.381943,0.201543,0
