t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
7.3895e-05,-9.99917,7.475,0,0.118868,0,0,NONE,0,0,0,0,0,0,0
0.00427795,-9.99917,7.475,0,0.118868,0,0,NONE,0,0,0,0,0,0,0
0.0105469,-9.9975,7.475,8.83351e-05,0.213968,0.0207429,0.00443831,NONE,0,0,0,0,0,0,0
0.0145737,-9.9975,7.475,8.83351e-05,0.213968,0.0207429,0.00443831,NONE,0,0,0,0,0,0,0
0.0219592,-9.99489,7.475,0.000476517,0.309068,0.059986,0.0185397,NONE,0,0,0,0,0,0,0
0.026679,-9.99489,7.475,0.000476517,0.309068,0.059986,0.0185397,NONE,0,0,0,0,0,0,0
0.0345436,-9.99132,7.475,0.00135017,0.404168,0.117867,0.0476381,NONE,0,0,0,0,0,0,0
0.0410519,-9.98681,7.47501,0.00243929,0.499268,0.0969014,0.0483797,NONE,0,0,0,0,0,0,0
0.0450923,-9.98681,7.47501,0.00243929,0.499268,0.0969014,0.0483797,NONE,0,0,0,0,0,0,0
0.0523334,-9.98134,7.47507,0.0035485,0.593462,0.0611462,0.0362879,NONE,0,0,0,0,0,0,0
0.0615616,-9.97496,7.47526,0.00459964,0.683177,0.106571,0.0728067,NONE,0,0,0,0,0,0,0
0.0655378,-9.97496,7.47526,0.00459964,0.683177,0.106571,0.0728067,NONE,0,0,0,0,0,0,0
0.0723436,-9.96771,7.47551,0.0057298,0.768626,0.105024,0.0807243,NONE,0,0,0,0,0,0,0
0.0792279,-9.95962,7.47576,0.00679854,0.850012,0.121019,0.102868,NONE,0,0,0,0,0,0,0
0.0832734,-9.95962,7.47576,0.00679854,0.850012,0.121019,0.102868,NONE,0,0,0,0,0,0,0
0.0906226,-9.95073,7.47604,0.00807669,0.9291,0.121988,0.113339,NONE,0,0,0,0,0,0,0
0.0942927,-9.95073,7.47604,0.00807669,0.9291,0.121988,0.113339,NONE,0,0,0,0,0,0,0
0.100866,-9.94106,7.47635,0.0093091,1.00443,0.13702,0.137627,NONE,0,0,0,0,0,0,0
0.105034,-9.94106,7.47635,0.0093091,1.00443,0.13702,0.137627,NONE,0,0,0,0,0,0,0
0.11214,-9.93067,7.47669,0.0107545,1.07617,0.139293,0.149904,NONE,0,0,0,0,0,0,0
0.116242,-9.93067,7.47669,0.0107545,1.07617,0.139293,0.149904,NONE,0,0,0,0,0,0,0
0.123025,-9.91957,7.47706,0.0121545,1.14451,0.153364,0.175527,NONE,0,0,0,0,0,0,0
0.129157,-9.90781,7.47747,0.0137659,1.20959,0.155917,0.188596,NONE,0,0,0,0,0,0,0
0.132787,-9.90781,7.47747,0.0137659,1.20959,0.155917,0.188596,NONE,0,0,0,0,0,0,0
0.139392,-9.8954,7.47791,0.0153259,1.2734,0.168885,0.215059,NONE,0,0,0,0,0,0,0
0.143575,-9.8954,7.47791,0.0153259,1.2734,0.168885,0.215059,NONE,0,0,0,0,0,0,0
0.151295,-9.88237,7.47839,0.0170934,1.33418,0.171467,0.228767,NONE,0,0,0,0,0,0,0
0.155577,-9.88237,7.47839,0.0170934,1.33418,0.171467,0.228767,NONE,0,0,0,0,0,0,0
0.164066,-9.86875,7.47891,0.0188038,1.39206,0.183677,0.25569,NONE,0,0,0,0,0,0,0
0.17169,-9.85456,7.47948,0.0207194,1.4472,0.186001,0.26918,NONE,0,0,0,0,0,0,0
0.176692,-9.85456,7.47948,0.0207194,1.4472,0.186001,0.26918,NONE,0,0,0,0,0,0,0
0.18425,-9.83984,7.48009,0.0225697,1.49971,0.197401,0.296044,NONE,0,0,0,0,0,0,0
0.19097,-9.82459,7.48075,0.0246201,1.55249,0.199219,0.309285,NONE,0,0,0,0,0,0,0
0.194833,-9.82459,7.48075,0.0246201,1.55249,0.199219,0.309285,NONE,0,0,0,0,0,0,0
0.201434,-9.80883,7.48145,0.0265981,1.60277,0.209835,0.336317,NONE,0,0,0,0,0,0,0
0.205766,-9.80883,7.48145,0.0265981,1.60277,0.209835,0.336317,NONE,0,0,0,0,0,0,0
0.213831,-9.79258,7.48221,0.0287746,1.65065,0.211663,0.349382,NONE,0,0,0,0,0,0,0
0.220306,-9.77587,7.48301,0.0308732,1.69626,0.221795,0.376223,NONE,0,0,0,0,0,0,0
0.224533,-9.77587,7.48301,0.0308732,1.69626,0.221795,0.376223,NONE,0,0,0,0,0,0,0
0.230894,-9.75871,7.48388,0.0331693,1.7397,0.223315,0.388501,NONE,0,0,0,0,0,0,0
0.235204,-9.75871,7.48388,0.0331693,1.7397,0.223315,0.388501,NONE,0,0,0,0,0,0,0
0.242113,-9.74113,7.48479,0.0353801,1.78155,0.232827,0.414792,NONE,0,0,0,0,0,0,0
0.246275,-9.74113,7.48479,0.0353801,1.78155,0.232827,0.414792,NONE,0,0,0,0,0,0,0
0.252886,-9.72314,7.48576,0.0377859,1.8214,0.234006,0.42622,NONE,0,0,0,0,0,0,0
0.260281,-9.70477,7.48679,0.0401002,1.85937,0.243082,0.451978,NONE,0,0,0,0,0,0,0
0.264033,-9.70477,7.48679,0.0401002,1.85937,0.243082,0.451978,NONE,0,0,0,0,0,0,0
0.270744,-9.68602,7.48789,0.0426083,1.89552,0.243957,0.462426,NONE,0,0,0,0,0,0,0
0.27559,-9.68602,7.48789,0.0426083,1.89552,0.243957,0.462426,NONE,0,0,0,0,0,0,0
0.282245,-9.66693,7.48903,0.0450186,1.92996,0.252587,0.487482,NONE,0,0,0,0,0,0,0
0.290314,-9.64747,7.49026,0.0476131,1.96925,0.2522,0.496645,NONE,0,0,0,0,0,0,0
0.294248,-9.64747,7.49026,0.0476131,1.96925,0.2522,0.496645,NONE,0,0,0,0,0,0,0
0.301203,-9.62763,7.49153,0.0501023,2.00667,0.259953,0.521639,NONE,0,0,0,0,0,0,0
0.305595,-9.62763,7.49153,0.0501023,2.00667,0.259953,0.521639,NONE,0,0,0,0,0,0,0
0.313581,-9.60743,7.49289,0.0527774,2.04231,0.260557,0.532138,NONE,0,0,0,0,0,0,0
0.322798,-9.58689,7.49431,0.0553507,2.07626,0.268588,0.557658,NONE,0,0,0,0,0,0,0
0.326164,-9.58689,7.49431,0.0553507,2.07626,0.268588,0.557658,NONE,0,0,0,0,0,0,0
0.332721,-9.56602,7.49582,0.0581138,2.10859,0.269248,0.567734,NONE,0,0,0,0,0,0,0
0.340694,-9.54482,7.49736,0.060516,2.14258,0.202156,0.433137,NONE,0,0,0,0,0,0,0
0.344675,-9.54482,7.49736,0.060516,2.14258,0.202156,0.433137,NONE,0,0,0,0,0,0,0
0.35116,-9.52329,7.49891,0.0622722,2.17496,0.167042,0.36331,NONE,0,0,0,0,0,0,0
0.355255,-9.52329,7.49891,0.0622722,2.17496,0.167042,0.36331,NONE,0,0,0,0,0,0,0
0.362852,-9.50144,7.50049,0.0638705,2.2058,0.139809,0.308392,NONE,0,0,0,0,0,0,0
0.36964,-9.47929,7.50208,0.0651326,2.23517,0.128692,0.287648,NONE,0,0,0,0,0,0,0
0.374275,-9.47929,7.50208,0.0651326,2.23517,0.128692,0.287648,NONE,0,0,0,0,0,0,0
0.381226,-9.45686,7.50372,0.0664283,2.26315,0.116201,0.262981,NONE,0,0,0,0,0,0,0
0.385203,-9.45686,7.50372,0.0664283,2.26315,0.116201,0.262981,NONE,0,0,0,0,0,0,0
0.392435,-9.43413,7.50537,0.0675026,2.2956,0.113798,0.261234,NONE,0,0,0,0,0,0,0
0.404107,-9.41108,7.50708,0.0686795,2.32651,0.107115,0.249204,NONE,0,0,0,0,0,0,0
0.419311,-9.38773,7.50881,0.0696828,2.35595,0.108592,0.255838,NONE,0,0,0,0,0,0,0
0.427896,-9.3641,7.51059,0.0708222,2.38399,0.104429,0.248958,NONE,0,0,0,0,0,0,0
0.437224,-9.34019,7.5124,0.0718062,2.4107,0.107498,0.259144,NONE,0,0,0,0,0,0,0
0.446731,-9.31603,7.51426,0.0729402,2.43755,0.104296,0.254226,NONE,0,0,0,0,0,0,0
0.455935,-9.29159,7.51615,0.0739256,2.46313,0.107932,0.26585,NONE,0,0,0,0,0,0,0
0.463491,-9.26692,7.51809,0.0750678,2.4875,0.1053,0.261933,NONE,0,0,0,0,0,0,0
0.474511,-9.24201,7.52006,0.0760642,2.51071,0.109269,0.274342,NONE,0,0,0,0,0,0,0
0.481081,-9.21687,7.52209,0.0772219,2.53281,0.106864,0.270666,NONE,0,0,0,0,0,0,0
0.485059,-9.21687,7.52209,0.0772219,2.53281,0.106864,0.270666,NONE,0,0,0,0,0,0,0
0.49187,-9.19149,7.52415,0.0782318,2.55985,0.110173,0.282026,NONE,0,0,0,0,0,0,0
0.496971,-9.19149,7.52415,0.0782318,2.55985,0.110173,0.282026,NONE,0,0,0,0,0,0,0
0.505474,-9.16585,7.52627,0.0793964,2.5856,0.107667,0.278383,NONE,0,0,0,0,0,0,0
0.512316,-9.13996,7.52842,0.0804165,2.61013,0.111534,0.291118,NONE,0,0,0,0,0,0,0
0.516517,-9.13996,7.52842,0.0804165,2.61013,0.111534,0.291118,NONE,0,0,0,0,0,0,0
0.525848,-9.11384,7.53063,0.0815975,2.63349,0.10937,0.288026,NONE,0,0,0,0,0,0,0
0.532704,-9.08748,7.53287,0.0826347,2.65574,0.113409,0.301186,NONE,0,0,0,0,0,0,0
0.539521,-9.06091,7.53517,0.0838329,2.67986,0.111025,0.297531,NONE,0,0,0,0,0,0,0
0.544023,-9.06091,7.53517,0.0838329,2.67986,0.111025,0.297531,NONE,0,0,0,0,0,0,0
0.551675,-9.03409,7.53751,0.0848857,2.70283,0.114829,0.310362,NONE,0,0,0,0,0,0,0
0.555962,-9.03409,7.53751,0.0848857,2.70283,0.114829,0.310362,NONE,0,0,0,0,0,0,0
0.562891,-9.00706,7.53991,0.0861006,2.72471,0.112741,0.307187,NONE,0,0,0,0,0,0,0
0.570469,-8.97982,7.54234,0.0871706,2.74555,0.116693,0.320385,NONE,0,0,0,0,0,0,0
0.574924,-8.97982,7.54234,0.0871706,2.74555,0.116693,0.320385,NONE,0,0,0,0,0,0,0
0.581287,-8.95238,7.54483,0.0884052,2.76539,0.114683,0.317143,NONE,0,0,0,0,0,0,0
0.58535,-8.95238,7.54483,0.0884052,2.76539,0.114683,0.317143,NONE,0,0,0,0,0,0,0
0.591946,-8.92471,7.54736,0.089491,2.79073,0.117643,0.32831,NONE,0,0,0,0,0,0,0
0.596483,-8.92471,7.54736,0.089491,2.79073,0.117643,0.32831,NONE,0,0,0,0,0,0,0
0.603686,-8.89681,7.54996,0.0907317,2.81485,0.115287,0.324516,NONE,0,0,0,0,0,0,0
0.610499,-8.86866,7.55259,0.0918261,2.83783,0.118884,0.337372,NONE,0,0,0,0,0,0,0
0.614367,-8.86866,7.55259,0.0918261,2.83783,0.118884,0.337372,NONE,0,0,0,0,0,0,0
0.621223,-8.8403,7.55529,0.093082,2.85972,0.116918,0.334353,NONE,0,0,0,0,0,0,0
0.626336,-8.8403,7.55529,0.093082,2.85972,0.116918,0.334353,NONE,0,0,0,0,0,0,0
0.635621,-8.81173,7.55803,0.0941931,2.88057,0.120728,0.347766,NONE,0,0,0,0,0,0,0
0.645693,-8.78293,7.56083,0.0954605,2.90792,0.117861,0.342731,NONE,0,0,0,0,0,0,0
0.654168,-8.75386,7.56368,0.0965791,2.93398,0.120926,0.354793,NONE,0,0,0,0,0,0,0
0.66179,-8.72454,7.5666,0.0978539,2.9588,0.118911,0.351833,NONE,0,0,0,0,0,0,0
0.666098,-8.72454,7.5666,0.0978539,2.9588,0.118911,0.351833,NONE,0,0,0,0,0,0,0
0.672358,-8.69498,7.56954,0.0987083,2.98244,0.0412594,0.123053,NONE,0,0,0,0,0,0,0
