t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
6.1291e-05,-5.41499,2.73551,-1.62048,3.17146,-0.70678,-2.24153,NONE,0,0,0,0,0,0,0
0.00311123,-10,7.475,0,0,0,0,NONE,0,0,0,0,0,0,0

--- Experiment Summary ---
Scenario,Mux_playground_WS1.0_WT1.0_WC1.0_WCL1.0_WD1.0_Opp_bumper_slow_0.5.csv
Finish Reason,COLLISION DETECTED
Duration (s),0.00
Total Dist (m),6.59
Collision,YES
Min Dist (m),0.00
Unsafe Ratio,1.00
FGM Min Dist (m),1000000000.00
FGM Unsafe Ratio,0.00
FGM Track RMS (m),0.00
