t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000113882,-9.99917,7.475,0,0.118938,0,0,NONE,0,0,0,0,0,0,0
0.0117238,-9.9975,7.475,8.83692e-05,0.214038,0.0207497,0.00444123,NONE,0,0,0,0,0,0,0
0.0232093,-9.99489,7.475,0.000476654,0.309138,0.0599997,0.0185482,NONE,0,0,0,0,0,0,0
0.0305315,-9.99132,7.475,0.00135048,0.404238,0.117888,0.0476547,NONE,0,0,0,0,0,0,0
0.0387762,-9.9868,7.47501,0.00243977,0.499338,0.096915,0.0483934,NONE,0,0,0,0,0,0,0
0.0480003,-9.98133,7.47507,0.00354876,0.594438,0.0606101,0.0360289,NONE,0,0,0,0,0,0,0
0.0573384,-9.97494,7.47526,0.00459662,0.685185,0.106421,0.0729181,NONE,0,0,0,0,0,0,0
0.0649637,-9.96766,7.47552,0.00586911,0.771617,0.152353,0.117558,NONE,0,0,0,0,0,0,0
0.0697501,-9.96766,7.47552,0.00586911,0.771617,0.152353,0.117558,NONE,0,0,0,0,0,0,0
0.0802023,-9.95954,7.47585,0.00755755,0.85394,0.170474,0.145574,NONE,0,0,0,0,0,0,0
0.0879227,-9.95061,7.47622,0.00918382,0.932336,0.14822,0.138191,NONE,0,0,0,0,0,0,0
0.0982164,-9.94092,7.47658,0.0106182,1.007,0.152939,0.15401,NONE,0,0,0,0,0,0,0
0.106683,-9.93051,7.47697,0.0121921,1.07812,0.149676,0.161369,NONE,0,0,0,0,0,0,0
0.115353,-9.91939,7.47738,0.0136775,1.14586,0.160414,0.183812,NONE,0,0,0,0,0,0,0
0.119916,-9.91939,7.47738,0.0136775,1.14586,0.160414,0.183812,NONE,0,0,0,0,0,0,0
0.126756,-9.90762,7.47783,0.0153478,1.21037,0.160774,0.194596,NONE,0,0,0,0,0,0,0
0.133337,-9.8952,7.4783,0.0169488,1.27475,0.172282,0.219615,NONE,0,0,0,0,0,0,0
0.137442,-9.8952,7.4783,0.0169488,1.27475,0.172282,0.219615,NONE,0,0,0,0,0,0,0
