t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
8.7103e-05,-9.9989,7.475,0,0.136944,0,0,FGM,7.98509,0.101375,6.12309,7.98509,0.0473625,0.101375,0
0.000196102,-9.99979,7.475,0,0.041844,0,0,FGM,7.98509,0.101375,6.12309,7.98509,0.0473625,0.101375,0

--- Experiment Summary ---
Scenario,Mux_playground_WS1.0_WT1.0_WC1.0_WCL1.0_WD1.0_Opp_bumper_slow_1.csv
Finish Reason,COLLISION DETECTED
Duration (s),0.00
Total Dist (m),0.00
Collision,YES
Min Dist (m),7.99
Unsafe Ratio,0.00
FGM Min Dist (m),7.99
FGM Unsafe Ratio,0.00
FGM Track RMS (m),0.10
