t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
8.4065e-05,-9.99917,7.475,0,0.11874,0,0,NONE,0,0,0,0,0,0,0
0.00971266,-9.99751,7.475,8.82733e-05,0.21384,0.0207305,0.00443302,NONE,0,0,0,0,0,0,0
0.0205121,-9.99489,7.475,0.00047627,0.30894,0.0599613,0.0185245,NONE,0,0,0,0,0,0,0
0.029852,-9.99133,7.475,0.00134962,0.40404,0.11783,0.0476081,NONE,0,0,0,0,0,0,0
0.0392254,-9.98681,7.47501,0.00243842,0.49914,0.0968766,0.048355,NONE,0,0,0,0,0,0,0
0.057888,-9.98135,7.47507,0.00354714,0.59424,0.0605478,0.0359799,NONE,0,0,0,0,0,0,0
0.0708106,-9.97495,7.47526,0.00459452,0.685141,0.106357,0.0728698,NONE,0,0,0,0,0,0,0
0.0812462,-9.96767,7.47551,0.00572494,0.771719,0.105286,0.0812513,NONE,0,0,0,0,0,0,0
0.0915006,-9.95955,7.47576,0.00679734,0.85418,0.121344,0.10365,NONE,0,0,0,0,0,0,0
0.100573,-9.95062,7.47605,0.00807969,0.932208,0.122366,0.11407,NONE,0,0,0,0,0,0,0
0.110846,-9.94093,7.47635,0.00931548,1.00653,0.137381,0.138278,NONE,0,0,0,0,0,0,0
0.119633,-9.93052,7.47669,0.0107643,1.07731,0.139547,0.150335,NONE,0,0,0,0,0,0,0
0.132864,-9.91941,7.47706,0.0121662,1.14473,0.15357,0.175796,NONE,0,0,0,0,0,0,0
0.143057,-9.90765,7.47747,0.0137795,1.20894,0.156,0.188594,NONE,0,0,0,0,0,0,0
0.151876,-9.89526,7.47791,0.0153398,1.2706,0.168999,0.21473,NONE,0,0,0,0,0,0,0
0.163866,-9.88227,7.4784,0.017108,1.32932,0.171334,0.227758,NONE,0,0,0,0,0,0,0
0.171868,-9.86871,7.47891,0.0188159,1.38526,0.183461,0.254141,NONE,0,0,0,0,0,0,0
0.181441,-9.8546,7.47948,0.0207287,1.43853,0.185506,0.266857,NONE,0,0,0,0,0,0,0
0.188764,-9.83997,7.48008,0.0225729,1.48927,0.19682,0.293119,NONE,0,0,0,0,0,0,0
0.200182,-9.82484,7.48074,0.0246168,1.5403,0.198378,0.305562,NONE,0,0,0,0,0,0,0
0.209145,-9.80921,7.48144,0.0265853,1.58891,0.208923,0.33196,NONE,0,0,0,0,0,0,0
0.217997,-9.79311,7.48219,0.0287521,1.6352,0.210497,0.344206,NONE,0,0,0,0,0,0,0
0.224529,-9.79311,7.48219,0.0287521,1.6352,0.210497,0.344206,NONE,0,0,0,0,0,0,0
0.235025,-9.77655,7.48299,0.0308381,1.6793,0.220565,0.370393,NONE,0,0,0,0,0,0,0
0.2435,-9.75956,7.48384,0.0331194,1.72325,0.221672,0.381997,NONE,0,0,0,0,0,0,0
0.254023,-9.74214,7.48475,0.0353133,1.76512,0.231124,0.407961,NONE,0,0,0,0,0,0,0
0.265188,-9.72432,7.48572,0.0377017,1.80499,0.232217,0.419149,NONE,0,0,0,0,0,0,0
0.276241,-9.70611,7.48673,0.0399981,1.84297,0.241311,0.444728,NONE,0,0,0,0,0,0,0
0.28581,-9.68753,7.48782,0.0424883,1.87914,0.242141,0.455017,NONE,0,0,0,0,0,0,0
0.299719,-9.66879,7.48894,0.0449047,1.87635,0.257483,0.483128,NONE,0,0,0,0,0,0,0
0.314489,-9.65007,7.49013,0.0475705,1.87409,0.257646,0.482851,NONE,0,0,0,0,0,0,0
0.325504,-9.63138,7.49131,0.0498086,1.87226,0.179956,0.336924,NONE,0,0,0,0,0,0,0
0.334051,-9.61269,7.49244,0.0510318,1.87078,0.0591159,0.110593,NONE,0,0,0,0,0,0,0
0.343522,-9.59402,7.49347,0.0512054,1.86958,-0.000504557,-0.00094331,NONE,0,0,0,0,0,0,0
0.35309,-9.57536,7.49447,0.0510618,1.86861,-0.0418906,-0.0782771,NONE,0,0,0,0,0,0,0
0.362854,-9.5567,7.4954,0.0504692,1.86782,-0.0572747,-0.106979,NONE,0,0,0,0,0,0,0
0.372227,-9.53805,7.49631,0.0498938,1.86718,-0.0739638,-0.138104,NONE,0,0,0,0,0,0,0
0.385591,-9.5194,7.49718,0.0490567,1.86667,-0.0755312,-0.140992,NONE,0,0,0,0,0,0,0
0.394428,-9.50075,7.49803,0.0483414,1.86625,-0.0844466,-0.157598,NONE,0,0,0,0,0,0,0
0.40473,-9.48211,7.49885,0.0474236,1.86591,-0.0816242,-0.152303,NONE,0,0,0,0,0,0,0
0.415143,-9.46347,7.49965,0.0466611,1.86564,-0.0880348,-0.164241,NONE,0,0,0,0,0,0,0
0.425273,-9.44483,7.50043,0.0457154,1.86542,-0.0837753,-0.156276,NONE,0,0,0,0,0,0,0
0.434238,-9.42619,7.50119,0.0449359,1.86524,-0.0893468,-0.166653,NONE,0,0,0,0,0,0,0
0.443555,-9.40755,7.50193,0.0439797,1.86509,-0.084594,-0.157775,NONE,0,0,0,0,0,0,0
0.453193,-9.38892,7.50265,0.0431937,1.86497,-0.0898672,-0.1676,NONE,0,0,0,0,0,0,0
0.462512,-9.37028,7.50335,0.0422333,1.86488,-0.0849333,-0.15839,NONE,0,0,0,0,0,0,0
0.470941,-9.35165,7.50405,0.0414445,1.8648,-0.0900919,-0.168003,NONE,0,0,0,0,0,0,0
0.483988,-9.33301,7.50471,0.0404823,1.86474,-0.0850859,-0.158663,NONE,0,0,0,0,0,0,0
0.495044,-9.31438,7.50537,0.0396922,1.86469,-0.0901965,-0.168188,NONE,0,0,0,0,0,0,0
0.505154,-9.29574,7.506,0.0387291,1.86465,-0.0851591,-0.158792,NONE,0,0,0,0,0,0,0
