t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
9.6383e-05,-9.99917,7.475,0,0.11878,0,0,FGM,0.405385,0.150993,0.415219,0.405385,0.381943,0.150993,0
0.00413953,-9.99917,7.475,0,0.11878,0,0,FGM,0.405385,0.150993,0.415219,0.405385,0.381943,0.150993,0
0.00976032,-9.99751,7.475,8.82925e-05,0.21388,0.0207344,0.00443466,FGM,0.405385,0.150993,0.415219,0.405385,0.381943,0.150993,0
0.0128091,-9.99751,7.475,8.82925e-05,0.21388,0.0207344,0.00443466,FGM,0.405385,0.150993,0.415219,0.405385,0.381943,0.150993,0
0.016282,-9.99751,7.475,8.82925e-05,0.21388,0.0207344,0.00443466,FGM,0.405385,0.150993,0.415219,0.405385,0.381943,0.150993,0
0.0222363,-9.99489,7.475,0.000476347,0.30898,0.059969,0.0185292,FGM,0.405385,0.150993,0.415219,0.405385,0.381943,0.150993,0
0.0249478,-9.99489,7.475,0.000476347,0.30898,0.059969,0.0185292,FGM,0.417953,0.163784,0.425945,0.417953,0.381943,0.163784,0
0.0298091,-9.99133,7.475,0.00134979,0.40408,0.117842,0.0476174,FGM,0.417953,0.163784,0.425945,0.417953,0.381943,0.163784,0
0.0320818,-9.99133,7.475,0.00134979,0.40408,0.117842,0.0476174,FGM,0.417953,0.163784,0.425945,0.417953,0.381943,0.163784,0
0.036235,-9.99133,7.475,0.00134979,0.40408,0.117842,0.0476174,FGM,0.417953,0.163784,0.425945,0.417953,0.381943,0.163784,0
0.040178,-9.98681,7.47501,0.00243869,0.49918,0.0968843,0.0483627,FGM,0.417953,0.163784,0.425945,0.417953,0.381943,0.163784,0
0.0440312,-9.98681,7.47501,0.00243869,0.49918,0.0968843,0.0483627,FGM,0.417953,0.163784,0.425945,0.417953,0.381943,0.163784,0
0.0493376,-9.98134,7.47507,0.00354747,0.59428,0.0605603,0.0359897,FGM,0.417953,0.163784,0.425945,0.417953,0.381943,0.163784,0
0.051981,-9.98134,7.47507,0.00354747,0.59428,0.0605603,0.0359897,FGM,0.417953,0.163784,0.425945,0.417953,0.381943,0.163784,0
0.0560957,-9.98134,7.47507,0.00354747,0.59428,0.0605603,0.0359897,FGM,0.417953,0.163784,0.425945,0.417953,0.381943,0.163784,0
0.060154,-9.97495,7.47526,0.00459448,0.685431,0.106352,0.0728969,FGM,0.417953,0.163784,0.425945,0.417953,0.381943,0.163784,0
0.0640233,-9.97495,7.47526,0.00459448,0.685431,0.106352,0.0728969,FGM,0.417953,0.163784,0.425945,0.417953,0.381943,0.163784,0
0.0693311,-9.96766,7.47551,0.00572507,0.772248,0.105345,0.0813524,FGM,0.417953,0.163784,0.425945,0.417953,0.381943,0.163784,0
0.0720973,-9.96766,7.47551,0.00572507,0.772248,0.105345,0.0813524,FGM,0.417953,0.163784,0.425945,0.417953,0.381943,0.163784,0
0.0760649,-9.96766,7.47551,0.00572507,0.772248,0.105345,0.0813524,FGM,0.419241,0.198223,0.417756,0.419241,0.381943,0.198223,0
0.0801005,-9.95953,7.47576,0.0067982,0.854936,0.121406,0.103795,FGM,0.419241,0.198223,0.417756,0.419241,0.381943,0.198223,0
0.0838775,-9.95953,7.47576,0.0067982,0.854936,0.121406,0.103795,FGM,0.419241,0.198223,0.417756,0.419241,0.381943,0.198223,0
0.0896318,-9.9506,7.47605,0.00808132,0.932969,0.122454,0.114246,FGM,0.419241,0.198223,0.417756,0.419241,0.381943,0.198223,0
0.092109,-9.9506,7.47605,0.00808132,0.932969,0.122454,0.114246,FGM,0.419241,0.198223,0.417756,0.419241,0.381943,0.198223,0
0.0962457,-9.9506,7.47605,0.00808132,0.932969,0.122454,0.114246,FGM,0.419241,0.198223,0.417756,0.419241,0.381943,0.198223,0
0.0999644,-9.9409,7.47635,0.00931801,1.00729,0.137467,0.13847,FGM,0.419241,0.198223,0.417756,0.419241,0.381943,0.198223,0
0.104008,-9.9409,7.47635,0.00931801,1.00729,0.137467,0.13847,FGM,0.419241,0.198223,0.417756,0.419241,0.381943,0.198223,0
0.109546,-9.93048,7.47669,0.0107678,1.07808,0.139641,0.150544,FGM,0.419241,0.198223,0.417756,0.419241,0.381943,0.198223,0
0.112037,-9.93048,7.47669,0.0107678,1.07808,0.139641,0.150544,FGM,0.419241,0.198223,0.417756,0.419241,0.381943,0.198223,0
0.116171,-9.93048,7.47669,0.0107678,1.07808,0.139641,0.150544,FGM,0.419241,0.198223,0.417756,0.419241,0.381943,0.198223,0
0.119975,-9.91937,7.47706,0.0121706,1.1455,0.153659,0.176017,FGM,0.419241,0.198223,0.417756,0.419241,0.381943,0.198223,0
0.124073,-9.91937,7.47706,0.0121706,1.1455,0.153659,0.176017,FGM,0.423686,0.230848,0.260903,0.423686,0.258958,0.230848,0
0.129446,-9.90758,7.47747,0.0137832,1.21308,0.15615,0.189423,FGM,0.423686,0.230848,0.260903,0.423686,0.258958,0.230848,0
0.132163,-9.90758,7.47747,0.0137832,1.21308,0.15615,0.189423,FGM,0.423686,0.230848,0.260903,0.423686,0.258958,0.230848,0
0.136055,-9.90758,7.47747,0.0137832,1.21308,0.15615,0.189423,FGM,0.423686,0.230848,0.260903,0.423686,0.258958,0.230848,0
0.139766,-9.89514,7.47791,0.0153462,1.27745,0.169188,0.216129,FGM,0.423686,0.230848,0.260903,0.423686,0.258958,0.230848,0
0.144081,-9.89514,7.47791,0.0153462,1.27745,0.169188,0.216129,FGM,0.423686,0.230848,0.260903,0.423686,0.258958,0.230848,0
0.149614,-9.88206,7.4784,0.017117,1.33875,0.171879,0.230103,FGM,0.423686,0.230848,0.260903,0.423686,0.258958,0.230848,0
0.151947,-9.88206,7.4784,0.017117,1.33875,0.171879,0.230103,FGM,0.423686,0.230848,0.260903,0.423686,0.258958,0.230848,0
