t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
7.4053e-05,-9.99917,7.475,0,0.118878,0,0,FGM,0.420049,0.145237,0.420049,0.420049,0.381943,0.145237,0
0.00213348,-9.99917,7.475,0,0.118878,0,0,FGM,0.420049,0.145237,0.420049,0.420049,0.381943,0.145237,0
0.00645884,-9.99917,7.475,0,0.118878,0,0,FGM,0.420049,0.145237,0.420049,0.420049,0.381943,0.145237,0
0.0103408,-9.9975,7.475,8.83402e-05,0.213978,0.0207439,0.00443875,FGM,0.420049,0.145237,0.420049,0.420049,0.381943,0.145237,0
0.0144959,-9.9975,7.475,8.83402e-05,0.213978,0.0207439,0.00443875,FGM,0.420049,0.145237,0.420049,0.420049,0.381943,0.145237,0
0.020958,-9.99489,7.475,0.000476538,0.309078,0.0599881,0.018541,FGM,0.420049,0.145237,0.420049,0.420049,0.381943,0.145237,0
0.0231127,-9.99489,7.475,0.000476538,0.309078,0.0599881,0.018541,FGM,0.420049,0.145237,0.420049,0.420049,0.381943,0.145237,0
0.0264788,-9.99489,7.475,0.000476538,0.309078,0.0599881,0.018541,FGM,0.420049,0.145237,0.420049,0.420049,0.381943,0.145237,0
0.0306032,-9.99132,7.475,0.00135022,0.404178,0.11787,0.0476406,FGM,0.422227,0.168927,0.424794,0.422227,0.381943,0.168927,0
0.0345052,-9.99132,7.475,0.00135022,0.404178,0.11787,0.0476406,FGM,0.422227,0.168927,0.424794,0.422227,0.381943,0.168927,0
0.0400562,-9.9868,7.47501,0.00243936,0.499278,0.0969034,0.0483818,FGM,0.422227,0.168927,0.424794,0.422227,0.381943,0.168927,0
0.0422846,-9.9868,7.47501,0.00243936,0.499278,0.0969034,0.0483818,FGM,0.422227,0.168927,0.424794,0.422227,0.381943,0.168927,0
0.0461677,-9.9868,7.47501,0.00243936,0.499278,0.0969034,0.0483818,FGM,0.422227,0.168927,0.424794,0.422227,0.381943,0.168927,0
0.0503847,-9.98134,7.47507,0.00354827,0.594378,0.0605913,0.0360141,FGM,0.422227,0.168927,0.424794,0.422227,0.381943,0.168927,0
0.0543296,-9.98134,7.47507,0.00354827,0.594378,0.0605913,0.0360141,FGM,0.422227,0.168927,0.424794,0.422227,0.381943,0.168927,0
0.0598031,-9.97494,7.47526,0.00459519,0.685655,0.10637,0.0729335,FGM,0.422227,0.168927,0.424794,0.422227,0.381943,0.168927,0
0.062269,-9.97494,7.47526,0.00459519,0.685655,0.10637,0.0729335,FGM,0.422227,0.168927,0.424794,0.422227,0.381943,0.168927,0
0.0663066,-9.97494,7.47526,0.00459519,0.685655,0.10637,0.0729335,FGM,0.422227,0.168927,0.424794,0.422227,0.381943,0.168927,0
0.0700673,-9.96765,7.47551,0.005726,0.772592,0.105388,0.0814223,FGM,0.422227,0.168927,0.424794,0.422227,0.381943,0.168927,0
0.0743131,-9.96765,7.47551,0.005726,0.772592,0.105388,0.0814223,FGM,0.422227,0.168927,0.424794,0.422227,0.381943,0.168927,0
0.0800558,-9.95952,7.47576,0.00679962,0.855395,0.121448,0.103886,FGM,0.423568,0.203388,0.422474,0.423568,0.381943,0.203388,0
0.0822142,-9.95952,7.47576,0.00679962,0.855395,0.121448,0.103886,FGM,0.423568,0.203388,0.422474,0.423568,0.381943,0.203388,0
0.0863723,-9.95952,7.47576,0.00679962,0.855395,0.121448,0.103886,FGM,0.423568,0.203388,0.422474,0.423568,0.381943,0.203388,0
0.0901086,-9.95057,7.47605,0.00808316,0.933855,0.122546,0.11444,FGM,0.423568,0.203388,0.422474,0.423568,0.381943,0.203388,0
0.0941746,-9.95057,7.47605,0.00808316,0.933855,0.122546,0.11444,FGM,0.423568,0.203388,0.422474,0.423568,0.381943,0.203388,0
0.0999431,-9.94087,7.47635,0.00932096,1.00858,0.13756,0.138741,FGM,0.423568,0.203388,0.422474,0.423568,0.381943,0.203388,0
0.102122,-9.94087,7.47635,0.00932096,1.00858,0.13756,0.138741,FGM,0.423568,0.203388,0.422474,0.423568,0.381943,0.203388,0
0.106273,-9.94087,7.47635,0.00932096,1.00858,0.13756,0.138741,FGM,0.423568,0.203388,0.422474,0.423568,0.381943,0.203388,0
0.110378,-9.93043,7.4767,0.0107718,1.07976,0.139798,0.150949,FGM,0.423568,0.203388,0.422474,0.423568,0.381943,0.203388,0
0.114249,-9.93043,7.4767,0.0107718,1.07976,0.139798,0.150949,FGM,0.423568,0.203388,0.422474,0.423568,0.381943,0.203388,0
0.119752,-9.9193,7.47706,0.0121764,1.14755,0.153822,0.176519,FGM,0.423568,0.203388,0.422474,0.423568,0.381943,0.203388,0
0.122122,-9.9193,7.47706,0.0121764,1.14755,0.153822,0.176519,FGM,0.423568,0.203388,0.422474,0.423568,0.381943,0.203388,0
0.126244,-9.9193,7.47706,0.0121764,1.14755,0.153822,0.176519,FGM,0.423568,0.203388,0.422474,0.423568,0.381943,0.203388,0
0.130507,-9.90751,7.47748,0.0137923,1.21212,0.156318,0.189476,FGM,0.420188,0.241451,0.409027,0.420188,0.381943,0.241451,0
0.134232,-9.90751,7.47748,0.0137923,1.21212,0.156318,0.189476,FGM,0.420188,0.241451,0.409027,0.420188,0.381943,0.241451,0
0.139634,-9.89508,7.47792,0.0153559,1.27614,0.169202,0.215925,FGM,0.420188,0.241451,0.409027,0.420188,0.381943,0.241451,0
0.14224,-9.89508,7.47792,0.0153559,1.27614,0.169202,0.215925,FGM,0.420188,0.241451,0.409027,0.420188,0.381943,0.241451,0
0.146317,-9.89508,7.47792,0.0153559,1.27614,0.169202,0.215925,FGM,0.420188,0.241451,0.409027,0.420188,0.381943,0.241451,0
0.150198,-9.88202,7.4784,0.0171264,1.33711,0.17179,0.229703,FGM,0.420188,0.241451,0.409027,0.420188,0.381943,0.241451,0
