t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000138085,-9.99917,7.475,0,0.11893,0,0,FGM,0.420832,0.14414,0.414982,0.420832,0.0473625,0.14414,0
0.00406396,-9.99917,7.475,0,0.11893,0,0,FGM,0.420832,0.14414,0.414982,0.420832,0.0473625,0.14414,0
0.00897693,-9.9975,7.475,8.83653e-05,0.21403,0.0207489,0.00444089,FGM,0.420832,0.14414,0.414982,0.420832,0.0473625,0.14414,0
0.0121093,-9.9975,7.475,8.83653e-05,0.21403,0.0207489,0.00444089,FGM,0.420832,0.14414,0.414982,0.420832,0.0473625,0.14414,0
0.0159264,-9.9975,7.475,8.83653e-05,0.21403,0.0207489,0.00444089,FGM,0.420832,0.14414,0.414982,0.420832,0.0473625,0.14414,0
0.0202957,-9.99489,7.475,0.000476638,0.30913,0.0599981,0.0185472,FGM,0.420832,0.14414,0.414982,0.420832,0.0473625,0.14414,0
0.0239045,-9.99489,7.475,0.000476638,0.30913,0.0599981,0.0185472,FGM,0.420832,0.14414,0.414982,0.420832,0.0473625,0.14414,0
0.0287967,-9.99132,7.475,0.00135045,0.40423,0.117885,0.0476528,FGM,0.420832,0.14414,0.414982,0.420832,0.0473625,0.14414,0
0.0318628,-9.99132,7.475,0.00135045,0.40423,0.117885,0.0476528,FGM,0.411025,0.16824,0.404417,0.411025,0.0473625,0.16824,0
0.0359062,-9.99132,7.475,0.00135045,0.40423,0.117885,0.0476528,FGM,0.411025,0.16824,0.404417,0.411025,0.0473625,0.16824,0
0.0400138,-9.9868,7.47501,0.00243971,0.49933,0.0969135,0.0483918,FGM,0.411025,0.16824,0.404417,0.411025,0.0473625,0.16824,0
0.0439653,-9.9868,7.47501,0.00243971,0.49933,0.0969135,0.0483918,FGM,0.411025,0.16824,0.404417,0.411025,0.0473625,0.16824,0
0.0486226,-9.98133,7.47507,0.00354873,0.594328,0.0606702,0.036058,FGM,0.411025,0.16824,0.404417,0.411025,0.0473625,0.16824,0
0.0518575,-9.98133,7.47507,0.00354873,0.594328,0.0606702,0.036058,FGM,0.411025,0.16824,0.404417,0.411025,0.0473625,0.16824,0
0.055751,-9.98133,7.47507,0.00354873,0.594328,0.0606702,0.036058,FGM,0.411025,0.16824,0.404417,0.411025,0.0473625,0.16824,0
0.0598169,-9.97494,7.47526,0.00459721,0.68481,0.106448,0.0728964,FGM,0.411025,0.16824,0.404417,0.411025,0.0473625,0.16824,0
0.063775,-9.97494,7.47526,0.00459721,0.68481,0.106448,0.0728964,FGM,0.411025,0.16824,0.404417,0.411025,0.0473625,0.16824,0
0.0685493,-9.96767,7.47551,0.00572777,0.770988,0.105228,0.0811299,FGM,0.411025,0.16824,0.404417,0.411025,0.0473625,0.16824,0
0.071748,-9.96767,7.47551,0.00572777,0.770988,0.105228,0.0811299,FGM,0.411025,0.16824,0.404417,0.411025,0.0473625,0.16824,0
0.0757681,-9.96767,7.47551,0.00572777,0.770988,0.105228,0.0811299,FGM,0.411025,0.16824,0.404417,0.411025,0.0473625,0.16824,0
0.0800892,-9.95955,7.47576,0.00679924,0.853069,0.121264,0.103447,FGM,0.411025,0.16824,0.404417,0.411025,0.0473625,0.16824,0
