t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000106074,-9.99917,7.475,0,0.1189,0,0,FGM,0.407724,0.1437,0.40698,0.407724,0.0473625,0.1437,0
0.0033777,-9.99917,7.475,0,0.1189,0,0,FGM,0.407724,0.1437,0.40698,0.407724,0.0473625,0.1437,0
0.00957344,-9.9975,7.475,8.83508e-05,0.214,0.020746,0.00443966,FGM,0.407724,0.1437,0.40698,0.407724,0.0473625,0.1437,0
0.0129512,-9.9975,7.475,8.83508e-05,0.214,0.020746,0.00443966,FGM,0.407724,0.1437,0.40698,0.407724,0.0473625,0.1437,0
0.0162285,-9.9975,7.475,8.83508e-05,0.214,0.020746,0.00443966,FGM,0.407724,0.1437,0.40698,0.407724,0.0473625,0.1437,0
0.0209144,-9.99489,7.475,0.00047658,0.3091,0.0599923,0.0185436,FGM,0.407724,0.1437,0.40698,0.407724,0.0473625,0.1437,0
0.0256603,-9.99489,7.475,0.00047658,0.3091,0.0599923,0.0185436,FGM,0.407724,0.1437,0.40698,0.407724,0.0473625,0.1437,0
0.0319977,-9.99132,7.475,0.00135032,0.4042,0.117877,0.0476458,FGM,0.418927,0.154605,0.408714,0.418927,0.0473625,0.154605,0
0.0355489,-9.99132,7.475,0.00135032,0.4042,0.117877,0.0476458,FGM,0.418927,0.154605,0.408714,0.418927,0.0473625,0.154605,0
0.0405337,-9.9868,7.47501,0.00243951,0.4993,0.0969077,0.048386,FGM,0.418927,0.154605,0.408714,0.418927,0.0473625,0.154605,0
0.0445986,-9.9868,7.47501,0.00243951,0.4993,0.0969077,0.048386,FGM,0.418927,0.154605,0.408714,0.418927,0.0473625,0.154605,0
0.0490443,-9.98134,7.47507,0.00354845,0.5944,0.0605982,0.0360196,FGM,0.418927,0.154605,0.408714,0.418927,0.0473625,0.154605,0
0.0520825,-9.98134,7.47507,0.00354845,0.5944,0.0605982,0.0360196,FGM,0.418927,0.154605,0.408714,0.418927,0.0473625,0.154605,0
0.0558317,-9.98134,7.47507,0.00354845,0.5944,0.0605982,0.0360196,FGM,0.418927,0.154605,0.408714,0.418927,0.0473625,0.154605,0
0.061399,-9.97494,7.47526,0.00459581,0.685425,0.106393,0.0729243,FGM,0.418927,0.154605,0.408714,0.418927,0.0473625,0.154605,0
0.0646056,-9.97494,7.47526,0.00459581,0.685425,0.106393,0.0729243,FGM,0.418927,0.154605,0.408714,0.418927,0.0473625,0.154605,0
0.06926,-9.96766,7.47551,0.00572655,0.772121,0.10534,0.0813352,FGM,0.418927,0.154605,0.408714,0.418927,0.0473625,0.154605,0
0.0729318,-9.96766,7.47551,0.00572655,0.772121,0.10534,0.0813352,FGM,0.418927,0.154605,0.408714,0.418927,0.0473625,0.154605,0
0.0768961,-9.96766,7.47551,0.00572655,0.772121,0.10534,0.0813352,FGM,0.421505,0.207062,0.411958,0.421505,0.0473625,0.207062,0
0.0815414,-9.95953,7.47576,0.00679952,0.854694,0.121393,0.103754,FGM,0.421505,0.207062,0.411958,0.421505,0.0473625,0.207062,0
0.0847234,-9.95953,7.47576,0.00679952,0.854694,0.121393,0.103754,FGM,0.421505,0.207062,0.411958,0.421505,0.0473625,0.207062,0
0.0895858,-9.95059,7.47605,0.00808234,0.933376,0.122485,0.114324,FGM,0.421505,0.207062,0.411958,0.421505,0.0473625,0.207062,0
0.0945196,-9.95059,7.47605,0.00808234,0.933376,0.122485,0.114324,FGM,0.421505,0.207062,0.411958,0.421505,0.0473625,0.207062,0
0.0991029,-9.94089,7.47635,0.0093196,1.00832,0.137502,0.138646,FGM,0.421505,0.207062,0.411958,0.421505,0.0473625,0.207062,0
0.10363,-9.94089,7.47635,0.0093196,1.00832,0.137502,0.138646,FGM,0.421505,0.207062,0.411958,0.421505,0.0473625,0.207062,0
