t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
9.1811e-05,24.0564,7.41908,-0.115668,0.110026,0.00873002,0.000960532,FRENET,0.0472951,2.67519,0.0472951,0,2.67519,0.986913,0

--- Experiment Summary ---
Scenario,Mux_playground_WS2.3556_WT1.2047_WC0.8122_WCL0.3048_WD0.8075_DM0.1359_Opp_bumper_slow_0.5.csv
Mode,MUX_OBSTACLE
Finish Reason,GOAL REACHED
Duration (s),0.00
Total Dist (m),0.00
Collision,NO
FRENET Usage (%),100.00
FGM Usage (%),0.00
Max Speed (m/s),0.11
Max Lat Acc (m/s^2),0.00
Global Min Dist (m),0.05
Global Unsafe Ratio,1.00
Global Track RMS (m),2.68
Global Lat Acc RMS,0.00
FGM Min Dist (m),1000000000.00
FGM Unsafe Ratio,0.00
FGM Track RMS (m),0.00
