t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000151202,-9.99917,7.475,0,0.118935,0,0,FGM,0.413884,0.160442,0.424277,0.413884,0.381943,0.160442,0
0.0193857,-9.9975,7.475,8.83676e-05,0.214035,0.0207494,0.00444109,FGM,0.413884,0.160442,0.424277,0.413884,0.381943,0.160442,0
0.0231395,-9.99489,7.475,0.000476647,0.309135,0.059999,0.0185478,FGM,0.418886,0.16619,0.424477,0.418886,0.381943,0.16619,0
0.0335959,-9.99132,7.475,0.00135047,0.404235,0.117887,0.0476539,FGM,0.418886,0.16619,0.424477,0.418886,0.381943,0.16619,0
0.0457278,-9.9868,7.47501,0.00243974,0.499335,0.0969144,0.0483927,FGM,0.418886,0.16619,0.424477,0.418886,0.381943,0.16619,0
0.0529593,-9.98133,7.47507,0.00354873,0.594435,0.060609,0.0360281,FGM,0.418886,0.16619,0.424477,0.418886,0.381943,0.16619,0
0.0637401,-9.97494,7.47526,0.00459594,0.685579,0.106394,0.0729418,FGM,0.418886,0.16619,0.424477,0.418886,0.381943,0.16619,0
0.0829072,-9.96765,7.47552,0.0058683,0.772389,0.152332,0.117659,FGM,0.422202,0.204511,0.421508,0.422202,0.381943,0.204511,0
0.0929613,-9.95952,7.47585,0.00755685,0.855071,0.170558,0.145839,FGM,0.422202,0.204511,0.421508,0.422202,0.381943,0.204511,0
0.110598,-9.95058,7.47623,0.00934665,0.933822,0.199067,0.185893,FGM,0.422202,0.204511,0.421508,0.422202,0.381943,0.204511,0
0.113551,-9.94088,7.47668,0.0114642,1.0082,0.211212,0.212944,FGM,0.422202,0.204511,0.421508,0.422202,0.381943,0.204511,0
0.122462,-9.93046,7.47718,0.0136305,1.07904,0.234371,0.252896,FGM,0.426401,0.240356,0.422717,0.426401,0.381943,0.240356,0
0.131827,-9.91935,7.47774,0.0160895,1.14651,0.244264,0.280052,FGM,0.426401,0.240356,0.422717,0.426401,0.381943,0.240356,0
0.143977,-9.90757,7.47833,0.0183776,1.21078,0.206836,0.250433,FGM,0.426401,0.240356,0.422717,0.426401,0.381943,0.240356,0
0.153015,-9.89516,7.47892,0.0203394,1.27502,0.200717,0.25592,FGM,0.426401,0.240356,0.422717,0.426401,0.381943,0.240356,0
0.162249,-9.88212,7.47955,0.0223662,1.33622,0.192643,0.257413,FGM,0.426401,0.240356,0.422717,0.426401,0.381943,0.240356,0
0.174088,-9.86848,7.48019,0.0242528,1.3945,0.198262,0.276477,FGM,0.426401,0.240356,0.422717,0.426401,0.381943,0.240356,0
0.18702,-9.85427,7.48088,0.0262911,1.45001,0.196325,0.284673,FGM,0.421747,0.277432,0.419834,0.421747,0.381943,0.277432,0
0.197434,-9.83953,7.48159,0.0282292,1.50288,0.204806,0.307798,FGM,0.421747,0.277432,0.419834,0.421747,0.381943,0.277432,0
0.212299,-9.82427,7.48236,0.030345,1.55324,0.204782,0.318074,FGM,0.421747,0.277432,0.419834,0.421747,0.381943,0.277432,0
0.225646,-9.8085,7.48316,0.03237,1.60403,0.213765,0.342885,FGM,0.429355,0.301462,0.433628,0.429355,0.381943,0.301462,0
0.246973,-9.79224,7.48403,0.0345799,1.6524,0.214528,0.354486,FGM,0.429355,0.301462,0.433628,0.429355,0.381943,0.301462,0
0.254002,-9.77551,7.48494,0.0367033,1.69848,0.223897,0.380284,FGM,0.429355,0.301462,0.433628,0.429355,0.381943,0.301462,0
0.272342,-9.75833,7.48591,0.0390174,1.74259,0.224902,0.391911,FGM,0.429355,0.301462,0.433628,0.429355,0.381943,0.301462,0
0.275394,-9.74073,7.48693,0.0412424,1.7846,0.234098,0.417772,FGM,0.429709,0.316324,0.413938,0.429709,0.381943,0.316324,0
0.285266,-9.72271,7.48802,0.0436597,1.82462,0.235055,0.428885,FGM,0.429709,0.316324,0.413938,0.429709,0.381943,0.316324,0
0.306274,-9.70431,7.48915,0.0459835,1.86273,0.243943,0.4544,FGM,0.429709,0.316324,0.413938,0.429709,0.381943,0.316324,0
0.3213,-9.68553,7.49036,0.0484961,1.90199,0.244326,0.464705,FGM,0.429709,0.316324,0.413938,0.429709,0.381943,0.316324,0
0.337687,-9.66636,7.49163,0.0509096,1.93938,0.252671,0.490024,FGM,0.461061,0.340499,0.430698,0.461061,0.381943,0.340499,0
0.348347,-9.64684,7.49297,0.0535126,1.97499,0.253355,0.500374,FGM,0.461061,0.340499,0.430698,0.461061,0.381943,0.340499,0
0.357732,-9.62696,7.49437,0.0560134,2.0109,0.261211,0.525268,FGM,0.461061,0.340499,0.430698,0.461061,0.381943,0.340499,0
0.373174,-9.60673,7.49585,0.0587013,2.0451,0.261734,0.535272,FGM,0.461061,0.340499,0.430698,0.461061,0.381943,0.340499,0
0.382947,-9.58617,7.4974,0.0612854,2.07767,0.269687,0.560321,FGM,0.470276,0.367571,0.433136,0.470276,0.381943,0.367571,0
0.398926,-9.56531,7.49902,0.0640592,2.10869,0.27018,0.569728,FGM,0.470276,0.367571,0.433136,0.470276,0.381943,0.367571,0
0.404419,-9.54414,7.50071,0.0667257,2.13824,0.27791,0.59424,FGM,0.470276,0.367571,0.433136,0.470276,0.381943,0.367571,0
0.412843,-9.52267,7.50249,0.0695745,2.17109,0.277253,0.601941,FGM,0.470276,0.367571,0.433136,0.470276,0.381943,0.367571,0
0.429939,-9.50088,7.50434,0.0723081,2.20237,0.28419,0.625892,FGM,0.474478,0.395944,0.432148,0.474478,0.381943,0.395944,0
0.441024,-9.47879,7.50628,0.0752254,2.23217,0.284361,0.634743,FGM,0.474478,0.395944,0.432148,0.474478,0.381943,0.395944,0
0.450954,-9.45642,7.5083,0.0780308,2.26055,0.291589,0.659151,FGM,0.474478,0.395944,0.432148,0.474478,0.381943,0.395944,0
0.463211,-9.43374,7.51041,0.081012,2.29434,0.290243,0.665917,FGM,0.474478,0.395944,0.432148,0.474478,0.381943,0.395944,0
0.475716,-9.41074,7.51257,0.0836141,2.32653,0.220795,0.513687,FGM,0.473317,0.412392,0.444749,0.473317,0.381943,0.412392,0
0.491433,-9.38742,7.51476,0.08554,2.35718,0.182413,0.429981,FGM,0.473317,0.412392,0.444749,0.473317,0.381943,0.412392,0
