t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
6.7983e-05,24.1622,7.90695,-0.125052,0.110026,-0.0193152,-0.00212518,FRENET,0.0611057,2.67519,0.0611057,0.0354287,2.67519,0.477412,0

--- Experiment Summary ---
Scenario,Mux_playground_WS2.62_WT1.59_WC0.71_WCL1.12_WD1.09_DM0.31_Opp_bumper_slow_1.csv
Mode,MUX_OBSTACLE
Finish Reason,GOAL REACHED
Duration (s),0.00
Total Dist (m),0.00
Collision,NO
FRENET Usage (%),100.00
FGM Usage (%),0.00
Max Speed (m/s),0.11
Max Lat Acc (m/s^2),0.00
Global Min Dist (m),0.06
Global Unsafe Ratio,1.00
Global Track RMS (m),2.68
Global Lat Acc RMS,0.00
FGM Min Dist (m),1000000000.00
FGM Unsafe Ratio,0.00
FGM Track RMS (m),0.00
