t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000127165,24.1173,7.54119,-0.177161,0.110026,-0.0170228,-0.00187295,FRENET,0.0502358,2.67519,0.0502358,0,2.67519,1.10782,0

--- Experiment Summary ---
Scenario,Mux_playground_WS2.83_WT1.28_WC0.90_WCL1.43_WD1.63_DM0.42_Opp_bumper_v_5.csv
Mode,MUX_OBSTACLE
Finish Reason,GOAL REACHED
Duration (s),0.00
Total Dist (m),0.00
Collision,NO
FRENET Usage (%),100.00
FGM Usage (%),0.00
Max Speed (m/s),0.11
Max Lat Acc (m/s^2),0.00
Global Min Dist (m),0.05
Global Unsafe Ratio,1.00
Global Track RMS (m),2.68
Global Lat Acc RMS,0.00
FGM Min Dist (m),1000000000.00
FGM Unsafe Ratio,0.00
FGM Track RMS (m),0.00
