t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
9.6118e-05,-9.99917,7.475,0,0.119055,0,0,FGM,0.423102,0.144571,0.423102,0.423102,0.381943,0.144571,0
0.00381137,-9.99917,7.475,0,0.119055,0,0,FGM,0.423102,0.144571,0.423102,0.423102,0.381943,0.144571,0
0.00950981,-9.9975,7.475,8.8426e-05,0.214155,0.0207611,0.0044461,FGM,0.423102,0.144571,0.423102,0.423102,0.381943,0.144571,0
0.0117705,-9.9975,7.475,8.8426e-05,0.214155,0.0207611,0.0044461,FGM,0.423102,0.144571,0.423102,0.423102,0.381943,0.144571,0
0.0159259,-9.9975,7.475,8.8426e-05,0.214155,0.0207611,0.0044461,FGM,0.423102,0.144571,0.423102,0.423102,0.381943,0.144571,0
0.0201489,-9.99488,7.475,0.000476881,0.309255,0.0600224,0.0185623,FGM,0.423102,0.144571,0.423102,0.423102,0.381943,0.144571,0
0.0238,-9.99488,7.475,0.000476881,0.309255,0.0600224,0.0185623,FGM,0.419717,0.159945,0.424896,0.419717,0.381943,0.159945,0
0.0294757,-9.99131,7.475,0.00135099,0.404355,0.117922,0.0476824,FGM,0.419717,0.159945,0.424896,0.419717,0.381943,0.159945,0
0.0318502,-9.99131,7.475,0.00135099,0.404355,0.117922,0.0476824,FGM,0.419717,0.159945,0.424896,0.419717,0.381943,0.159945,0
0.0358256,-9.99131,7.475,0.00135099,0.404355,0.117922,0.0476824,FGM,0.419717,0.159945,0.424896,0.419717,0.381943,0.159945,0
0.0397456,-9.98679,7.47501,0.00244056,0.499455,0.0969378,0.0484161,FGM,0.419717,0.159945,0.424896,0.419717,0.381943,0.159945,0
0.0436235,-9.98679,7.47501,0.00244056,0.499455,0.0969378,0.0484161,FGM,0.419717,0.159945,0.424896,0.419717,0.381943,0.159945,0
0.0495134,-9.98133,7.47507,0.00354974,0.594473,0.060698,0.0360833,FGM,0.419717,0.159945,0.424896,0.419717,0.381943,0.159945,0
0.0521425,-9.98133,7.47507,0.00354974,0.594473,0.060698,0.0360833,FGM,0.419717,0.159945,0.424896,0.419717,0.381943,0.159945,0
0.0556359,-9.98133,7.47507,0.00354974,0.594473,0.060698,0.0360833,FGM,0.419717,0.159945,0.424896,0.419717,0.381943,0.159945,0
0.0598,-9.97493,7.47526,0.00459831,0.684972,0.106478,0.0729347,FGM,0.419717,0.159945,0.424896,0.419717,0.381943,0.159945,0
0.063849,-9.97493,7.47526,0.00459831,0.684972,0.106478,0.0729347,FGM,0.419717,0.159945,0.424896,0.419717,0.381943,0.159945,0
0.0692797,-9.96765,7.47551,0.00572909,0.771168,0.105255,0.0811694,FGM,0.419717,0.159945,0.424896,0.419717,0.381943,0.159945,0
0.0717259,-9.96765,7.47551,0.00572909,0.771168,0.105255,0.0811694,FGM,0.419717,0.159945,0.424896,0.419717,0.381943,0.159945,0
0.0758384,-9.96765,7.47551,0.00572909,0.771168,0.105255,0.0811694,FGM,0.412816,0.200261,0.424305,0.412816,0.381943,0.200261,0
0.0797878,-9.95954,7.47576,0.0068008,0.853266,0.121286,0.103489,FGM,0.412816,0.200261,0.424305,0.412816,0.381943,0.200261,0
0.0837647,-9.95954,7.47576,0.0068008,0.853266,0.121286,0.103489,FGM,0.412816,0.200261,0.424305,0.412816,0.381943,0.200261,0
0.0894382,-9.95062,7.47605,0.00808226,0.931725,0.122303,0.113953,FGM,0.412816,0.200261,0.424305,0.412816,0.381943,0.200261,0
0.0915569,-9.95062,7.47605,0.00808226,0.931725,0.122303,0.113953,FGM,0.412816,0.200261,0.424305,0.412816,0.381943,0.200261,0
0.0957985,-9.95062,7.47605,0.00808226,0.931725,0.122303,0.113953,FGM,0.412816,0.200261,0.424305,0.412816,0.381943,0.200261,0
0.0998297,-9.94093,7.47635,0.00931758,1.00645,0.137321,0.138207,FGM,0.412816,0.200261,0.424305,0.412816,0.381943,0.200261,0
0.103864,-9.94093,7.47635,0.00931758,1.00645,0.137321,0.138207,FGM,0.412816,0.200261,0.424305,0.412816,0.381943,0.200261,0
