t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
8.2033e-05,-9.99883,7.475,0,0.101466,0,0,NONE,0,0,0,0,0,0,0
0.00377494,-9.99883,7.475,0,0.101466,0,0,NONE,0,0,0,0,0,0,0
0.00627923,-9.99883,7.475,0,0.101466,0,0,NONE,0,0,0,0,0,0,0
0.0114137,-9.9976,7.475,0,0.144191,0,0,NONE,0,0,0,0,0,0,0
0.0136976,-9.9976,7.475,0,0.144191,0,0,NONE,0,0,0,0,0,0,0
0.019594,-9.99596,7.475,0,0.184885,0,0,NONE,0,0,0,0,0,0,0
0.0223449,-9.99596,7.475,0,0.184885,0,0,NONE,0,0,0,0,0,0,0
0.0256122,-9.99596,7.475,0,0.184885,0,0,NONE,0,0,0,0,0,0,0
0.030454,-9.99392,7.475,0,0.223644,0,0,NONE,0,0,0,0,0,0,0
0.0339637,-9.99392,7.475,0,0.223644,0,0,NONE,0,0,0,0,0,0,0
0.0405488,-9.99149,7.475,0,0.26056,0,0,NONE,0,0,0,0,0,0,0
0.0431328,-9.99149,7.475,0,0.26056,0,0,NONE,0,0,0,0,0,0,0
0.0455496,-9.99149,7.475,0,0.26056,0,0,NONE,0,0,0,0,0,0,0
0.0509911,-9.98871,7.475,0,0.29572,0,0,NONE,0,0,0,0,0,0,0
0.0536286,-9.98871,7.475,0,0.29572,0,0,NONE,0,0,0,0,0,0,0
0.0593015,-9.98559,7.475,0,0.329208,0,0,NONE,0,0,0,0,0,0,0
0.061614,-9.98559,7.475,0,0.329208,0,0,NONE,0,0,0,0,0,0,0
0.0658784,-9.98559,7.475,0,0.329208,0,0,NONE,0,0,0,0,0,0,0
0.0707226,-9.98214,7.475,0,0.361105,0,0,NONE,0,0,0,0,0,0,0
0.0735649,-9.98214,7.475,0,0.361105,0,0,NONE,0,0,0,0,0,0,0
0.0794294,-9.97837,7.475,0,0.391484,0,0,NONE,0,0,0,0,0,0,0
0.0816702,-9.97837,7.475,0,0.391484,0,0,NONE,0,0,0,0,0,0,0
0.0861976,-9.97837,7.475,0,0.391484,0,0,NONE,0,0,0,0,0,0,0
0.0912268,-9.97431,7.475,0,0.420419,0,0,NONE,0,0,0,0,0,0,0
0.0944313,-9.97431,7.475,0,0.420419,0,0,NONE,0,0,0,0,0,0,0
0.100471,-9.96997,7.475,0,0.447978,0,0,NONE,0,0,0,0,0,0,0
0.103008,-9.96997,7.475,0,0.447978,0,0,NONE,0,0,0,0,0,0,0
0.105438,-9.96997,7.475,0,0.447978,0,0,NONE,0,0,0,0,0,0,0
0.110262,-9.96536,7.475,0,0.474227,0,0,NONE,0,0,0,0,0,0,0
0.113901,-9.96536,7.475,0,0.474227,0,0,NONE,0,0,0,0,0,0,0
0.120127,-9.96049,7.475,0,0.499227,0,0,NONE,0,0,0,0,0,0,0
0.122943,-9.96049,7.475,0,0.499227,0,0,NONE,0,0,0,0,0,0,0
0.125653,-9.96049,7.475,0,0.499227,0,0,NONE,0,0,0,0,0,0,0
0.130481,-9.95538,7.475,0,0.523039,0,0,NONE,0,0,0,0,0,0,0
0.134326,-9.95538,7.475,0,0.523039,0,0,NONE,0,0,0,0,0,0,0
0.139097,-9.95004,7.475,0,0.545718,0,0,NONE,0,0,0,0,0,0,0
0.141482,-9.95004,7.475,0,0.545718,0,0,NONE,0,0,0,0,0,0,0
0.145469,-9.95004,7.475,0,0.545718,0,0,NONE,0,0,0,0,0,0,0
0.150112,-9.94447,7.475,0,0.56732,0,0,NONE,0,0,0,0,0,0,0
0.153596,-9.94447,7.475,0,0.56732,0,0,NONE,0,0,0,0,0,0,0
0.159329,-9.9387,7.475,0,0.587894,0,0,NONE,0,0,0,0,0,0,0
0.161734,-9.9387,7.475,0,0.587894,0,0,NONE,0,0,0,0,0,0,0
0.16574,-9.9387,7.475,0,0.587894,0,0,NONE,0,0,0,0,0,0,0
0.170332,-9.93272,7.475,0,0.607489,0,0,NONE,0,0,0,0,0,0,0
0.173561,-9.93272,7.475,0,0.607489,0,0,NONE,0,0,0,0,0,0,0
0.179073,-9.92655,7.475,0,0.626153,0,0,NONE,0,0,0,0,0,0,0
0.181516,-9.92655,7.475,0,0.626153,0,0,NONE,0,0,0,0,0,0,0
0.185632,-9.92655,7.475,0,0.626153,0,0,NONE,0,0,0,0,0,0,0
0.189942,-9.9202,7.475,0,0.643929,0,0,NONE,0,0,0,0,0,0,0
0.193786,-9.9202,7.475,0,0.643929,0,0,NONE,0,0,0,0,0,0,0
0.199761,-9.91368,7.475,0,0.660861,0,0,NONE,0,0,0,0,0,0,0
0.202218,-9.91368,7.475,0,0.660861,0,0,NONE,0,0,0,0,0,0,0
0.205572,-9.91368,7.475,0,0.660861,0,0,NONE,0,0,0,0,0,0,0
0.210062,-9.90699,7.475,0,0.676987,0,0,NONE,0,0,0,0,0,0,0
0.2135,-9.90699,7.475,0,0.676987,0,0,NONE,0,0,0,0,0,0,0
0.220699,-9.90014,7.475,0,0.692346,0,0,NONE,0,0,0,0,0,0,0
0.223227,-9.90014,7.475,0,0.692346,0,0,NONE,0,0,0,0,0,0,0
0.226074,-9.90014,7.475,0,0.692346,0,0,NONE,0,0,0,0,0,0,0
0.230264,-9.89315,7.475,0,0.706975,0,0,NONE,0,0,0,0,0,0,0
