t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000112281,-2.01913,6.69428,-0.658282,0.1902,-0.000405226,-7.7074e-05,NONE,0,0,0,0,0,0,0
0.00438081,-2.01913,6.69428,-0.658282,0.1902,-0.000405226,-7.7074e-05,NONE,0,0,0,0,0,0,0
0.0092078,-9.99895,7.475,0,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.0122736,-2.01725,6.69282,-0.658405,0.2853,-0.0280634,-0.00800648,NONE,0,0,0,0,0,0,0
0.0186659,-9.99715,7.475,9.5252e-05,0.22824,0.0221265,0.00505015,NONE,0,0,0,0,0,0,0
0.0202033,-2.01462,6.69079,-0.658559,0.3804,-0.000405226,-0.000154148,NONE,0,0,0,0,0,0,0
0.0243922,-2.01462,6.69079,-0.658559,0.3804,-0.000405226,-0.000154148,NONE,0,0,0,0,0,0,0
0.0301401,-9.99439,7.475,0.000221227,0.32334,2.14898e-10,6.94853e-11,NONE,0,0,0,0,0,0,0
0.0321994,-2.01123,6.68817,-0.658774,0.4755,-0.0465021,-0.0221118,NONE,0,0,0,0,0,0,0
0.0382906,-2.00711,6.68496,-0.659081,0.5706,-0.014827,-0.0084603,NONE,0,0,0,0,0,0,0
0.0389025,-9.99068,7.475,0.000408657,0.41844,0.0405653,0.0169741,NONE,0,0,0,0,0,0,0
0.0443926,-2.00711,6.68496,-0.659081,0.5706,-0.014827,-0.0084603,NONE,0,0,0,0,0,0,0
0.044477,-9.99068,7.475,0.000408657,0.41844,0.0405653,0.0169741,NONE,0,0,0,0,0,0,0
0.0531903,-2.00223,6.68116,-0.659109,0.6657,0.0139201,0.00926663,NONE,0,0,0,0,0,0,0
0.0542762,-9.98602,7.475,0.000626815,0.51354,0.00829356,0.00425907,NONE,0,0,0,0,0,0,0
0.060337,-1.99657,6.67681,-0.658887,0.7608,0.0168725,0.0128366,NONE,0,0,0,0,0,0,0
0.0639992,-9.98041,7.475,0.000586803,0.60864,-0.0170047,-0.0103498,NONE,0,0,0,0,0,0,0
0.0654779,-1.99657,6.67681,-0.658887,0.7608,0.0168725,0.0128366,NONE,0,0,0,0,0,0,0
0.0716338,-1.99017,6.67188,-0.658838,0.8559,-0.0130422,-0.0111628,NONE,0,0,0,0,0,0,0
0.0729801,-9.97385,7.47496,0.000206822,0.70374,-0.0622444,-0.0438039,NONE,0,0,0,0,0,0,0
0.0780947,-1.98305,6.66632,-0.659209,0.951,-0.0653207,-0.06212,NONE,0,0,0,0,0,0,0
0.0828981,-9.96634,7.47485,-0.000562757,0.79884,-0.078072,-0.062367,NONE,0,0,0,0,0,0,0
0.083967,-1.98305,6.66632,-0.659209,0.951,-0.0653207,-0.06212,NONE,0,0,0,0,0,0,0
0.0902327,-1.97522,6.66012,-0.660043,1.0461,-0.0888298,-0.0929249,NONE,0,0,0,0,0,0,0
0.0918993,-9.95787,7.4747,-0.00141527,0.89394,-0.103113,-0.0921765,NONE,0,0,0,0,0,0,0
0.0987967,-1.96666,6.65331,-0.66086,1.1412,-0.0682759,-0.0779164,NONE,0,0,0,0,0,0,0
0.103427,-9.94846,7.4745,-0.00254999,0.98904,-0.112602,-0.111368,NONE,0,0,0,0,0,0,0
0.104402,-1.96666,6.65331,-0.66086,1.1412,-0.0682759,-0.0779164,NONE,0,0,0,0,0,0,0
0.111631,-1.95735,6.64592,-0.661483,1.2363,-0.0680212,-0.0840946,NONE,0,0,0,0,0,0,0
0.114289,-9.9381,7.47427,-0.00371778,1.08414,-0.131523,-0.142589,NONE,0,0,0,0,0,0,0
0.12076,-1.94731,6.63792,-0.662351,1.3314,-0.111638,-0.148635,NONE,0,0,0,0,0,0,0
0.124026,-9.92678,7.47399,-0.00512705,1.17924,-0.139643,-0.164673,NONE,0,0,0,0,0,0,0
0.128051,-1.93655,6.62929,-0.663636,1.4265,-0.133583,-0.190557,NONE,0,0,0,0,0,0,0
0.132081,-9.91452,7.47368,-0.00655201,1.27434,-0.155649,-0.19835,NONE,0,0,0,0,0,0,0
0.132143,-1.93655,6.62929,-0.663636,1.4265,-0.133583,-0.190557,NONE,0,0,0,0,0,0,0
0.142074,-1.92507,6.62005,-0.665037,1.5216,-0.15611,-0.237537,NONE,0,0,0,0,0,0,0
0.145542,-9.90131,7.47332,-0.00819792,1.36944,-0.163135,-0.223404,NONE,0,0,0,0,0,0,0
0.149263,-1.91288,6.61016,-0.666715,1.6167,-0.168944,-0.273132,NONE,0,0,0,0,0,0,0
0.154756,-1.91288,6.61016,-0.666715,1.6167,-0.168944,-0.273132,NONE,0,0,0,0,0,0,0
0.157752,-9.88714,7.47293,-0.00984928,1.46454,-0.177263,-0.259608,NONE,0,0,0,0,0,0,0
0.162052,-1.89997,6.59966,-0.668439,1.7118,-0.185604,-0.317717,NONE,0,0,0,0,0,0,0
0.168478,-9.87203,7.47247,-0.011708,1.55964,-0.184245,-0.287355,NONE,0,0,0,0,0,0,0
0.173379,-1.88635,6.58853,-0.670395,1.8069,-0.195214,-0.352732,NONE,0,0,0,0,0,0,0
0.180888,-1.872,6.57678,-0.672194,1.902,-0.158111,-0.300726,NONE,0,0,0,0,0,0,0
0.18163,-9.85596,7.47198,-0.0135638,1.65474,-0.196934,-0.325875,NONE,0,0,0,0,0,0,0
0.18912,-1.85689,6.56446,-0.673454,1.9971,-0.0893297,-0.1784,NONE,0,0,0,0,0,0,0
0.191655,-9.83895,7.47142,-0.0156161,1.74984,-0.203407,-0.35593,NONE,0,0,0,0,0,0,0
0.194217,-1.85689,6.56446,-0.673454,1.9971,-0.0893297,-0.1784,NONE,0,0,0,0,0,0,0
0.199748,-9.82099,7.47081,-0.0176578,1.84494,-0.21487,-0.396423,NONE,0,0,0,0,0,0,0
0.201384,-1.84099,6.5516,-0.673903,2.0922,0.00323777,0.00677406,NONE,0,0,0,0,0,0,0
0.208396,-1.82431,6.53824,-0.673487,2.18292,0.0657985,0.143633,NONE,0,0,0,0,0,0,0
0.210228,-9.80207,7.47013,-0.0198864,1.94004,-0.220796,-0.428352,NONE,0,0,0,0,0,0,0
0.213322,-1.82431,6.53824,-0.673487,2.18292,0.0657985,0.143633,NONE,0,0,0,0,0,0,0
0.219787,-1.8069,6.52437,-0.6728,2.26932,0.0619758,0.140643,NONE,0,0,0,0,0,0,0
0.220235,-9.78221,7.4694,-0.0220966,2.03514,-0.231145,-0.470413,NONE,0,0,0,0,0,0,0
0.225217,-1.8069,6.52437,-0.6728,2.26932,0.0619758,0.140643,NONE,0,0,0,0,0,0,0
0.229792,-9.76141,7.46858,-0.0244871,2.12857,-0.236759,-0.503957,NONE,0,0,0,0,0,0,0
0.232582,-1.78882,6.50998,-0.672405,2.35161,0.00990032,0.0232817,NONE,0,0,0,0,0,0,0
0.238546,-9.73969,7.4677,-0.026856,2.21756,-0.247231,-0.548249,NONE,0,0,0,0,0,0,0
0.239733,-1.77015,6.49505,-0.672727,2.42999,-0.0793907,-0.192919,NONE,0,0,0,0,0,0,0
0.243994,-9.73969,7.4677,-0.026856,2.21756,-0.247231,-0.548249,NONE,0,0,0,0,0,0,0
0.246254,-1.77015,6.49505,-0.672727,2.42999,-0.0793907,-0.192919,NONE,0,0,0,0,0,0,0
0.254784,-1.75094,6.47957,-0.674097,2.50465,-0.198611,-0.497451,NONE,0,0,0,0,0,0,0
0.255298,-9.71712,7.46674,-0.0294129,2.30231,-0.253215,-0.58298,NONE,0,0,0,0,0,0,0
0.262452,-1.73126,6.4635,-0.676787,2.57575,-0.342619,-0.882502,NONE,0,0,0,0,0,0,0
0.267575,-9.69371,7.4657,-0.0319431,2.38304,-0.263569,-0.628094,NONE,0,0,0,0,0,0,0
0.273012,-1.71117,6.44685,-0.680811,2.64347,-0.444264,-1.1744,NONE,0,0,0,0,0,0,0
0.27902,-9.66952,7.46457,-0.0346648,2.45992,-0.269242,-0.662315,NONE,0,0,0,0,0,0,0
0.280305,-1.69067,6.42965,-0.685617,2.70798,-0.524797,-1.42114,NONE,0,0,0,0,0,0,0
0.288837,-1.66982,6.4119,-0.691234,2.76941,-0.583119,-1.6149,NONE,0,0,0,0,0,0,0
0.291139,-9.64459,7.46336,-0.0373505,2.53315,-0.279177,-0.707199,NONE,0,0,0,0,0,0,0
0.295403,-1.66982,6.4119,-0.691234,2.76941,-0.583119,-1.6149,NONE,0,0,0,0,0,0,0
0.30287,-9.61894,7.46204,-0.0404412,2.6029,-0.346853,-0.902825,NONE,0,0,0,0,0,0,0
0.303971,-1.64861,6.39364,-0.697036,2.82793,-0.566012,-1.60064,NONE,0,0,0,0,0,0,0
0.311573,-1.62703,6.37494,-0.702373,2.88366,-0.493231,-1.42231,NONE,0,0,0,0,0,0,0
0.313331,-9.59262,7.46055,-0.0442161,2.66933,-0.39337,-1.05004,NONE,0,0,0,0,0,0,0
0.319445,-1.60508,6.35583,-0.707,2.93674,-0.448125,-1.31603,NONE,0,0,0,0,0,0,0
0.326363,-9.56566,7.45894,-0.0480749,2.73261,-0.367846,-1.00518,NONE,0,0,0,0,0,0,0
0.326605,-1.60508,6.35583,-0.707,2.93674,-0.448125,-1.31603,NONE,0,0,0,0,0,0,0
0.333536,-1.58279,6.33631,-0.711369,2.9873,-0.41448,-1.23817,NONE,0,0,0,0,0,0,0
0.335698,-9.53809,7.45724,-0.0516268,2.79287,-0.356087,-0.994506,NONE,0,0,0,0,0,0,0
0.342332,-1.56019,6.31642,-0.715349,3.03545,-0.396373,-1.20317,NONE,0,0,0,0,0,0,0
0.346145,-9.50993,7.45543,-0.0551977,2.85027,-0.34603,-0.986278,NONE,0,0,0,0,0,0,0
0.349158,-1.53729,6.29614,-0.719302,3.08132,-0.381452,-1.17537,NONE,0,0,0,0,0,0,0
