t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
6.3906e-05,-9.99895,7.475,0,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.00769513,-9.99715,7.475,9.5252e-05,0.22824,0.0221265,0.00505015,NONE,0,0,0,0,0,0,0
0.0143901,-9.99439,7.475,0.000504199,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0228861,-9.99439,7.475,0.000504199,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0323001,-9.99068,7.475,0.00141251,0.41844,0.122029,0.051062,NONE,0,0,0,0,0,0,0
0.0360189,-9.99068,7.475,0.00141251,0.41844,0.122029,0.051062,NONE,0,0,0,0,0,0,0
0.0441359,-9.98602,7.47501,0.00300763,0.51354,0.14652,0.0752438,NONE,0,0,0,0,0,0,0
0.0474525,-9.98602,7.47501,0.00300763,0.51354,0.14652,0.0752438,NONE,0,0,0,0,0,0,0
0.0583555,-9.98041,7.47519,0.00426151,0.60864,0.173857,0.105816,NONE,0,0,0,0,0,0,0
0.0661499,-9.97386,7.47546,0.00580491,0.70374,0.159369,0.112154,NONE,0,0,0,0,0,0,0
0.0731494,-9.96635,7.47576,0.00724648,0.79884,0.132023,0.105465,NONE,0,0,0,0,0,0,0
0.0770964,-9.96635,7.47576,0.00724648,0.79884,0.132023,0.105465,NONE,0,0,0,0,0,0,0
0.0943927,-9.94848,7.4764,0.00994133,0.98904,0.136438,0.134942,NONE,0,0,0,0,0,0,0
0.0985291,-9.94848,7.4764,0.00994133,0.98904,0.136438,0.134942,NONE,0,0,0,0,0,0,0
0.104976,-9.93812,7.47676,0.0113135,1.08414,0.148968,0.161502,NONE,0,0,0,0,0,0,0
0.111248,-9.92681,7.47716,0.0128747,1.17924,0.152791,0.180178,NONE,0,0,0,0,0,0,0
0.123293,-9.91455,7.4776,0.0144152,1.27434,0.165756,0.211229,NONE,0,0,0,0,0,0,0
0.127393,-9.91455,7.4776,0.0144152,1.27434,0.165756,0.211229,NONE,0,0,0,0,0,0,0
0.133448,-9.90134,7.47809,0.0161506,1.36944,0.171018,0.234199,NONE,0,0,0,0,0,0,0
0.13763,-9.90134,7.47809,0.0161506,1.36944,0.171018,0.234199,NONE,0,0,0,0,0,0,0
0.145378,-9.88718,7.47861,0.0178721,1.46454,0.183484,0.26872,NONE,0,0,0,0,0,0,0
0.159119,-9.87207,7.4792,0.0197865,1.55964,0.189202,0.295087,NONE,0,0,0,0,0,0,0
0.166665,-9.85601,7.47984,0.0216868,1.65474,0.200916,0.332463,NONE,0,0,0,0,0,0,0
0.175342,-9.83901,7.48054,0.023775,1.74984,0.206627,0.361563,NONE,0,0,0,0,0,0,0
0.186001,-9.82105,7.48131,0.0258457,1.84494,0.217488,0.401252,NONE,0,0,0,0,0,0,0
0.194912,-9.80214,7.48214,0.0280981,1.94004,0.222933,0.4325,NONE,0,0,0,0,0,0,0
0.198655,-9.80214,7.48214,0.0280981,1.94004,0.222933,0.4325,NONE,0,0,0,0,0,0,0
0.20662,-9.78229,7.48305,0.0303277,2.03514,0.232898,0.47398,NONE,0,0,0,0,0,0,0
0.21557,-9.76149,7.48404,0.032734,2.12857,0.238193,0.507011,NONE,0,0,0,0,0,0,0
0.224851,-9.73979,7.48509,0.0350239,2.21756,0.221363,0.490884,NONE,0,0,0,0,0,0,0
0.231982,-9.71721,7.48619,0.0370904,2.30231,0.183863,0.423311,NONE,0,0,0,0,0,0,0
0.235354,-9.71721,7.48619,0.0370904,2.30231,0.183863,0.423311,NONE,0,0,0,0,0,0,0
0.245071,-9.69381,7.48733,0.0387603,2.38304,0.162707,0.387736,NONE,0,0,0,0,0,0,0
0.253781,-9.66963,7.4885,0.0403479,2.45992,0.144558,0.355603,NONE,0,0,0,0,0,0,0
0.258982,-9.66963,7.4885,0.0403479,2.45992,0.144558,0.355603,NONE,0,0,0,0,0,0,0
0.268252,-9.64469,7.48971,0.0416889,2.53315,0.135856,0.344144,NONE,0,0,0,0,0,0,0
0.278826,-9.61904,7.49098,0.0430554,2.6029,0.126087,0.328193,NONE,0,0,0,0,0,0,0
0.285382,-9.59271,7.49227,0.0442402,2.66933,0.123211,0.32889,NONE,0,0,0,0,0,0,0
0.296003,-9.56574,7.49363,0.0455046,2.73261,0.117602,0.32136,NONE,0,0,0,0,0,0,0
0.304564,-9.53815,7.49502,0.0466183,2.79287,0.117755,0.328874,NONE,0,0,0,0,0,0,0
0.313572,-9.53815,7.49502,0.0466183,2.79287,0.117755,0.328874,NONE,0,0,0,0,0,0,0
0.323913,-9.50997,7.49647,0.0478421,2.85027,0.114377,0.326006,NONE,0,0,0,0,0,0,0
0.334084,-9.48123,7.49796,0.0489302,2.90494,0.116194,0.337536,NONE,0,0,0,0,0,0,0
0.342002,-9.48123,7.49796,0.0489302,2.90494,0.116194,0.337536,NONE,0,0,0,0,0,0,0
0.353104,-9.45196,7.49952,0.0501469,2.95701,0.114053,0.337256,NONE,0,0,0,0,0,0,0
0.359207,-9.42219,7.50111,0.0512348,3.0066,0.1168,0.351171,NONE,0,0,0,0,0,0,0
0.372326,-9.39193,7.50277,0.0524629,3.05384,0.115346,0.352247,NONE,0,0,0,0,0,0,0
0.383491,-9.36121,7.50447,0.0535648,3.09883,0.118608,0.367545,NONE,0,0,0,0,0,0,0
0.396299,-9.33006,7.50623,0.0548145,3.14168,0.117522,0.369218,NONE,0,0,0,0,0,0,0
0.411264,-9.29849,7.50804,0.055938,3.18249,0.121057,0.385264,NONE,0,0,0,0,0,0,0
0.417943,-9.26653,7.50991,0.0572147,3.22137,0.120155,0.387063,NONE,0,0,0,0,0,0,0
0.431615,-9.23418,7.51183,0.0583638,3.25839,0.12382,0.403453,NONE,0,0,0,0,0,0,0
0.446446,-9.20148,7.51382,0.0596699,3.29365,0.122991,0.40509,NONE,0,0,0,0,0,0,0
0.456399,-9.16844,7.51584,0.0608463,3.32724,0.126701,0.421566,NONE,0,0,0,0,0,0,0
0.472771,-9.13508,7.51794,0.0621824,3.35923,0.125881,0.422864,NONE,0,0,0,0,0,0,0
0.480651,-9.1014,7.52008,0.0633865,3.3897,0.129588,0.439263,NONE,0,0,0,0,0,0,0
0.48998,-9.06743,7.52229,0.0647525,3.41872,0.128739,0.440121,NONE,0,0,0,0,0,0,0
0.498331,-9.03318,7.52454,0.065984,3.44636,0.132412,0.456339,NONE,0,0,0,0,0,0,0
0.511989,-8.99866,7.52689,0.0676558,3.47268,0.212946,0.739496,NONE,0,0,0,0,0,0,0
