t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision

--- Experiment Summary ---
Scenario,Opp_bumper_slow_0.5.csv_Gap1.2_Bub0.5_Clr0.55_WW0.6_AW6.0_SW0.08_HB2.0_CT0.25_SA0.5_DBS0.12_SPD4.0
Mode,FGM
Finish Reason,MANUAL_ABORT (Force Quit)
Duration (s),0.00
Total Dist (m),0.00
Max Speed (m/s),0.00
Max Lat Acc (m/s^2),0.00
Collision,NO
FRENET Usage (%),0.00
FGM Usage (%),0.00
Min Dist (m),1000000000.00
Unsafe Time (s),0.00
Unsafe Ratio,0.00
Track Error RMS (m),0.00
Lat Acc RMS (m/s^2),0.00
