t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
9.5758e-05,-9.99895,7.475,0,0.13314,0,0,NONE,999.9,0,0
0.00333206,-9.99895,7.475,0,0.13314,0,0,NONE,999.9,0,0
0.00879303,-9.99715,7.475,9.5252e-05,0.22824,0.0221265,0.00505015,NONE,999.9,0,0
0.0118428,-9.99715,7.475,9.5252e-05,0.22824,0.0221265,0.00505015,NONE,999.9,0,0
0.0172276,-9.99439,7.475,0.000504199,0.32334,0.0627561,0.0202916,NONE,999.9,0,0
0.0197251,-9.99439,7.475,0.000504199,0.32334,0.0627561,0.0202916,NONE,999.9,0,0
0.0231887,-9.99439,7.475,0.000504199,0.32334,0.0627561,0.0202916,NONE,999.9,0,0
0.0287038,-9.99068,7.475,0.00103611,0.41844,0.0405653,0.0169741,NONE,999.9,0,0
0.0320921,-9.99068,7.475,0.00103611,0.41844,0.0405653,0.0169741,NONE,999.9,0,0
0.037645,-9.98602,7.47501,0.00172177,0.51354,0.0689105,0.0353883,NONE,999.9,0,0
0.0399777,-9.98602,7.47501,0.00172177,0.51354,0.0689105,0.0353883,NONE,999.9,0,0
0.043253,-9.98602,7.47501,0.00172177,0.51354,0.0689105,0.0353883,NONE,999.9,0,0
0.0490227,-9.98041,7.47509,0.00231051,0.60864,0.0732155,0.0445619,NONE,999.9,0,0
0.0522451,-9.98041,7.47509,0.00231051,0.60864,0.0732155,0.0445619,NONE,999.9,0,0
0.0575205,-9.97385,7.47522,0.00300119,0.70374,0.0906741,0.063811,NONE,999.9,0,0
0.0603701,-9.97385,7.47522,0.00300119,0.70374,0.0906741,0.063811,NONE,999.9,0,0
0.0645136,-9.97385,7.47522,0.00300119,0.70374,0.0906741,0.063811,NONE,999.9,0,0
0.069538,-9.96634,7.47539,0.00396166,0.79884,0.0933846,0.0745993,NONE,999.9,0,0
0.0720181,-9.96634,7.47539,0.00396166,0.79884,0.0933846,0.0745993,NONE,999.9,0,0
0.0774418,-9.95788,7.4756,0.00493218,0.89394,0.112638,0.100692,NONE,999.9,0,0
0.0806527,-9.95788,7.4756,0.00493218,0.89394,0.112638,0.100692,NONE,999.9,0,0
0.0844252,-9.95788,7.4756,0.00493218,0.89394,0.112638,0.100692,NONE,999.9,0,0
0.0905648,-9.94847,7.47585,0.00614575,0.98904,0.119169,0.117863,NONE,999.9,0,0
0.0936529,-9.94847,7.47585,0.00614575,0.98904,0.119169,0.117863,NONE,999.9,0,0
0.0996092,-9.9381,7.47613,0.00736972,1.08414,0.136311,0.14778,NONE,999.9,0,0
0.102993,-9.9381,7.47613,0.00736972,1.08414,0.136311,0.14778,NONE,999.9,0,0
0.108343,-9.92679,7.47646,0.00882064,1.17924,0.143246,0.168922,NONE,999.9,0,0
0.111086,-9.92679,7.47646,0.00882064,1.17924,0.143246,0.168922,NONE,999.9,0,0
