t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision

--- Experiment Summary ---
Scenario,Opp_bumper_slow_0.5.csv_Gap1.3_Bub0.55_Clr0.60_WW0.5_AW5.0_SW0.10_HB2.5_CT0.30_SA0.4_DBS0.15_SPD3.5
Mode,FGM
Finish Reason,MANUAL_ABORT (Force Quit)
Duration (s),0.00
Total Dist (m),0.00
Max Speed (m/s),0.00
Max Lat Acc (m/s^2),0.00
Collision,NO
FRENET Usage (%),0.00
FGM Usage (%),0.00
Min Dist (m),1000000000.00
Unsafe Time (s),0.00
Unsafe Ratio,0.00
Track Error RMS (m),0.00
Lat Acc RMS (m/s^2),0.00
