t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
6.5462e-05,-9.99895,7.475,0,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.00398125,-9.99895,7.475,0,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.00991911,-9.99715,7.475,-9.5252e-05,0.22824,-0.0221265,-0.00505015,NONE,0,0,0,0,0,0,0
0.011985,-9.99715,7.475,-9.5252e-05,0.22824,-0.0221265,-0.00505015,NONE,0,0,0,0,0,0,0
0.0161775,-9.99715,7.475,-9.5252e-05,0.22824,-0.0221265,-0.00505015,NONE,0,0,0,0,0,0,0
0.0198992,-9.99439,7.475,-0.000221227,0.32334,-2.14898e-10,-6.94853e-11,NONE,0,0,0,0,0,0,0
0.0240186,-9.99439,7.475,-0.000221227,0.32334,-2.14898e-10,-6.94853e-11,NONE,0,0,0,0,0,0,0
0.0296014,-9.99068,7.475,-0.000408657,0.41844,-0.0405653,-0.0169741,NONE,0,0,0,0,0,0,0
0.0320837,-9.99068,7.475,-0.000408657,0.41844,-0.0405653,-0.0169741,NONE,0,0,0,0,0,0,0
0.0361827,-9.99068,7.475,-0.000408657,0.41844,-0.0405653,-0.0169741,NONE,0,0,0,0,0,0,0
0.0399688,-9.98602,7.475,-0.000626815,0.51354,-0.00829356,-0.00425907,NONE,0,0,0,0,0,0,0
0.044314,-9.98602,7.475,-0.000626815,0.51354,-0.00829356,-0.00425907,NONE,0,0,0,0,0,0,0
0.0499007,-9.98041,7.47498,-0.00070211,0.60864,-0.0271791,-0.0165423,NONE,0,0,0,0,0,0,0
0.0519177,-9.98041,7.47498,-0.00070211,0.60864,-0.0271791,-0.0165423,NONE,0,0,0,0,0,0,0
0.0561188,-9.98041,7.47498,-0.00070211,0.60864,-0.0271791,-0.0165423,NONE,0,0,0,0,0,0,0
0.0605124,-9.97385,7.47494,-0.000990335,0.70374,-0.0221635,-0.0155973,NONE,0,0,0,0,0,0,0
0.0640223,-9.97385,7.47494,-0.000990335,0.70374,-0.0221635,-0.0155973,NONE,0,0,0,0,0,0,0
0.069965,-9.96633,7.47489,-0.00121289,0.79884,-0.0347762,-0.0277807,NONE,0,0,0,0,0,0,0
0.0718996,-9.96633,7.47489,-0.00121289,0.79884,-0.0347762,-0.0277807,NONE,0,0,0,0,0,0,0
0.0762748,-9.96633,7.47489,-0.00121289,0.79884,-0.0347762,-0.0277807,NONE,0,0,0,0,0,0,0
0.0802397,-9.95787,7.47482,-0.00160471,0.89394,-0.0324932,-0.029047,NONE,0,0,0,0,0,0,0
0.0842023,-9.95787,7.47482,-0.00160471,0.89394,-0.0324932,-0.029047,NONE,0,0,0,0,0,0,0
0.0901213,-9.94846,7.47475,-0.00192619,0.98904,-0.0427749,-0.0423061,NONE,0,0,0,0,0,0,0
0.0922758,-9.94846,7.47475,-0.00192619,0.98904,-0.0427749,-0.0423061,NONE,0,0,0,0,0,0,0
0.0961698,-9.94846,7.47475,-0.00192619,0.98904,-0.0427749,-0.0423061,NONE,0,0,0,0,0,0,0
0.100017,-9.93809,7.47465,-0.0024028,1.08414,-0.0417811,-0.0452966,NONE,0,0,0,0,0,0,0
0.104097,-9.93809,7.47465,-0.0024028,1.08414,-0.0417811,-0.0452966,NONE,0,0,0,0,0,0,0
0.109899,-9.92677,7.47455,-0.00281056,1.17924,-0.0502977,-0.059313,NONE,0,0,0,0,0,0,0
0.112088,-9.92677,7.47455,-0.00281056,1.17924,-0.0502977,-0.059313,NONE,0,0,0,0,0,0,0
0.116107,-9.92677,7.47455,-0.00281056,1.17924,-0.0502977,-0.059313,NONE,0,0,0,0,0,0,0
0.119987,-9.91451,7.47442,-0.00336395,1.27434,-0.0499399,-0.0636405,NONE,0,0,0,0,0,0,0
0.124009,-9.91451,7.47442,-0.00336395,1.27434,-0.0499399,-0.0636405,NONE,0,0,0,0,0,0,0
0.129547,-9.90129,7.47429,-0.00384872,1.36944,-0.0572897,-0.0784548,NONE,0,0,0,0,0,0,0
0.132045,-9.90129,7.47429,-0.00384872,1.36944,-0.0572897,-0.0784548,NONE,0,0,0,0,0,0,0
0.136238,-9.90129,7.47429,-0.00384872,1.36944,-0.0572897,-0.0784548,NONE,0,0,0,0,0,0,0
0.139749,-9.88712,7.47414,-0.00447282,1.46454,-0.0572907,-0.0839045,NONE,0,0,0,0,0,0,0
0.14406,-9.88712,7.47414,-0.00447282,1.46454,-0.0572907,-0.0839045,NONE,0,0,0,0,0,0,0
0.149471,-9.872,7.47399,-0.00486092,1.55964,-0.0143896,-0.0224426,NONE,0,0,0,0,0,0,0
0.152141,-9.872,7.47399,-0.00486092,1.55964,-0.0143896,-0.0224426,NONE,0,0,0,0,0,0,0
0.156443,-9.872,7.47399,-0.00486092,1.55964,-0.0143896,-0.0224426,NONE,0,0,0,0,0,0,0
0.160158,-9.85593,7.47388,-0.00484017,1.65474,0.00660216,0.0109249,NONE,0,0,0,0,0,0,0
0.164209,-9.85593,7.47388,-0.00484017,1.65474,0.00660216,0.0109249,NONE,0,0,0,0,0,0,0
0.169672,-9.83891,7.47378,-0.00472391,1.74984,0.0257744,0.0451011,NONE,0,0,0,0,0,0,0
0.172076,-9.83891,7.47378,-0.00472391,1.74984,0.0257744,0.0451011,NONE,0,0,0,0,0,0,0
0.176508,-9.83891,7.47378,-0.00472391,1.74984,0.0257744,0.0451011,NONE,0,0,0,0,0,0,0
0.180091,-9.82093,7.47372,-0.00436549,1.84494,0.0353611,0.0652391,NONE,0,0,0,0,0,0,0
0.183952,-9.82093,7.47372,-0.00436549,1.84494,0.0353611,0.0652391,NONE,0,0,0,0,0,0,0
0.189737,-9.80201,7.47368,-0.00399945,1.94004,0.0474963,0.0921448,NONE,0,0,0,0,0,0,0
0.192111,-9.80201,7.47368,-0.00399945,1.94004,0.0474963,0.0921448,NONE,0,0,0,0,0,0,0
0.196113,-9.80201,7.47368,-0.00399945,1.94004,0.0474963,0.0921448,NONE,0,0,0,0,0,0,0
0.199946,-9.78213,7.47366,-0.00344568,2.03514,0.0530515,0.107967,NONE,0,0,0,0,0,0,0
0.204137,-9.78213,7.47366,-0.00344568,2.03514,0.0530515,0.107967,NONE,0,0,0,0,0,0,0
0.209896,-9.76131,7.47365,-0.00291899,2.12857,0.0621598,0.132311,NONE,0,0,0,0,0,0,0
0.212106,-9.76131,7.47365,-0.00291899,2.12857,0.0621598,0.132311,NONE,0,0,0,0,0,0,0
0.215997,-9.76131,7.47365,-0.00291899,2.12857,0.0621598,0.132311,NONE,0,0,0,0,0,0,0
0.22006,-9.73958,7.47367,-0.00222442,2.21756,0.0661533,0.146699,NONE,0,0,0,0,0,0,0
0.224149,-9.73958,7.47367,-0.00222442,2.21756,0.0661533,0.146699,NONE,0,0,0,0,0,0,0
0.229761,-9.71698,7.4737,-0.00157596,2.30231,0.0740434,0.170471,NONE,0,0,0,0,0,0,0
0.231843,-9.71698,7.4737,-0.00157596,2.30231,0.0740434,0.170471,NONE,0,0,0,0,0,0,0
0.235852,-9.71698,7.4737,-0.00157596,2.30231,0.0740434,0.170471,NONE,0,0,0,0,0,0,0
0.240215,-9.69356,7.47376,-0.000765533,2.38304,0.0768671,0.183177,NONE,0,0,0,0,0,0,0
0.244077,-9.69356,7.47376,-0.000765533,2.38304,0.0768671,0.183177,NONE,0,0,0,0,0,0,0
0.250533,-9.66934,7.47384,-1.83865e-05,2.45992,0.0836692,0.20582,NONE,0,0,0,0,0,0,0
0.252077,-9.66934,7.47384,-1.83865e-05,2.45992,0.0836692,0.20582,NONE,0,0,0,0,0,0,0
0.256538,-9.66934,7.47384,-1.83865e-05,2.45992,0.0836692,0.20582,NONE,0,0,0,0,0,0,0
0.260222,-9.64438,7.47394,0.000886157,2.53315,0.0855473,0.216704,NONE,0,0,0,0,0,0,0
0.264507,-9.64438,7.47394,0.000886157,2.53315,0.0855473,0.216704,NONE,0,0,0,0,0,0,0
0.270842,-9.6187,7.47404,0.00150069,2.6029,0.0290773,0.0756853,NONE,0,0,0,0,0,0,0
0.272543,-9.6187,7.47404,0.00150069,2.6029,0.0290773,0.0756853,NONE,0,0,0,0,0,0,0
0.276147,-9.6187,7.47404,0.00150069,2.6029,0.0290773,0.0756853,NONE,0,0,0,0,0,0,0
0.280077,-9.59234,7.4741,0.00154027,2.66933,-0.00678268,-0.0181052,NONE,0,0,0,0,0,0,0
0.284641,-9.59234,7.4741,0.00154027,2.66933,-0.00678268,-0.0181052,NONE,0,0,0,0,0,0,0
0.290012,-9.56533,7.47414,0.00137786,2.73261,-0.0363694,-0.0993833,NONE,0,0,0,0,0,0,0
0.291948,-9.56533,7.47414,0.00137786,2.73261,-0.0363694,-0.0993833,NONE,0,0,0,0,0,0,0
0.296237,-9.56533,7.47414,0.00137786,2.73261,-0.0363694,-0.0993833,NONE,0,0,0,0,0,0,0
0.300575,-9.5377,7.47414,0.000857185,2.79287,-0.0541502,-0.151235,NONE,0,0,0,0,0,0,0
0.304179,-9.5377,7.47414,0.000857185,2.79287,-0.0541502,-0.151235,NONE,0,0,0,0,0,0,0
0.309783,-9.50948,7.47412,0.0002893,2.85027,-0.0713235,-0.203291,NONE,0,0,0,0,0,0,0
0.312458,-9.50948,7.47412,0.0002893,2.85027,-0.0713235,-0.203291,NONE,0,0,0,0,0,0,0
0.316162,-9.50948,7.47412,0.0002893,2.85027,-0.0713235,-0.203291,NONE,0,0,0,0,0,0,0
0.320018,-9.48071,7.47407,-0.000536914,2.90494,-0.0804207,-0.233617,NONE,0,0,0,0,0,0,0
0.324298,-9.48071,7.47407,-0.000536914,2.90494,-0.0804207,-0.233617,NONE,0,0,0,0,0,0,0
0.329963,-9.4514,7.47401,-0.00109415,2.95701,-0.021267,-0.0628868,NONE,0,0,0,0,0,0,0
0.332054,-9.4514,7.47401,-0.00109415,2.95701,-0.021267,-0.0628868,NONE,0,0,0,0,0,0,0
0.336039,-9.4514,7.47401,-0.00109415,2.95701,-0.021267,-0.0628868,NONE,0,0,0,0,0,0,0
0.34016,-9.42158,7.47399,-0.00103609,3.0066,0.0172447,0.051848,NONE,0,0,0,0,0,0,0
0.344091,-9.42158,7.47399,-0.00103609,3.0066,0.0172447,0.051848,NONE,0,0,0,0,0,0,0
0.349618,-9.39128,7.47399,-0.000764284,3.05384,0.0488966,0.149322,NONE,0,0,0,0,0,0,0
0.352323,-9.39128,7.47399,-0.000764284,3.05384,0.0488966,0.149322,NONE,0,0,0,0,0,0,0
