t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
9.2284e-05,-9.99895,7.475,0,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.0137461,-9.99715,7.475,9.5252e-05,0.22824,0.0221265,0.00505015,NONE,0,0,0,0,0,0,0
0.0170433,-9.99439,7.475,0.000504199,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0222975,-9.99439,7.475,0.000504199,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0292957,-9.99068,7.475,0.00141251,0.41844,0.122029,0.051062,NONE,0,0,0,0,0,0,0
0.0364562,-9.98602,7.47501,0.00300763,0.51354,0.14652,0.0752438,NONE,0,0,0,0,0,0,0
0.0446252,-9.98602,7.47501,0.00300763,0.51354,0.14652,0.0752438,NONE,0,0,0,0,0,0,0
0.0522164,-9.98041,7.47521,0.00437681,0.60864,0.218041,0.132708,NONE,0,0,0,0,0,0,0
0.0608986,-9.97386,7.47558,0.00671558,0.70374,0.288026,0.202696,NONE,0,0,0,0,0,0,0
0.0682836,-9.96637,7.47614,0.00998777,0.79884,0.379167,0.302894,NONE,0,0,0,0,0,0,0
0.0749728,-9.96637,7.47614,0.00998777,0.79884,0.379167,0.302894,NONE,0,0,0,0,0,0,0
0.0832007,-9.95794,7.47692,0.0142967,0.89394,0.487905,0.436158,NONE,0,0,0,0,0,0,0
0.0896622,-9.94858,7.47795,0.0197694,0.98904,0.609993,0.603307,NONE,0,0,0,0,0,0,0
0.0965635,-9.9383,7.47924,0.0263719,1.08414,0.697114,0.755769,NONE,0,0,0,0,0,0,0
0.100906,-9.9383,7.47924,0.0263719,1.08414,0.697114,0.755769,NONE,0,0,0,0,0,0,0
0.112212,-9.92708,7.48075,0.0335654,1.17924,0.734747,0.866443,NONE,0,0,0,0,0,0,0
0.119451,-9.91493,7.48245,0.0411279,1.27434,0.788931,1.00537,NONE,0,0,0,0,0,0,0
0.126102,-9.90186,7.48437,0.0493055,1.36944,0.836294,1.14525,NONE,0,0,0,0,0,0,0
0.129576,-9.90186,7.48437,0.0493055,1.36944,0.836294,1.14525,NONE,0,0,0,0,0,0,0
0.140956,-9.88785,7.48651,0.0578867,1.46454,0.889939,1.30335,NONE,0,0,0,0,0,0,0
0.141026,-9.88785,7.48651,0.0578867,1.46454,0.889939,1.30335,NONE,0,0,0,0,0,0,0
0.15019,-9.87292,7.4889,0.0670656,1.55964,0.935405,1.4589,NONE,0,0,0,0,0,0,0
0.15909,-9.85706,7.49154,0.0766202,1.65474,0.985298,1.63041,NONE,0,0,0,0,0,0,0
0.165688,-9.84029,7.49446,0.0867365,1.74984,1.02759,1.79811,NONE,0,0,0,0,0,0,0
0.172595,-9.84029,7.49446,0.0867365,1.74984,1.02759,1.79811,NONE,0,0,0,0,0,0,0
0.179756,-9.82261,7.49765,0.0970215,1.84494,1.02283,1.88706,NONE,0,0,0,0,0,0,0
0.187999,-9.804,7.50111,0.107262,1.94004,1.03681,2.01146,NONE,0,0,0,0,0,0,0
0.191725,-9.804,7.50111,0.107262,1.94004,1.03681,2.01146,NONE,0,0,0,0,0,0,0
0.199336,-9.78448,7.50485,0.117754,2.03514,1.0524,2.14178,NONE,0,0,0,0,0,0,0
0.210917,-9.76406,7.5089,0.128349,2.12857,1.07677,2.29197,NONE,0,0,0,0,0,0,0
0.220217,-9.74277,7.51328,0.13929,2.21756,1.10077,2.44101,NONE,0,0,0,0,0,0,0
0.227762,-9.72067,7.51798,0.15021,2.30231,1.07544,2.47601,NONE,0,0,0,0,0,0,0
0.242627,-9.69778,7.52297,0.160878,2.38304,1.07051,2.55106,NONE,0,0,0,0,0,0,0
0.249782,-9.67415,7.52829,0.171638,2.45992,1.07087,2.63426,NONE,0,0,0,0,0,0,0
0.25702,-9.64984,7.53393,0.182344,2.53315,1.08195,2.74076,NONE,0,0,0,0,0,0,0
0.260863,-9.64984,7.53393,0.182344,2.53315,1.08195,2.74076,NONE,0,0,0,0,0,0,0
