t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
6.6039e-05,-9.99895,7.475,0,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.00240349,-9.99895,7.475,0,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.00598782,-9.99895,7.475,0,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.00987536,-9.99715,7.475,9.5252e-05,0.22824,0.0221265,0.00505015,NONE,0,0,0,0,0,0,0
0.0141696,-9.99715,7.475,9.5252e-05,0.22824,0.0221265,0.00505015,NONE,0,0,0,0,0,0,0
0.0199886,-9.99439,7.475,0.000504199,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0218704,-9.99439,7.475,0.000504199,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0261808,-9.99439,7.475,0.000504199,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0301883,-9.99068,7.475,0.00103611,0.41844,0.0405653,0.0169741,NONE,0,0,0,0,0,0,0
0.0342329,-9.99068,7.475,0.00103611,0.41844,0.0405653,0.0169741,NONE,0,0,0,0,0,0,0
0.0398543,-9.98602,7.47501,0.00172177,0.51354,0.0689105,0.0353883,NONE,0,0,0,0,0,0,0
0.0420862,-9.98602,7.47501,0.00172177,0.51354,0.0689105,0.0353883,NONE,0,0,0,0,0,0,0
0.0461218,-9.98602,7.47501,0.00172177,0.51354,0.0689105,0.0353883,NONE,0,0,0,0,0,0,0
0.0503433,-9.98041,7.47509,0.00231051,0.60864,0.0732155,0.0445619,NONE,0,0,0,0,0,0,0
0.0541139,-9.98041,7.47509,0.00231051,0.60864,0.0732155,0.0445619,NONE,0,0,0,0,0,0,0
0.0602675,-9.97385,7.47522,0.00300119,0.70374,0.0906741,0.063811,NONE,0,0,0,0,0,0,0
0.0620617,-9.97385,7.47522,0.00300119,0.70374,0.0906741,0.063811,NONE,0,0,0,0,0,0,0
0.0660109,-9.97385,7.47522,0.00300119,0.70374,0.0906741,0.063811,NONE,0,0,0,0,0,0,0
0.0700852,-9.96634,7.47539,0.00396166,0.79884,0.0933846,0.0745993,NONE,0,0,0,0,0,0,0
0.0742024,-9.96634,7.47539,0.00396166,0.79884,0.0933846,0.0745993,NONE,0,0,0,0,0,0,0
0.0795054,-9.95788,7.4756,0.00493218,0.89394,0.112638,0.100692,NONE,0,0,0,0,0,0,0
0.0820364,-9.95788,7.4756,0.00493218,0.89394,0.112638,0.100692,NONE,0,0,0,0,0,0,0
0.0861194,-9.95788,7.4756,0.00493218,0.89394,0.112638,0.100692,NONE,0,0,0,0,0,0,0
0.0898416,-9.94847,7.47585,0.00614575,0.98904,0.119169,0.117863,NONE,0,0,0,0,0,0,0
0.0942907,-9.94847,7.47585,0.00614575,0.98904,0.119169,0.117863,NONE,0,0,0,0,0,0,0
0.099872,-9.9381,7.47613,0.00736972,1.08414,0.136311,0.14778,NONE,0,0,0,0,0,0,0
0.101787,-9.9381,7.47613,0.00736972,1.08414,0.136311,0.14778,NONE,0,0,0,0,0,0,0
0.106073,-9.9381,7.47613,0.00736972,1.08414,0.136311,0.14778,NONE,0,0,0,0,0,0,0
0.11006,-9.92679,7.47646,0.00882064,1.17924,0.143246,0.168922,NONE,0,0,0,0,0,0,0
0.114075,-9.92679,7.47646,0.00882064,1.17924,0.143246,0.168922,NONE,0,0,0,0,0,0,0
0.119713,-9.91453,7.47682,0.0102773,1.27434,0.158417,0.201877,NONE,0,0,0,0,0,0,0
0.121865,-9.91453,7.47682,0.0102773,1.27434,0.158417,0.201877,NONE,0,0,0,0,0,0,0
0.126237,-9.91453,7.47682,0.0102773,1.27434,0.158417,0.201877,NONE,0,0,0,0,0,0,0
0.130497,-9.90132,7.47724,0.0119477,1.36944,0.165293,0.226359,NONE,0,0,0,0,0,0,0
0.134107,-9.90132,7.47724,0.0119477,1.36944,0.165293,0.226359,NONE,0,0,0,0,0,0,0
0.140026,-9.88715,7.47768,0.0134536,1.46454,0.130021,0.19042,NONE,0,0,0,0,0,0,0
0.142031,-9.88715,7.47768,0.0134536,1.46454,0.130021,0.19042,NONE,0,0,0,0,0,0,0
0.146173,-9.88715,7.47768,0.0134536,1.46454,0.130021,0.19042,NONE,0,0,0,0,0,0,0
0.150173,-9.87204,7.47811,0.0146285,1.55964,0.116881,0.182292,NONE,0,0,0,0,0,0,0
0.154131,-9.87204,7.47811,0.0146285,1.55964,0.116881,0.182292,NONE,0,0,0,0,0,0,0
0.160129,-9.85597,7.47856,0.0157822,1.65474,0.104618,0.173116,NONE,0,0,0,0,0,0,0
0.1619,-9.85597,7.47856,0.0157822,1.65474,0.104618,0.173116,NONE,0,0,0,0,0,0,0
0.166127,-9.85597,7.47856,0.0157822,1.65474,0.104618,0.173116,NONE,0,0,0,0,0,0,0
0.170151,-9.83896,7.47902,0.0167618,1.74984,0.101796,0.178127,NONE,0,0,0,0,0,0,0
0.174128,-9.83896,7.47902,0.0167618,1.74984,0.101796,0.178127,NONE,0,0,0,0,0,0,0
0.180055,-9.82099,7.47951,0.017798,1.84494,0.0956936,0.176549,NONE,0,0,0,0,0,0,0
0.18195,-9.82099,7.47951,0.017798,1.84494,0.0956936,0.176549,NONE,0,0,0,0,0,0,0
0.186292,-9.82099,7.47951,0.017798,1.84494,0.0956936,0.176549,NONE,0,0,0,0,0,0,0
0.190123,-9.80207,7.48001,0.018706,1.94004,0.0960696,0.186379,NONE,0,0,0,0,0,0,0
0.194055,-9.80207,7.48001,0.018706,1.94004,0.0960696,0.186379,NONE,0,0,0,0,0,0,0
0.199758,-9.7822,7.48055,0.0196982,2.03514,0.0925242,0.1883,NONE,0,0,0,0,0,0,0
0.202074,-9.7822,7.48055,0.0196982,2.03514,0.0925242,0.1883,NONE,0,0,0,0,0,0,0
0.206001,-9.7822,7.48055,0.0196982,2.03514,0.0925242,0.1883,NONE,0,0,0,0,0,0,0
0.209828,-9.76139,7.4811,0.0205815,2.12857,0.0942897,0.200702,NONE,0,0,0,0,0,0,0
0.214067,-9.76139,7.4811,0.0205815,2.12857,0.0942897,0.200702,NONE,0,0,0,0,0,0,0
0.219586,-9.73967,7.4817,0.0215653,2.21756,0.0921335,0.204311,NONE,0,0,0,0,0,0,0
0.222104,-9.73967,7.4817,0.0215653,2.21756,0.0921335,0.204311,NONE,0,0,0,0,0,0,0
0.226113,-9.73967,7.4817,0.0215653,2.21756,0.0921335,0.204311,NONE,0,0,0,0,0,0,0
0.229794,-9.71708,7.48233,0.0224472,2.30231,0.0949418,0.218585,NONE,0,0,0,0,0,0,0
0.234104,-9.71708,7.48233,0.0224472,2.30231,0.0949418,0.218585,NONE,0,0,0,0,0,0,0
0.239643,-9.69366,7.483,0.0234449,2.38304,0.0936047,0.223063,NONE,0,0,0,0,0,0,0
0.241994,-9.69366,7.483,0.0234449,2.38304,0.0936047,0.223063,NONE,0,0,0,0,0,0,0
0.246047,-9.69366,7.483,0.0234449,2.38304,0.0936047,0.223063,NONE,0,0,0,0,0,0,0
0.250703,-9.66946,7.48369,0.0243418,2.45992,0.0970238,0.238671,NONE,0,0,0,0,0,0,0
0.254306,-9.66946,7.48369,0.0243418,2.45992,0.0970238,0.238671,NONE,0,0,0,0,0,0,0
0.259889,-9.6445,7.48443,0.0253656,2.53315,0.0961662,0.243604,NONE,0,0,0,0,0,0,0
0.262011,-9.6445,7.48443,0.0253656,2.53315,0.0961662,0.243604,NONE,0,0,0,0,0,0,0
