t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000127315,-9.99918,7.475,0,0.118153,0,0,NONE,0,0,0,0,0,0,0
0.00429166,-9.99918,7.475,0,0.118153,0,0,NONE,0,0,0,0,0,0,0
0.00787178,-9.99752,7.475,8.79885e-05,0.213253,0.0206736,0.00440869,NONE,0,0,0,0,0,0,0
0.0103256,-9.99752,7.475,8.79885e-05,0.213253,0.0206736,0.00440869,NONE,0,0,0,0,0,0,0
0.0138672,-9.99752,7.475,8.79885e-05,0.213253,0.0206736,0.00440869,NONE,0,0,0,0,0,0,0
0.0175789,-9.99491,7.475,0.00047513,0.308353,0.0598472,0.018454,NONE,0,0,0,0,0,0,0
0.021763,-9.99491,7.475,0.00047513,0.308353,0.0598472,0.018454,NONE,0,0,0,0,0,0,0
0.0261862,-9.99135,7.475,0.00134705,0.403453,0.117659,0.0474697,NONE,0,0,0,0,0,0,0
0.0318835,-9.99135,7.475,0.00134705,0.403453,0.117659,0.0474697,NONE,0,0,0,0,0,0,0
0.0353437,-9.99135,7.475,0.00134705,0.403453,0.117659,0.0474697,NONE,0,0,0,0,0,0,0
0.0404791,-9.98684,7.47501,0.00243443,0.498553,0.0967626,0.0482412,NONE,0,0,0,0,0,0,0
0.0428444,-9.98684,7.47501,0.00243443,0.498553,0.0967626,0.0482412,NONE,0,0,0,0,0,0,0
0.0467398,-9.98139,7.47506,0.00322934,0.592076,0.0431041,0.0255209,NONE,0,0,0,0,0,0,0
0.0495071,-9.98139,7.47506,0.00322934,0.592076,0.0431041,0.0255209,NONE,0,0,0,0,0,0,0
0.0535846,-9.98139,7.47506,0.00322934,0.592076,0.0431041,0.0255209,NONE,0,0,0,0,0,0,0
0.0579312,-9.97503,7.47517,0.00379614,0.681301,0.0776366,0.0528939,NONE,0,0,0,0,0,0,0
0.0619469,-9.97503,7.47517,0.00379614,0.681301,0.0776366,0.0528939,NONE,0,0,0,0,0,0,0
0.0674593,-9.96779,7.47534,0.00468652,0.766701,0.0861805,0.0660746,NONE,0,0,0,0,0,0,0
0.0711796,-9.96779,7.47534,0.00468652,0.766701,0.0861805,0.0660746,NONE,0,0,0,0,0,0,0
0.0745864,-9.96779,7.47534,0.00468652,0.766701,0.0861805,0.0660746,NONE,0,0,0,0,0,0,0
0.0785257,-9.95972,7.47554,0.00560001,0.84803,0.108551,0.0920546,NONE,0,0,0,0,0,0,0
0.0813982,-9.95972,7.47554,0.00560001,0.84803,0.108551,0.0920546,NONE,0,0,0,0,0,0,0
0.0862563,-9.95085,7.47579,0.00677546,0.925422,0.113436,0.104977,NONE,0,0,0,0,0,0,0
0.0904266,-9.95085,7.47579,0.00677546,0.925422,0.113436,0.104977,NONE,0,0,0,0,0,0,0
0.0974814,-9.94123,7.47606,0.00793601,0.999393,0.131128,0.131049,NONE,0,0,0,0,0,0,0
0.100876,-9.94123,7.47606,0.00793601,0.999393,0.131128,0.131049,NONE,0,0,0,0,0,0,0
0.10475,-9.94123,7.47606,0.00793601,0.999393,0.131128,0.131049,NONE,0,0,0,0,0,0,0
0.109986,-9.93089,7.47637,0.00933156,1.06958,0.134926,0.144314,NONE,0,0,0,0,0,0,0
0.113516,-9.93089,7.47637,0.00933156,1.06958,0.134926,0.144314,NONE,0,0,0,0,0,0,0
0.11753,-9.91986,7.47671,0.0106934,1.13709,0.150118,0.170698,NONE,0,0,0,0,0,0,0
0.121813,-9.91986,7.47671,0.0106934,1.13709,0.150118,0.170698,NONE,0,0,0,0,0,0,0
0.127436,-9.90818,7.4771,0.012276,1.20169,0.153292,0.18421,NONE,0,0,0,0,0,0,0
0.131421,-9.90818,7.4771,0.012276,1.20169,0.153292,0.18421,NONE,0,0,0,0,0,0,0
0.134233,-9.90818,7.4771,0.012276,1.20169,0.153292,0.18421,NONE,0,0,0,0,0,0,0
0.137898,-9.89586,7.47751,0.0138123,1.26387,0.166862,0.210892,NONE,0,0,0,0,0,0,0
0.1416,-9.89586,7.47751,0.0138123,1.26387,0.166862,0.210892,NONE,0,0,0,0,0,0,0
0.146672,-9.88293,7.47797,0.0155608,1.32371,0.169591,0.224489,NONE,0,0,0,0,0,0,0
0.14979,-9.88293,7.47797,0.0155608,1.32371,0.169591,0.224489,NONE,0,0,0,0,0,0,0
0.153806,-9.88293,7.47797,0.0155608,1.32371,0.169591,0.224489,NONE,0,0,0,0,0,0,0
0.15864,-9.86942,7.47846,0.0172533,1.38027,0.182066,0.251301,NONE,0,0,0,0,0,0,0
0.16346,-9.86942,7.47846,0.0172533,1.38027,0.182066,0.251301,NONE,0,0,0,0,0,0,0
0.166998,-9.85535,7.47901,0.0191532,1.43439,0.184362,0.264449,NONE,0,0,0,0,0,0,0
0.169308,-9.85535,7.47901,0.0191532,1.43439,0.184362,0.264449,NONE,0,0,0,0,0,0,0
0.173808,-9.85535,7.47901,0.0191532,1.43439,0.184362,0.264449,NONE,0,0,0,0,0,0,0
0.178379,-9.84076,7.47958,0.0209871,1.48641,0.195821,0.29107,NONE,0,0,0,0,0,0,0
0.181596,-9.84076,7.47958,0.0209871,1.48641,0.195821,0.29107,NONE,0,0,0,0,0,0,0
0.186223,-9.82566,7.48021,0.0230233,1.53655,0.197695,0.303768,NONE,0,0,0,0,0,0,0
0.189918,-9.82566,7.48021,0.0230233,1.53655,0.197695,0.303768,NONE,0,0,0,0,0,0,0
0.194515,-9.82566,7.48021,0.0230233,1.53655,0.197695,0.303768,NONE,0,0,0,0,0,0,0
0.199438,-9.81006,7.48088,0.0249853,1.5853,0.208308,0.330231,NONE,0,0,0,0,0,0,0
0.202139,-9.81006,7.48088,0.0249853,1.5853,0.208308,0.330231,NONE,0,0,0,0,0,0,0
0.206517,-9.79399,7.48161,0.0271461,1.6319,0.209919,0.342567,NONE,0,0,0,0,0,0,0
0.209362,-9.79399,7.48161,0.0271461,1.6319,0.209919,0.342567,NONE,0,0,0,0,0,0,0
0.215148,-9.79399,7.48161,0.0271461,1.6319,0.209919,0.342567,NONE,0,0,0,0,0,0,0
0.218894,-9.77747,7.48238,0.0292264,1.67688,0.219958,0.368843,NONE,0,0,0,0,0,0,0
0.224509,-9.77747,7.48238,0.0292264,1.67688,0.219958,0.368843,NONE,0,0,0,0,0,0,0
0.230713,-9.7605,7.48321,0.0315031,1.72012,0.221272,0.380615,NONE,0,0,0,0,0,0,0
0.233533,-9.7605,7.48321,0.0315031,1.72012,0.221272,0.380615,NONE,0,0,0,0,0,0,0
0.238162,-9.74312,7.48408,0.0336937,1.76066,0.230931,0.406592,NONE,0,0,0,0,0,0,0
0.241521,-9.74312,7.48408,0.0336937,1.76066,0.230931,0.406592,NONE,0,0,0,0,0,0,0
0.24677,-9.72533,7.48502,0.0360773,1.80233,0.231667,0.417542,NONE,0,0,0,0,0,0,0
0.249484,-9.72533,7.48502,0.0360773,1.80233,0.231667,0.417542,NONE,0,0,0,0,0,0,0
0.254128,-9.72533,7.48502,0.0360773,1.80233,0.231667,0.417542,NONE,0,0,0,0,0,0,0
0.258677,-9.70714,7.486,0.0383684,1.84121,0.240742,0.443256,NONE,0,0,0,0,0,0,0
0.261921,-9.70714,7.486,0.0383684,1.84121,0.240742,0.443256,NONE,0,0,0,0,0,0,0
0.266523,-9.68857,7.48706,0.0408525,1.87861,0.241595,0.453863,NONE,0,0,0,0,0,0,0
0.27145,-9.68857,7.48706,0.0408525,1.87861,0.241595,0.453863,NONE,0,0,0,0,0,0,0
0.279652,-9.66963,7.48817,0.043239,1.91557,0.250047,0.478982,NONE,0,0,0,0,0,0,0
0.285456,-9.66963,7.48817,0.043239,1.91557,0.250047,0.478982,NONE,0,0,0,0,0,0,0
0.295139,-9.65033,7.48935,0.0458149,1.95147,0.2506,0.489038,NONE,0,0,0,0,0,0,0
0.298163,-9.63069,7.49058,0.0482898,1.98567,0.258879,0.514048,NONE,0,0,0,0,0,0,0
0.301398,-9.63069,7.49058,0.0482898,1.98567,0.258879,0.514048,NONE,0,0,0,0,0,0,0
0.306711,-9.6107,7.49189,0.0509519,2.02075,0.259017,0.523407,NONE,0,0,0,0,0,0,0
0.309204,-9.6107,7.49189,0.0509519,2.02075,0.259017,0.523407,NONE,0,0,0,0,0,0,0
0.313607,-9.6107,7.49189,0.0509519,2.02075,0.259017,0.523407,NONE,0,0,0,0,0,0,0
0.317679,-9.59036,7.49326,0.0535076,2.05519,0.266631,0.547978,NONE,0,0,0,0,0,0,0
0.32329,-9.59036,7.49326,0.0535076,2.05519,0.266631,0.547978,NONE,0,0,0,0,0,0,0
0.327121,-9.5697,7.49472,0.0562503,2.08755,0.267125,0.557637,NONE,0,0,0,0,0,0,0
0.330123,-9.5697,7.49472,0.0562503,2.08755,0.267125,0.557637,NONE,0,0,0,0,0,0,0
0.333483,-9.5697,7.49472,0.0562503,2.08755,0.267125,0.557637,NONE,0,0,0,0,0,0,0
0.338016,-9.54872,7.49623,0.0588868,2.11855,0.274895,0.582379,NONE,0,0,0,0,0,0,0
0.341599,-9.54872,7.49623,0.0588868,2.11855,0.274895,0.582379,NONE,0,0,0,0,0,0,0
0.34755,-9.52743,7.49783,0.0617075,2.15152,0.274606,0.590822,NONE,0,0,0,0,0,0,0
0.350451,-9.52743,7.49783,0.0617075,2.15152,0.274606,0.590822,NONE,0,0,0,0,0,0,0
0.356336,-9.52743,7.49783,0.0617075,2.15152,0.274606,0.590822,NONE,0,0,0,0,0,0,0
0.365241,-9.50582,7.49947,0.0641591,2.18288,0.206477,0.450715,NONE,0,0,0,0,0,0,0
0.372558,-9.48391,7.50112,0.0659528,2.21275,0.170424,0.377106,NONE,0,0,0,0,0,0,0
0.380226,-9.46169,7.5028,0.0675814,2.24393,0.14256,0.319894,NONE,0,0,0,0,0,0,0
0.382946,-9.46169,7.5028,0.0675814,2.24393,0.14256,0.319894,NONE,0,0,0,0,0,0,0
0.387091,-9.43916,7.5045,0.0688683,2.27435,0.130848,0.297593,NONE,0,0,0,0,0,0,0
0.389523,-9.43916,7.5045,0.0688683,2.27435,0.130848,0.297593,NONE,0,0,0,0,0,0,0
0.393597,-9.43916,7.5045,0.0688683,2.27435,0.130848,0.297593,NONE,0,0,0,0,0,0,0
0.398619,-9.41634,7.50624,0.0701842,2.30241,0.118118,0.271957,NONE,0,0,0,0,0,0,0
