t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
9.0585e-05,-9.99801,7.475,-1.28501e-05,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.00516638,-9.99801,7.475,-1.28501e-05,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.0113604,-9.99621,7.475,-0.000108102,0.22824,-0.0221265,-0.00505015,NONE,0,0,0,0,0,0,0
0.0154348,-9.99621,7.475,-0.000108102,0.22824,-0.0221265,-0.00505015,NONE,0,0,0,0,0,0,0
0.0212139,-9.99345,7.475,-0.000234077,0.32334,-2.14898e-10,-6.94853e-11,NONE,0,0,0,0,0,0,0
0.0273577,-9.98974,7.475,-0.000421507,0.41844,-0.0405653,-0.0169741,NONE,0,0,0,0,0,0,0
0.0311803,-9.98974,7.475,-0.000421507,0.41844,-0.0405653,-0.0169741,NONE,0,0,0,0,0,0,0
0.0442569,-9.98508,7.475,-0.000639665,0.51354,-0.00829356,-0.00425907,NONE,0,0,0,0,0,0,0
0.0519664,-9.97947,7.47498,-0.00071496,0.60864,-0.0271791,-0.0165423,NONE,0,0,0,0,0,0,0
0.0598506,-9.97291,7.47494,-0.00100319,0.70374,-0.0221635,-0.0155973,NONE,0,0,0,0,0,0,0
0.0643558,-9.97291,7.47494,-0.00100319,0.70374,-0.0221635,-0.0155973,NONE,0,0,0,0,0,0,0
0.0734646,-9.9654,7.47489,-0.00122575,0.79884,-0.0347762,-0.0277807,NONE,0,0,0,0,0,0,0
0.0810753,-9.95693,7.47482,-0.00161756,0.89394,-0.0324932,-0.029047,NONE,0,0,0,0,0,0,0
0.0852783,-9.95693,7.47482,-0.00161756,0.89394,-0.0324932,-0.029047,NONE,0,0,0,0,0,0,0
0.0928748,-9.94752,7.47474,-0.00193904,0.98904,-0.0427749,-0.0423061,NONE,0,0,0,0,0,0,0
0.10074,-9.93715,7.47465,-0.00241565,1.08414,-0.0417811,-0.0452966,NONE,0,0,0,0,0,0,0
0.104653,-9.93715,7.47465,-0.00241565,1.08414,-0.0417811,-0.0452966,NONE,0,0,0,0,0,0,0
